Name,Price,Rating,Release,Follows,Online,Peak,Genre
Clone Drone in the Danger Zone,$19.99,94.76%,Jul 2021,"33,109",315,"1,944",3D-Fighter
UNDERDOGS,$17.99,93.33%,Jan 2024,"10,122",22,198,3D-Fighter
The Thrill of the Fight - VR Boxing,$9.99,91.77%,Jul 2016,"5,701",10,69,3D-Fighter
Judgment,$39.99,91.58%,Sep 2022,"23,272",176,"5,606",3D-Fighter
Lost Judgment,$59.99,91.22%,Sep 2022,"26,870",215,"2,269",3D-Fighter
GORN,$19.99,91.11%,Jul 2019,"22,187",5,479,3D-Fighter
SENRAN KAGURA ESTIVAL VERSUS,$8.99,91.03%,Mar 2017,"62,703",13,"1,088",3D-Fighter
Bloodthief,$19.99,90.67%,Sep 2025,"6,596",23,189,3D-Fighter
Wrestling Empire,$19.99,90.42%,Jul 2021,"4,632",59,261,3D-Fighter
GigaBash,$8.74,89.50%,Aug 2022,"12,580",48,305,3D-Fighter
Charlie in the Moistverse of Madness,Free,89.47%,Mar 2022,384,0,63,3D-Fighter
Bloodthief DemoDemo,Free,89.45%,Apr 2024,—,10,624,3D-Fighter
Saint Seiya: Soldiers' Soul,—,89.37%,Nov 2015,"18,465",3,499,3D-Fighter
Mecha Simultactics AlphaDemo,Free,89.24%,Sep 2024,—,2,106,3D-Fighter
MageQuit,$14.99,88.68%,Oct 2019,"4,531",9,222,3D-Fighter
近畿霊務局 - Kinki Spiritual Affairs Bureau,$9.99,88.49%,Oct 2024,"5,585",0,252,3D-Fighter
Amalgam,Free,88.18%,Nov 2020,"1,050",6,43,3D-Fighter
Pull Stay,$12.74,88.12%,Mar 2025,"5,179",0,15,3D-Fighter
Sumotori Dreams Classic,$4.99,88.01%,May 2021,823,0,15,3D-Fighter
Schwarzerblitz,Free,87.87%,Jun 2020,627,1,17,3D-Fighter
Fight Crab,$19.99,87.72%,Jul 2020,"7,894",1,263,3D-Fighter
JoJo's Bizarre Adventure: All-Star Battle R,$19.59,87.70%,Sep 2022,"57,876",203,"7,029",3D-Fighter
Bung Ball,Free,87.49%,Jun 2023,93,0,10,3D-Fighter
GigaBash - Godzilla 4 Kaiju PackDLC,$9.99,87.42%,Dec 2022,—,—,—,3D-Fighter
