Name,Price,Rating,Release,Follows,Online,Peak,Genre
Counter-Strike,$9.99,96.30%,Nov 2000,"223,115","11,615","319,586",Assassin
HITMAN World of Assassination,$27.99,84.97%,Jan 2022,"117,069","4,147","10,925",Assassin
Sekiro™: Shadows Die Twice - GOTY Edition,$29.99,94.29%,Mar 2019,"634,554","3,589","125,315",Assassin
Assassin's Creed® Odyssey,$59.99,87.80%,Oct 2018,"337,823","3,252","62,069",Assassin
Assassin’s Creed Shadows,$69.99,76.46%,Mar 2025,"90,465","2,901","64,825",Assassin
Assassin's Creed Valhalla,$59.99,68.81%,Dec 2022,"77,543","2,137","15,679",Assassin
Assassin's Creed® Origins,$59.99,84.77%,Oct 2017,"342,374","1,619","41,551",Assassin
Middle-earth™: Shadow of Mordor™,$3.99,91.10%,Sep 2014,"220,823",984,"48,668",Assassin
Assassin’s Creed® IV Black Flag™,$39.99,87.14%,—,"149,476",923,"16,049",Assassin
Assassin's Creed Mirage,$49.99,74.46%,Oct 2024,"32,261",719,"7,870",Assassin
Dishonored 2,$5.99,88.10%,Nov 2016,"220,849",678,"22,411",Assassin
Dishonored,$2.49,96.03%,Oct 2012,"93,037",652,"19,938",Assassin
Hitman: Absolution™,$1.99,91.43%,Nov 2012,"69,415",644,"26,137",Assassin
The Killing Antidote,$29.99,85.42%,Oct 2024,"59,155",575,"3,052",Assassin
Assassin's Creed® Unity,$29.99,77.10%,Nov 2014,"207,622",565,"12,180",Assassin
Assassin's Creed 2,$19.99,87.86%,Mar 2010,"84,210",334,"3,617",Assassin
Assassin's Creed® III Remastered,$39.99,61.15%,Mar 2019,"19,923",305,"3,561",Assassin
Assassin's Creed® Syndicate,$29.99,78.68%,Nov 2015,"179,768",305,"4,729",Assassin
Sniper Ghost Warrior Contracts 2,$39.99,82.00%,Jun 2021,"61,476",301,"7,055",Assassin
Assassin’s Creed® Rogue,$19.99,84.00%,Mar 2015,"72,726",263,"2,371",Assassin
Desperados III,$39.99,93.95%,Jun 2020,"81,857",229,"6,057",Assassin
Assassin’s Creed® Brotherhood,$19.99,86.65%,Mar 2011,"53,393",228,"3,848",Assassin
HITMAN™ 2,—,89.47%,Nov 2018,"288,295",215,"361,001",Assassin
Dishonored,—,95.23%,Oct 2012,"12,457",183,"4,604",Assassin
Sniper Ghost Warrior Contracts,$29.99,71.39%,Nov 2019,"53,121",171,"3,923",Assassin
Hitman: Blood Money,$0.99,91.66%,May 2006,"15,046",155,"1,138",Assassin
DEATHLOOP,$11.99,75.08%,Sep 2021,"86,140",149,"20,094",Assassin
Assassin's Creed® Revelations,$19.99,82.67%,Nov 2011,"45,897",149,"3,105",Assassin
HITMAN Free Starter PackDemo,Free,56.25%,Jan 2022,—,140,741,Assassin
Thief,$19.99,73.39%,Feb 2014,"46,829",110,"18,352",Assassin
Dishonored®: Death of the Outsider™,$5.99,85.42%,Sep 2017,"58,622",104,"6,086",Assassin
Assassin's Creed™: Director's Cut Edition,$19.99,79.59%,Apr 2008,"34,322",98,"1,468",Assassin
