Name,Price,Rating,Release,Follows,Online,Peak,Genre
One Finger Death Punch,$4.99,95.32%,Mar 2014,"14,254",13,"1,921",Combat
Iron Snout,Free,95.20%,Jan 2016,"15,862",15,"1,373",Combat
Hi-Fi RUSH,$29.99,95.19%,Jan 2023,"76,386",67,"6,132",Combat
Castle Crashers®,$4.49,94.86%,Sep 2012,"203,518",969,"16,013",Combat
Batman: Arkham Asylum Game of the Year Edition,$3.99,94.78%,Mar 2010,"36,602",839,"6,739",Combat
MADNESS: Project Nexus,$24.99,94.69%,Sep 2021,"44,147",158,"4,919",Combat
Batman: Arkham City - Game of the Year Edition,$3.99,94.56%,Sep 2012,"52,878","1,081","6,871",Combat
METAL GEAR RISING: REVENGEANCE,$29.99,94.53%,Jan 2014,"66,944",288,"12,205",Combat
Dead as Disco DemoDemo,Free,94.32%,May 2025,—,365,"3,567",Combat
Yakuza 0,$19.99,94.12%,Aug 2018,"88,342",765,"8,985",Combat
Rivals of Aether,$29.99,93.97%,Mar 2017,"60,563",290,"2,922",Combat
Paint the Town Red,$19.99,93.88%,Jul 2021,"58,758",254,"1,423",Combat
Stick It to the Stickman,$4.99,93.80%,Aug 2025,"20,023",191,"2,800",Combat
Like a Dragon Gaiden: The Man Who Erased His Name,$49.99,93.24%,Nov 2023,"36,488",115,"13,737",Combat
Dust: An Elysian Tail,$2.99,92.89%,May 2013,"26,445",23,"2,669",Combat
Yakuza Kiwami 2,$19.99,92.79%,May 2019,"35,248",261,"3,229",Combat
One Finger Death Punch 2,$7.99,92.58%,Apr 2019,"6,451",9,"1,027",Combat
Arisen Force: Life Devotee - Initial Ver.,Free,92.45%,Nov 2024,"4,451",5,"1,212",Combat
Teenage Mutant Ninja Turtles: Shredder's Revenge,$24.99,91.92%,Jun 2022,"67,459",59,"11,933",Combat
DR LIVESEY ROM AND DEATH EDITION,$0.65,91.89%,Feb 2023,"12,274",18,"4,005",Combat
Spark the Electric Jester 3,$24.99,91.83%,Aug 2022,"4,817",4,239,Combat
Tribal Hunter,$14.99,91.71%,Aug 2022,"5,019",7,270,Combat
Alien Shooter,$4.99,91.69%,Sep 2003,"6,168",15,"1,029",Combat
BROK the InvestiGator,$9.99,91.63%,Aug 2022,"5,245",9,223,Combat
DRAGON BALL Z: KAKAROT,$19.99,91.60%,Jan 2020,"158,785",310,"25,852",Combat
Judgment,$39.99,91.58%,Sep 2022,"23,272",176,"5,606",Combat
Charlie Murder,$9.99,91.55%,May 2017,"6,101",21,130,Combat
Commando Collection,$4.78,91.55%,Jul 2024,"3,755",2,115,Combat
Marvel’s Spider-Man: Miles Morales,$19.99,91.49%,Nov 2022,"117,308","2,231","13,539",Combat
Another Crab's Treasure,$29.99,91.41%,Apr 2024,"45,021",289,"4,715",Combat
DmC: Devil May Cry,$7.49,91.30%,Jan 2013,"39,837",97,"5,757",Combat
Yakuza Kiwami,$19.99,91.24%,Feb 2019,"44,616",253,"3,474",Combat
Lost Judgment,$59.99,91.22%,Sep 2022,"26,870",215,"2,269",Combat
Battle Chef Brigade Deluxe,$3.99,91.09%,Nov 2017,"13,235",10,535,Combat
Brutal Legend,$2.99,91.05%,Feb 2013,"27,442",92,"7,172",Combat
SENRAN KAGURA ESTIVAL VERSUS,$8.99,91.03%,Mar 2017,"62,703",13,"1,088",Combat
APE OUT,$14.99,91.02%,Feb 2019,"11,883",5,128,Combat
Black Gunner Wukong,$4.99,91.02%,Feb 2024,932,0,189,Combat
SENRAN KAGURA SHINOVI VERSUS,$7.99,91.01%,Jun 2016,"47,393",11,"1,048",Combat
Devil May Cry HD Collection,$9.89,90.95%,Mar 2018,"51,132",520,"7,622",Combat
Kill The Crows,$2.49,90.71%,Aug 2023,"7,374",34,259,Combat
Khimera: Destroy All Monster Girls,Free,90.55%,Apr 2016,"3,225",3,99,Combat
Bayonetta,$5.99,90.51%,Apr 2017,"114,123",238,"4,194",Combat
Streets of Rage 4,$8.74,90.50%,Apr 2020,"46,100",158,"6,438",Combat
The Legend of Tianding,$19.99,90.50%,Nov 2021,"14,304",3,600,Combat
Advent NEON®,$19.99,90.45%,Jul 2025,"2,754",2,80,Combat
Wrestling Empire,$19.99,90.42%,Jul 2021,"4,632",59,261,Combat
Tears of Metal DemoDemo,Free,90.27%,Oct 2025,—,33,709,Combat
Absolum,$24.99,90.18%,Oct 2025,"35,298","1,191","7,642",Combat
Sifu,$39.98,90.16%,Mar 2023,"69,014",335,"3,189",Combat
The Dishwasher: Vampire Smile,$9.99,90.15%,May 2017,"7,369",4,100,Combat
Gravity Circuit,$16.99,90.14%,Jul 2023,"12,078",12,482,Combat
Yakuza 6: The Song of Life,$19.99,90.11%,Mar 2021,"16,996",90,"1,635",Combat
ADEN,$8.99,90.00%,Dec 2024,"1,642",2,103,Combat
MARVEL vs. CAPCOM Fighting Collection: Arcade Classics,$24.99,89.98%,Sep 2024,"23,064",74,"6,072",Combat
Guacamelee! Gold Edition,$14.99,89.97%,Aug 2013,"5,656",5,"1,698",Combat
Record of Lodoss War-Deedlit in Wonder Labyrinth-,$19.99,89.95%,Mar 2021,"32,224",6,848,Combat
Streets of Fury EX,$9.99,89.73%,Jun 2015,"3,307",0,34,Combat
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,$14.99,89.71%,Feb 2016,"221,901",385,"8,466",Combat
ONE PIECE: PIRATE WARRIORS 4,$39.99,89.60%,Sep 2023,"77,990",332,"9,219",Combat
Guacamelee! Super Turbo Championship Edition,$14.99,89.58%,Aug 2014,"8,838",16,"2,723",Combat
Pulling No Punches,$7.79,89.51%,Aug 2022,"2,311",0,122,Combat
Fate/EXTELLA LINK,$14.99,89.49%,Mar 2019,"41,030",20,"3,118",Combat
Mortal Kombat Komplete Edition,—,89.40%,—,"29,718",56,"5,235",Combat
BROK the InvestiGator - Prologue,Free,89.35%,Dec 2020,"1,084",0,20,Combat
Like a Dragon: Infinite Wealth,$69.99,89.15%,Jan 2024,"50,109",760,"46,161",Combat
Paper Animal Adventure,$14.99,89.15%,Aug 2025,"2,519",0,95,Combat
Ball-it Hell,$2.99,89.15%,Feb 2024,421,0,34,Combat
Wires And Whiskers,Free,89.14%,Jul 2025,"2,455",14,167,Combat
Rampage Knights,$12.99,89.07%,Sep 2015,"24,026",17,"1,206",Combat
Brush Burial: Gutter World,$9.99,89.07%,Nov 2025,"3,146",75,170,Combat
DRAGON BALL FighterZ,$14.39,89.05%,Jan 2018,"208,545",779,"44,303",Combat
Tonight We Riot,$14.99,89.05%,May 2020,"3,894",0,84,Combat
HAYAI,$1.99,89.01%,May 2022,631,0,34,Combat
SENRAN KAGURA Burst Re:Newal,$8.99,88.98%,Jan 2019,"22,846",21,334,Combat
Sakuna: Of Rice and Ruin,$13.49,88.91%,Nov 2020,"41,710",49,"7,043",Combat
Bacon May Die,Free,88.86%,Apr 2021,"2,503",3,107,Combat
Touhou Mystery Reel,Free,88.77%,Feb 2022,"1,790",2,55,Combat
DRAGON BALL XENOVERSE 2,$19.99,88.61%,Oct 2016,"188,222",821,"19,416",Combat
TRANSFORMERS: Devastation,—,88.44%,Oct 2015,"17,353",3,494,Combat
"Guns, Gore & Cannoli",$3.99,88.29%,Apr 2015,"16,534",18,263,Combat
Yakuza 4 Remastered,$19.99,88.24%,Jan 2021,"7,386",100,913,Combat
SHINOBI NON GRATA,$14.99,88.20%,May 2023,"1,571",0,32,Combat
Batman™: Arkham Origins,$3.99,88.14%,Oct 2013,"74,030",930,"25,017",Combat
Ultra Street Fighter® IV,$3.89,88.14%,Aug 2014,"30,397",207,"5,547",Combat
Pull Stay,$12.74,88.12%,Mar 2025,"5,179",0,15,Combat
Yuri Sword Saga,$10.99,88.11%,Nov 2024,"1,281",0,105,Combat
Chained Beasts DemoDemo,Free,88.10%,Nov 2025,—,201,691,Combat
Suit for Hire,$14.99,88.07%,Jun 2025,"12,204",34,725,Combat
Fights in Tight Spaces (Prologue),Free,88.07%,Dec 2020,"2,572",0,232,Combat
Hyperdimension Neptunia U: Action Unleashed,$14.99,88.04%,Mar 2016,"23,585",1,"1,249",Combat
Batman™: Arkham Knight,$3.99,88.02%,Jun 2015,"190,599","2,476","27,406",Combat
DRAGON BALL XENOVERSE,$39.99,87.87%,Feb 2015,"97,061",79,"22,850",Combat
En Garde!,$19.99,87.74%,Aug 2023,"21,853",14,574,Combat
Furi,$19.99,87.73%,Jul 2016,"45,952",26,640,Combat
Fight'N Rage,$19.99,87.67%,Sep 2017,"9,903",10,220,Combat
Bud Spencer & Terence Hill - Slaps And Beans,$14.99,87.56%,Dec 2017,"13,422",2,226,Combat
Guacamelee! 2,$19.99,87.55%,Aug 2018,"11,776",7,770,Combat
Gladio and Glory,Free,87.55%,Mar 2021,"3,983",19,272,Combat
Super Crush KO,$14.99,87.53%,Jan 2020,"1,319",0,11,Combat
ECHOLOCAUTION,$4.99,87.50%,Mar 2021,496,0,11,Combat
Rocket delivery: Space Wok,Free,87.49%,Mar 2025,150,1,63,Combat
Bung Ball,Free,87.49%,Jun 2023,93,0,10,Combat
BAKERU,$39.99,87.46%,Sep 2024,"3,135",2,100,Combat
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,$9.99,87.40%,Oct 2013,"36,246",35,"4,713",Combat
Chicken Assassin: Reloaded,$1.99,87.35%,Jun 2016,"1,354",2,80,Combat
Going Under,$19.99,87.32%,Sep 2020,"12,539",3,568,Combat
Astro Prospector PrologueDemo,Free,87.32%,Apr 2025,—,5,111,Combat
白猫骑士物语/ White Cat Knight,$1.99,87.31%,Sep 2025,45,0,14,Combat
FIGHT KNIGHT,$19.99,87.27%,Nov 2021,"7,118",3,300,Combat
Magic Axolotl,$2.99,87.27%,Oct 2022,246,0,5,Combat
Devil May Cry 4,—,87.19%,Jul 2008,"11,295",3,501,Combat
AEROMACHINA: Test-FlightDemo,Free,87.09%,Jun 2025,—,0,100,Combat
The Vagrant,$3.99,87.08%,Jul 2018,"26,499",4,"1,268",Combat
Fights in Tight Spaces,$24.99,87.06%,Dec 2021,"21,286",106,"1,469",Combat
Buck Up And Drive!,$7.99,87.01%,Jan 2022,"2,322",0,83,Combat
Full Metal Furies,$19.99,86.98%,Jan 2018,"17,118",4,587,Combat
Darksiders™,—,86.97%,Sep 2010,"16,634",20,"3,929",Combat
THE KING OF FIGHTERS XIII STEAM EDITION,—,86.90%,Sep 2013,"32,923",20,"1,100",Combat
Rubber Bandits: Summer Prologue,—,86.86%,May 2021,"4,884",0,"2,696",Combat
Star Fire: Eternal Cycle,$16.99,86.79%,Sep 2025,"4,678",17,"1,740",Combat
Psycho Bathroom,Free,86.76%,Apr 2022,264,0,655,Combat
Shank,$9.99,86.73%,Oct 2010,"6,654",7,573,Combat
MADNESS: Project Nexus SoundtrackMusic,$9.99,86.68%,Mar 2020,—,—,—,Combat
Clash: Artifacts of Chaos,$29.99,86.67%,Mar 2023,"9,939",4,148,Combat
GearGrit DemoDemo,Free,86.62%,Feb 2025,—,1,41,Combat
Rage Quit,Free,86.56%,Sep 2025,228,0,27,Combat
Yakuza 5 Remastered,$19.99,86.45%,Jan 2021,"8,723",171,852,Combat
OK K.O.! Let’s Play Heroes,—,86.41%,Jan 2018,"1,755",0,48,Combat
Dragon Fist: VR Kung Fu,$19.99,86.39%,Dec 2021,"2,110",4,34,Combat
Visca's Earth Conquest,$2.99,86.37%,Feb 2024,354,1,21,Combat
Terror of Hemasaurus,$14.99,86.24%,Oct 2022,"5,191",4,170,Combat
Noitu Love 2: Devolution,$4.99,86.16%,Apr 2012,"2,141",0,95,Combat
Halluci-Sabbat of Koishi,$7.99,86.13%,Sep 2024,"3,243",0,81,Combat
Kung Fury: Street Rage - Ultimate Edition,$19.99,85.99%,May 2015,"9,750",1,224,Combat
Decline's Drops,$18.99,85.92%,Oct 2024,"1,396",0,32,Combat
Devil May Cry 4 Special Edition,$7.49,85.89%,Jun 2015,"64,755",167,"4,500",Combat
Kuro survival,$1.19,85.86%,Jun 2017,65,0,"2,868",Combat
RUNGORE: Beginner Experience,Free,85.83%,Sep 2022,"2,338",0,862,Combat
Superfighters Deluxe,$9.99,85.80%,Nov 2018,"7,641",25,239,Combat
The Ninja Saviors: Return of the Warriors,$19.99,85.78%,Jul 2023,"3,866",1,75,Combat
Ink Inside - First Page,Free,85.64%,Oct 2024,161,0,"3,340",Combat
Grim Trials DemoDemo,Free,85.62%,Jul 2025,—,0,"1,203",Combat
Chaos Faction Legacy Collection,$4.99,85.58%,Jan 2025,430,1,16,Combat
DEAD RISING®,$9.99,85.56%,Sep 2016,"22,678",27,993,Combat
Midnight Fight Express,$9.99,85.53%,Aug 2022,"20,656",32,783,Combat
The friends of Ringo Ishikawa,$14.99,85.49%,May 2018,"21,233",12,439,Combat
Shenmue I & II,$5.99,85.41%,Aug 2018,"31,454",21,"1,554",Combat
GigaBash - Godzilla: Nemesis DLCDLC,$5.99,85.35%,May 2024,—,—,—,Combat
MARVEL Cosmic Invasion DemoDemo,Free,85.25%,Oct 2025,—,51,"1,125",Combat
Marc Eckō's Getting Up: Contents Under Pressure,$14.99,85.23%,Feb 2006,"4,102",11,113,Combat
Tia:weird hunter DemoDemo,Free,85.23%,Jul 2025,—,1,52,Combat
Falling with Ice Phoenix!,$9.99,85.20%,Nov 2024,"4,183",1,178,Combat
REDLINE CROOKS,$11.99,85.04%,Nov 2024,514,0,10,Combat
Megabyte Punch,$14.99,84.97%,Oct 2013,"2,728",0,212,Combat
Lost Castle / 失落城堡,$3.99,84.95%,Sep 2016,"101,032",43,"4,701",Combat
Say No! More,$14.99,84.95%,Apr 2021,"3,421",4,85,Combat
KAPITAL PUNISHMENT 22XX,$4.99,84.92%,Mar 2023,284,0,6,Combat
That's Not How it Happened,Free,84.85%,Aug 2022,192,0,3,Combat
Barbaria,$19.99,84.70%,Feb 2023,974,0,13,Combat
Troublemaker 2: Beyond Dream,$24.99,84.65%,Sep 2025,"1,397",1,128,Combat
Pocket Bravery,$13.99,84.64%,Aug 2023,"5,419",6,324,Combat
Crazy Flasher Series 2021,$0.99,84.59%,Feb 2021,"5,455",4,916,Combat
Advent NEON DemoDemo,Free,84.56%,Aug 2019,—,0,53,Combat
Streets Of Rage 4 - Mr. X NightmareDLC,$7.99,84.45%,Jul 2021,—,—,—,Combat
Injustice: Gods Among Us Ultimate Edition,$2.99,84.44%,Nov 2013,"37,122",59,"10,344",Combat
The Bleakest Keep,$9.99,84.44%,Sep 2025,"3,349",30,82,Combat
Alien Hominid Invasion,$14.99,84.42%,Nov 2023,"16,158",3,"1,238",Combat
Injustice™ 2,$4.99,84.40%,Nov 2017,"65,419",281,"2,131",Combat
Grandpa's Cheese,Free,84.40%,May 2022,94,1,55,Combat
KORRIDOR DemoDemo,Free,84.40%,Sep 2025,—,2,39,Combat
Ninjin: Clash of Carrots,$0.99,84.39%,Sep 2018,"1,123",2,21,Combat
Clodhoppers,—,84.39%,Apr 2021,372,0,48,Combat
BVOVB - Bruising Vengeance of the Vintage Boxer,Free,84.38%,Aug 2022,160,0,4,Combat
Raw Metal,$19.99,84.33%,Mar 2024,"5,536",2,75,Combat
Redeemer: Enhanced Edition,$9.99,84.26%,Aug 2017,"12,500",5,802,Combat
Lithium City,$7.99,84.26%,Jun 2020,767,0,10,Combat
Zombie Training Simulator,$19.99,84.20%,Apr 2016,"1,316",0,199,Combat
Mr. Shifty,$14.99,84.18%,Apr 2017,"8,422",1,349,Combat
Men against Lizards,$9.99,84.18%,Nov 2024,208,0,12,Combat
Absolum DemoDemo,Free,84.18%,Jun 2025,—,17,433,Combat
Eclipse 2: Invasion of Darkness DemoDemo,Free,84.16%,Jun 2025,—,0,22,Combat
BROK the InvestiGator - The Brawl BarDLC,$8.99,84.16%,Aug 2025,—,—,—,Combat
TEXNOPLAZM,$14.99,84.13%,Aug 2025,"1,939",0,14,Combat
Mother Russia Bleeds,$14.99,84.08%,Sep 2016,"23,668",7,"1,250",Combat
Condemned: Criminal Origins,—,84.05%,Apr 2006,"9,325",6,371,Combat
Memory Lost: Chapter One,Free,84.02%,Dec 2022,453,0,"4,299",Combat
Gang Beasts,$19.99,84.00%,Dec 2017,"249,984",331,"3,062",Combat
Fly Punch Boom: First Impact!,Free,83.95%,Apr 2020,"1,393",0,133,Combat
UBERMOSH:SANTICIDE,$0.49,83.95%,Jul 2018,414,9,105,Combat
Gachi Revenge,$0.99,83.91%,Jun 2020,339,0,10,Combat
MannaRites,Free,83.89%,Aug 2020,752,0,44,Combat
Oh So Hero!,$9.99,83.88%,May 2025,"1,950",5,139,Combat
Reloader: test_subject,$0.99,83.78%,Jan 2022,744,0,23,Combat
"Warhammer 40,000: Shootas, Blood & Teef",$19.99,83.77%,Oct 2022,"18,943",11,932,Combat
Slavistan,$2.99,83.77%,Jul 2016,"1,370",0,"1,861",Combat
RUNGORE,$14.99,83.74%,May 2024,"6,529",10,208,Combat
SAND LAND,$59.99,83.73%,Apr 2024,"29,270",16,"1,716",Combat
Mayhem Brawler,$19.99,83.73%,Aug 2021,"4,690",0,80,Combat
Capcom Beat 'Em Up Bundle,$9.99,83.65%,Oct 2018,"10,702",4,156,Combat
Berserker's Descent,$9.99,83.65%,Sep 2020,541,0,6,Combat
Ruins Of Mitriom,Free,83.64%,Jan 2022,539,0,23,Combat
Wrestling Revolution 2D,$4.99,83.61%,Jul 2012,"1,300",0,12,Combat
Monster: Titan's Playground,$29.99,83.59%,Jul 2025,"1,549",4,168,Combat
Furi Demake - The Chain,$1.19,83.54%,Nov 2023,"1,056",0,273,Combat
Kemono Heroes,$14.99,83.40%,Mar 2025,569,0,13,Combat
Quantum Beast,$5.99,83.40%,Sep 2025,297,0,11,Combat
The Quarter Game,$0.99,83.36%,Dec 2017,170,0,6,Combat
Bladed fury,$9.99,83.30%,Dec 2018,"17,851",0,"1,191",Combat
Troublemaker,$7.99,83.29%,Mar 2023,"4,891",2,374,Combat
Input Chaos,$3.99,83.27%,Sep 2022,118,0,5,Combat
Clan O'Conall and the Crown of the Stag,$7.99,83.24%,Apr 2021,949,0,18,Combat
Cinderella Escape 2 Revenge,$14.99,83.23%,Oct 2017,"8,419",1,102,Combat
Teenage Mutant Ninja Turtles: Shredder's Revenge - Radical ReptilesDLC,$3.99,83.18%,Sep 2024,—,—,—,Combat
Grabity,Free,83.12%,May 2018,747,5,78,Combat
Huuma Mina: The Secret of Immortality,$14.99,83.09%,Jun 2020,"3,196",0,275,Combat
Zeno Clash,$9.99,83.04%,Apr 2009,"5,285",13,712,Combat
Super Algebrawl,$5.99,83.04%,Jan 2024,763,1,48,Combat
Teenage Mutant Ninja Turtles: The Cowabunga Collection,$15.99,83.03%,Aug 2022,"11,722",5,379,Combat
Fight'N'Jokes,$9.99,83.00%,May 2024,336,0,6,Combat
Roof Rage,$14.99,82.94%,Oct 2019,"4,065",0,150,Combat
Holo X Break,Free,82.93%,Mar 2024,"9,151",3,"9,607",Combat
BlazBlue: Calamity Trigger,$9.99,82.88%,Feb 2014,"10,333",5,269,Combat
Ink Inside,$9.99,82.80%,Dec 2024,525,0,7,Combat
Time Commando,$5.99,82.76%,Jul 1996,484,0,6,Combat
Beers and Boomerangs,$4.99,82.70%,Nov 2022,257,0,6,Combat
Exploding Judo Federation,Free,82.69%,Oct 2025,193,2,15,Combat
Scirocco Thugs DemoDemo,Free,82.63%,May 2025,—,0,68,Combat
Intrepid Izzy,$10.99,82.55%,Jul 2020,347,0,4,Combat
Legend of Himari,$0.99,82.52%,Mar 2018,694,1,"1,866",Combat
Rising Hell,$9.99,82.49%,May 2021,"4,199",0,28,Combat
Brimstone Brawlers - Early Access,Free,82.46%,May 2020,874,0,35,Combat
MoonMiners,$4.99,82.38%,Jul 2025,"2,661",1,12,Combat
Roller Riot,Free,82.37%,Apr 2020,431,0,32,Combat
Acts of Blood DemoDemo,Free,82.37%,Nov 2024,—,15,723,Combat
Fly Punch Boom!,$14.99,82.36%,May 2020,"1,682",0,48,Combat
Creepy Creepy Love,$4.99,82.31%,Oct 2024,217,0,4,Combat
TEKKEN 7,$13.49,82.30%,Jun 2017,"209,575",512,"18,966",Combat
Teenage Mutant Ninja Turtles: Tactical Takedown,$19.99,82.25%,May 2025,"2,333",1,61,Combat
SiNiSistar Lite Version,$4.99,82.24%,Nov 2021,"9,297",0,29,Combat
Bloodroots,$19.99,82.22%,Mar 2021,"4,099",2,57,Combat
Fuhrer in LA - Special Edition,$1.99,82.21%,Aug 2020,218,0,3,Combat
You are Peter Shorts,$14.99,82.19%,May 2024,794,2,58,Combat
Heartless & Dreadful : Return by 72 Hours,$6.99,82.19%,Aug 2023,262,0,5,Combat
The Wonderful 101: Remastered,$39.99,82.10%,May 2020,"5,738",2,294,Combat
Breadborn,Free,82.10%,Nov 2024,143,0,11,Combat
MOONPONG: Tales of Epic Lunacy,$5.99,82.07%,Sep 2022,224,0,8,Combat
Zombies and Keys,$0.99,82.05%,Jul 2022,150,0,3,Combat
Platypus Adventures,$19.99,82.04%,Jul 2022,432,0,6,Combat
X-Force Under Attack,$5.99,82.04%,Oct 2023,121,0,3,Combat
DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,$14.99,82.01%,May 2014,"73,720",115,"3,878",Combat
Shaolin vs Wutang Legends,$19.99,81.97%,Sep 2025,311,2,10,Combat
River City Girls 2,$19.99,81.96%,Dec 2022,"12,540",44,833,Combat
MECHBLAZE,$9.99,81.89%,Nov 2020,983,0,11,Combat
Trinity Fusion,$19.99,81.88%,Dec 2023,"8,659",3,236,Combat
Captain Gazman Day Of The Rage,$6.99,81.86%,Dec 2024,"3,630",0,3,Combat
AKIBA'S TRIP: Undead ＆ Undressed,$7.99,81.82%,May 2015,"44,151",5,507,Combat
Double Dragon Gaiden: Rise Of The Dragons,$8.74,81.81%,Jul 2023,"9,762",12,308,Combat
Armed with Wings: Rearmed,$9.99,81.80%,Jun 2017,"6,593",0,524,Combat
One in a Krillion,Free,81.78%,Jun 2024,97,0,5,Combat
Wendigo Blue,$9.99,81.75%,Jan 2025,"1,864",2,23,Combat
KIBORG,$24.99,81.70%,Apr 2025,"11,406",20,651,Combat
BOMJMAN,Free,81.70%,Dec 2020,"2,908",4,300,Combat
Butcher's Creek DemoDemo,Free,81.69%,Oct 2024,—,0,75,Combat
Last Slice,Free,81.66%,Apr 2022,260,0,19,Combat
Shadow of the Guild,$7.99,81.65%,Nov 2022,332,0,7,Combat
Cake Bash,$19.99,81.64%,Oct 2020,"5,071",8,155,Combat
