Name,Price,Rating,Release,Follows,Online,Peak,Genre
The Henry Stickmin Collection,$5.99,96.83%,Aug 2020,"51,924",257,"2,812",Interactive-Fiction
Shiina Taki's Decameron,Free,96.02%,Nov 2024,"2,156",8,475,Interactive-Fiction
Our Life: Beginnings & Always,Free,95.92%,Nov 2020,"24,471",110,"1,942",Interactive-Fiction
魔女的夜宴,$34.99,95.60%,Jul 2023,"24,237",76,"1,374",Interactive-Fiction
Before Your Eyes,$9.99,95.54%,Apr 2021,"19,377",15,510,Interactive-Fiction
There Is No Game: Wrong Dimension,$12.99,95.46%,Aug 2020,"28,671",43,"1,348",Interactive-Fiction
Finding Paradise,$9.99,95.32%,Dec 2017,"44,557",5,994,Interactive-Fiction
A Date with Death,Free,95.27%,Dec 2023,"26,029",133,"2,870",Interactive-Fiction
Buy a Croquette!,Free,95.25%,Apr 2024,"3,964",24,451,Interactive-Fiction
Gorogoa,$3.74,95.12%,Dec 2017,"42,555",38,813,Interactive-Fiction
Shift At Midnight Multiplayer DemoDemo,Free,95.06%,Sep 2025,—,345,"1,105",Interactive-Fiction
Sally Face - Episode One,$2.99,95.03%,Dec 2016,"50,082",179,"2,107",Interactive-Fiction
The Case of the Golden Idol,$17.99,94.97%,Oct 2022,"14,350",59,605,Interactive-Fiction
Slay the Princess — The Pristine Cut,$17.99,94.85%,Oct 2023,"57,234",167,"2,583",Interactive-Fiction
Doki Doki Literature Club Plus!,$14.99,94.77%,Jun 2021,"72,025",83,"8,662",Interactive-Fiction
Summer Clover,$17.99,94.77%,Jun 2024,"38,960",153,"5,199",Interactive-Fiction
To the Moon,$9.99,94.70%,Nov 2011,"71,139",17,637,Interactive-Fiction
I Wani Hug that Gator!,$14.99,94.70%,Feb 2024,"8,166",14,759,Interactive-Fiction
Aliya: Timelink,$2.99,94.64%,Apr 2024,"4,902",25,639,Interactive-Fiction
Sora no Kiseki the 1st,$59.99,94.63%,Sep 2025,"16,525",137,"14,295",Interactive-Fiction
The Walking Dead: The Telltale Definitive Series,$49.99,94.59%,Oct 2020,"34,023","1,958","7,820",Interactive-Fiction
Milk inside a bag of milk inside a bag of milk,$1.49,94.55%,Aug 2020,"11,493",14,79,Interactive-Fiction
Until Then,$19.99,94.41%,Jun 2024,"30,285",85,639,Interactive-Fiction
The Test: Final Revelation,$1.99,94.36%,Oct 2020,531,0,131,Interactive-Fiction
Your Turn To Die -Death Game By Majority-,$13.59,94.11%,Feb 2023,"16,810",57,471,Interactive-Fiction
Scarlet Hollow,$24.99,94.11%,Jun 2021,"14,337",41,647,Interactive-Fiction
Far Away,$12.99,94.07%,Aug 2021,"17,803",4,"1,053",Interactive-Fiction
At Home Alone Final,Free,94.07%,Jan 2022,"7,112",9,389,Interactive-Fiction
Vampires' Melody,$3.99,94.04%,Oct 2020,"8,579",4,174,Interactive-Fiction
Tiny Bunny,$10.99,94.00%,Apr 2021,"27,746",177,"5,603",Interactive-Fiction
Ticy Adventure Club,Free,93.82%,Dec 2022,"3,773",0,175,Interactive-Fiction
Frog Detective 3: Corruption at Cowboy County,$4.99,93.74%,Oct 2022,"2,195",2,220,Interactive-Fiction
No Case Should Remain Unsolved,$6.99,93.71%,Jan 2024,"10,366",7,594,Interactive-Fiction
Beacon Pines,$19.99,93.68%,Sep 2022,"13,234",4,198,Interactive-Fiction
The Roottrees are Dead,$19.99,93.61%,Jan 2025,"12,656",90,"1,116",Interactive-Fiction
月に寄りそう乙女の作法,$39.99,93.58%,Jun 2022,"10,893",18,689,Interactive-Fiction
Class of '09: The Re-Up,$14.99,93.58%,Jun 2023,"8,843",30,284,Interactive-Fiction
Endless Monday: Dreams and Deadlines,$6.49,93.58%,May 2023,"4,985",4,96,Interactive-Fiction
