Name,Price,Rating,Release,Follows,Online,Peak,Genre
Among Us,$2.99,91.16%,Nov 2018,"336,452","9,134","447,476",Party-Game
Stumble Guys,Free,83.97%,Oct 2021,"94,002","3,101","43,705",Party-Game
Party Animals,$19.99,78.26%,Sep 2023,"647,838","2,649","104,174",Party-Game
Pummel Party,$14.99,87.32%,Sep 2018,"161,298","1,548","20,957",Party-Game
ROUNDS,$5.99,93.31%,Apr 2021,"21,618",850,"2,269",Party-Game
Feign,$2.99,88.08%,Nov 2025,"10,472",821,"2,700",Party-Game
Astral Party,Free,56.19%,Feb 2024,"21,199",449,"34,387",Party-Game
Ultimate Chicken Horse,$14.99,94.07%,Mar 2016,"123,302",445,"15,874",Party-Game
Gang Beasts,$19.99,84.00%,Dec 2017,"249,984",331,"3,062",Party-Game
Ale & Tale Tavern,$14.99,86.80%,Sep 2024,"40,857",331,"6,075",Party-Game
BAPBAP,Free,79.38%,Aug 2025,"6,837",256,"1,216",Party-Game
Idol Party 2 - Love Vibe,Free,62.56%,Oct 2025,922,245,703,Party-Game
Super Bunny Man,$14.99,83.96%,May 2023,"67,730",192,"2,736",Party-Game
UNO,$3.99,70.25%,Dec 2016,"145,772",173,"5,639",Party-Game
The Jackbox MegapickerApplication,Free,74.42%,Jul 2024,"1,939",173,"1,978",Party-Game
Fall Guys,—,80.68%,Aug 2020,"696,463",163,"172,213",Party-Game
The Jackbox Party Pack 3,$14.99,93.35%,Oct 2016,"17,491",161,"10,972",Party-Game
Keep Talking and Nobody Explodes,$14.99,94.82%,Oct 2015,"117,763",160,"3,386",Party-Game
Draw & Guess,$2.99,82.61%,Mar 2021,"46,352",157,"41,766",Party-Game
Super Sus,Free,68.05%,Jul 2024,"1,864",146,502,Party-Game
Cheese Rolling,Free,92.04%,Aug 2025,"1,191",145,568,Party-Game
PICO PARK,$4.99,88.93%,May 2021,"62,064",138,"16,802",Party-Game
POLYGON,Free,74.07%,Mar 2020,"30,125",121,"1,247",Party-Game
The Jackbox Party Pack 11,$23.99,86.82%,Oct 2025,"3,074",100,"1,242",Party-Game
SOS OPS!,$0.89,74.67%,Nov 2023,"6,760",99,413,Party-Game
Tricky Towers,$14.99,88.13%,Aug 2016,"51,196",94,"1,002",Party-Game
Desktop Fishing,$3.49,83.01%,Jun 2025,503,92,569,Party-Game
Voyagers of Nera,$29.99,81.63%,Sep 2025,"34,201",88,"2,968",Party-Game
Guilty as Sock!,$5.50,86.38%,May 2025,"23,440",88,"8,409",Party-Game
A Gentlemen's Dispute,$7.99,89.22%,Sep 2025,"3,506",88,"1,015",Party-Game
Drunken Wrestlers 2,$3.99,84.95%,Apr 2019,"8,492",83,"1,045",Party-Game
The Jackbox Party Pack 7,$17.99,92.86%,Oct 2020,"14,338",83,"10,599",Party-Game
LEGO® Party!,$39.99,81.72%,Sep 2025,"7,936",74,863,Party-Game
The Jackbox Party Pack 6,$16.49,91.04%,Oct 2019,"12,824",62,"6,630",Party-Game
The Jackbox Party Pack 4,$11.24,91.17%,Oct 2017,"8,042",56,"3,902",Party-Game
Make Way,$14.99,87.45%,Dec 2023,"5,239",55,431,Party-Game
Football Simulator,$19.99,76.36%,Jun 2022,"2,474",45,188,Party-Game
Boomerang Fu,$14.99,92.35%,Aug 2020,"8,764",42,192,Party-Game
The Jackbox Party Pack 8,$17.99,85.76%,Oct 2021,"7,158",38,"4,723",Party-Game
The Jackbox Party Pack 5,$14.99,89.67%,Oct 2018,"8,941",38,"2,748",Party-Game
Idol Party,Free,70.15%,Aug 2024,"1,233",36,536,Party-Game
The Jackbox Party Pack 2,$9.99,90.94%,Oct 2015,"12,634",34,"4,937",Party-Game
The Jackbox Party Pack 9,$17.99,78.76%,Oct 2022,"4,881",32,"2,337",Party-Game
Deducto,Free,86.54%,Feb 2022,"5,076",32,964,Party-Game
Kill It With Fire,$12.99,91.17%,Aug 2020,"8,296",32,472,Party-Game
MicroWorks,Free,77.78%,Sep 2022,"2,641",31,500,Party-Game
Quiplash,$3.49,85.77%,Jun 2015,"7,506",31,"2,855",Party-Game
The Jackbox Party Starter,$8.99,87.47%,Jun 2022,"1,637",30,556,Party-Game
Biped 2,$19.99,65.02%,Nov 2025,"4,299",29,472,Party-Game
King of Meat,$29.99,71.00%,Oct 2025,"4,607",29,320,Party-Game
Walk of Life,$19.99,81.95%,Oct 2025,"2,726",29,273,Party-Game
First Class Trouble,$14.99,76.74%,Nov 2021,"21,517",26,"1,271",Party-Game
Move or Die,$14.99,87.57%,Jan 2016,"74,659",25,"2,038",Party-Game
West Hunt,$9.99,80.70%,Mar 2023,"9,099",23,"1,525",Party-Game
Topple Tactics,$3.79,85.19%,Oct 2023,"2,991",23,551,Party-Game
The Jackbox Party Pack,$9.99,86.71%,Nov 2014,"11,196",20,"3,913",Party-Game
Midnight Murder Club,$9.99,64.39%,Aug 2025,"7,359",19,270,Party-Game
Slap 'em UP!,Free,77.21%,Nov 2025,233,19,212,Party-Game
