Name,Price,Rating,Release,Follows,Online,Peak,Genre
Vampire Survivors,$4.99,97.26%,Oct 2022,"136,357","5,061","77,061",Roguelike
Hades,$24.99,97.05%,Sep 2020,"301,214","5,093","54,240",Roguelike
Balatro,$14.99,96.67%,Feb 2024,"102,110","9,786","43,905",Roguelike
Slay the Spire,$24.99,96.53%,Jan 2019,"229,694","8,843","33,086",Roguelike
The Binding of Isaac: Rebirth,$14.99,96.25%,Nov 2014,"370,936","19,594","70,701",Roguelike
Dead Cells,$24.99,95.82%,Aug 2018,"395,220","1,485","14,910",Roguelike
Crab Champions,$9.99,95.72%,Apr 2023,"44,862","1,270","8,564",Roguelike
Inscryption,$19.99,95.56%,Oct 2021,"125,512",917,"17,072",Roguelike
Don't Starve,$9.99,95.18%,Apr 2013,"212,872",926,"16,796",Roguelike
Brotato,$4.99,95.14%,Jun 2023,"80,388","5,513","38,905",Roguelike
Nubby's Number Factory,$4.99,95.02%,Mar 2025,"5,423",599,"4,839",Roguelike
White Knuckle,$14.99,94.85%,Apr 2025,"14,377",201,"1,417",Roguelike
Clone Drone in the Danger Zone,$19.99,94.76%,Jul 2021,"33,109",297,"1,944",Roguelike
Picayune Dreams,$4.99,94.71%,Dec 2023,"4,066",30,683,Roguelike
Baldi's Basics Plus,$9.99,94.55%,Jun 2020,"9,947",143,693,Roguelike
Don't Starve Together,$14.99,94.27%,Apr 2016,"733,651","14,635","115,925",Roguelike
Rabbit and Steel,$14.99,94.27%,May 2024,"24,234",123,"5,446",Roguelike
Arrow a Row,Free,94.22%,Aug 2023,"3,288",53,"9,404",Roguelike
Buckshot Roulette,$2.99,94.19%,Apr 2024,"72,600","1,096","20,226",Roguelike
The Void Rains Upon Her Heart,$12.99,94.00%,Feb 2018,"2,352",14,131,Roguelike
Mini Motorways,$7.49,93.98%,Jul 2021,"37,797",628,"9,914",Roguelike
Disfigure,Free,93.94%,Jul 2023,"2,814",64,"1,272",Roguelike
Hades II,$29.99,93.92%,Sep 2025,"274,868","17,203","112,947",Roguelike
Path of Achra,$9.99,93.91%,May 2024,"6,217",60,"1,066",Roguelike
Paint the Town Red,$19.99,93.88%,Jul 2021,"58,758",268,"1,423",Roguelike
