Name,Price,Rating,Release,Follows,Online,Peak,Genre
Stardew Valley,$14.99,97.68%,Feb 2016,"1,008,343","44,368","236,614",Sandbox
People Playground,$9.99,97.43%,Jul 2019,"95,634","5,790","17,015",Sandbox
Wallpaper EngineApplication,$4.99,97.27%,Nov 2018,"1,415,845","60,289","150,375",Sandbox
Terraria,$9.99,96.78%,May 2011,"909,006","23,922","489,886",Sandbox
RimWorld,$27.99,96.73%,Oct 2018,"618,475","23,929","96,040",Sandbox
Slime Rancher,$4.99,96.63%,Aug 2017,"256,318","1,784","17,059",Sandbox
Totally Accurate Battle Simulator,$19.99,96.48%,Apr 2021,"347,719","1,680","13,674",Sandbox
Mount & Blade: Warband,$4.99,96.45%,Mar 2010,"190,005","3,261","33,054",Sandbox
BeamNG.drive,$24.99,96.38%,May 2015,"439,308","27,639","32,320",Sandbox
Bloons TD 6,$13.99,96.23%,Dec 2018,"94,366","10,233","53,943",Sandbox
Garry's Mod,$4.99,96.12%,Nov 2006,"791,842","26,403","73,863",Sandbox
Satisfactory,$39.99,96.10%,Sep 2024,"396,170","18,734","186,158",Sandbox
tModLoader,Free,96.09%,May 2020,"22,146","24,650","56,583",Sandbox
WEBFISHING,$4.99,96.04%,Oct 2024,"34,513",388,"24,085",Sandbox
Dyson Sphere Program,$19.99,96.03%,Jan 2021,"246,645","2,288","59,815",Sandbox
Subnautica,$29.99,95.96%,Jan 2018,"624,470","3,523","51,156",Sandbox
Factorio,$35.00,95.94%,Aug 2020,"401,263","19,170","118,674",Sandbox
VTOL VR,$29.99,95.67%,Aug 2017,"36,484",305,"1,777",Sandbox
Fields of Mistria,$13.99,95.60%,Aug 2024,"122,282","1,211","12,452",Sandbox
POSTAL 2,$9.99,95.58%,Apr 2003,"60,686",871,"4,636",Sandbox
Wobbledogs,$19.99,95.49%,Mar 2022,"14,189",173,591,Sandbox
Oxygen Not Included,$7.49,95.43%,Jul 2019,"403,127","9,293","27,486",Sandbox
The Witcher 3: Wild Hunt,$39.99,95.39%,May 2015,"986,593","16,817","103,329",Sandbox
Juice Galaxy,$4.99,95.38%,Nov 2023,"5,640",34,426,Sandbox
Ravenfield,$17.99,95.26%,May 2017,"122,201",761,"3,939",Sandbox
Stronghold Crusader HD (2012),$9.99,95.21%,Jul 2002,"19,642",892,"2,942",Sandbox
Don't Starve,$9.99,95.18%,Apr 2013,"212,872",926,"16,796",Sandbox
Tiny Glade,$14.99,95.09%,Sep 2024,"180,842",332,"10,692",Sandbox
Goat Simulator 3,$29.99,95.09%,Feb 2024,"26,803",598,"3,613",Sandbox
Counter-Strike: Source,$9.99,95.08%,Nov 2004,"442,245","17,178","100,056",Sandbox
Wobbly Life,$24.99,95.02%,Sep 2025,"37,988","1,175","10,421",Sandbox
shapez 2,$16.24,95.00%,Aug 2024,"49,837",600,"18,806",Sandbox
Blade and Sorcery,$29.99,94.92%,Jun 2024,"85,188",749,"9,509",Sandbox
Mon Bazou,$15.99,94.91%,Dec 2021,"25,179",632,"2,741",Sandbox
Fallout: New Vegas,$4.99,94.86%,Oct 2010,"176,544","5,539","51,038",Sandbox
"Hot Dogs, Horseshoes & Hand Grenades",$19.99,94.81%,Apr 2016,"29,759",215,992,Sandbox
PowerWash Simulator,$12.49,94.75%,Jul 2022,"85,359","2,637","14,178",Sandbox
The Forest,$19.99,94.73%,Apr 2018,"790,117","4,890","109,397",Sandbox
SuchArt: Creative Space,Free,94.67%,Jan 2021,"10,068",38,879,Sandbox
BlenderApplication,Free,94.66%,Jan 1994,"109,715","11,727","15,236",Sandbox
Batman: Arkham City - Game of the Year Edition,$3.99,94.56%,Sep 2012,"52,878","1,051","6,871",Sandbox
Your Only Move Is HUSTLE,$4.99,94.47%,Feb 2023,"33,966",766,"3,405",Sandbox
BABBDI,Free,94.46%,Dec 2022,"2,814",23,117,Sandbox
The Planet Crafter,$11.99,94.37%,Apr 2024,"168,994","13,630","28,416",Sandbox
Loddlenaut,$6.99,94.35%,Nov 2023,"9,990",41,390,Sandbox
Dorfromantik,$13.99,94.30%,Apr 2022,"73,201",490,"7,101",Sandbox
Teardown,$29.99,94.28%,Apr 2022,"210,999","3,067","8,339",Sandbox
Universe Sandbox,$29.99,94.28%,Aug 2015,"171,960",470,750,Sandbox
Don't Starve Together,$14.99,94.27%,Apr 2016,"733,651","14,635","115,925",Sandbox
Bugsnax,$9.99,94.18%,Apr 2022,"11,548",107,"1,088",Sandbox
Kenshi,$11.99,94.14%,Dec 2018,"290,717","5,661","11,654",Sandbox
Saints Row: The Third,$9.99,94.08%,Nov 2011,"71,496",262,"34,371",Sandbox
Opus Magnum,$19.99,94.06%,Dec 2017,"32,314",40,901,Sandbox
Abiotic Factor,$34.99,94.03%,Jul 2025,"121,120","1,578","29,278",Sandbox
"Little Kitty, Big City",$24.99,94.00%,May 2024,"63,283",133,"3,028",Sandbox
Kerbal Space Program,$9.99,93.91%,Apr 2015,"287,741","2,897","19,149",Sandbox
Car Mechanic Simulator 2021,$21.58,93.88%,Aug 2021,"89,125","1,924","22,561",Sandbox
The Elder Scrolls V: Skyrim,$19.99,93.80%,Nov 2011,"309,927","1,867","287,411",Sandbox
Timberborn,$34.99,93.75%,Sep 2021,"167,731","3,546","13,045",Sandbox
CarX Drift Racing Online,$14.99,93.73%,Nov 2017,"93,615","2,556","5,369",Sandbox
Total War: MEDIEVAL II – Definitive Edition,$24.99,93.72%,Nov 2006,"36,450","4,361","8,453",Sandbox
Noita,$19.99,93.71%,Oct 2020,"180,278","2,457","9,256",Sandbox
The Powder Toy,Free,93.71%,Jun 2024,"1,947",139,430,Sandbox
OpenTTD,Free,93.66%,Mar 2004,"23,696",683,"3,254",Sandbox
Mindustry,$9.99,93.65%,Sep 2019,"43,042",588,"3,376",Sandbox
The Planet Crafter: Prologue,Free,93.63%,Dec 2021,"23,138",22,"1,352",Sandbox
Untitled Goose Game,$8.99,93.62%,Sep 2020,"122,920",179,"2,014",Sandbox
Fireworks Mania - An Explosive Simulator,$9.74,93.59%,Dec 2020,"12,957",171,"1,082",Sandbox
shapez,$1.99,93.57%,Jun 2020,"19,843",253,"2,622",Sandbox
Besiege,$14.99,93.56%,Feb 2020,"283,624",277,"11,206",Sandbox
Human Fall Flat,$19.99,93.54%,Jul 2016,"574,820",946,"127,517",Sandbox
SuchArt: Genius Artist Simulator,$24.99,93.45%,Oct 2022,"22,709",19,920,Sandbox
Game Dev Tycoon,$9.99,93.44%,Aug 2013,"62,588",257,"7,761",Sandbox
Derail Valley,$39.99,93.40%,Jan 2019,"27,682",386,"2,950",Sandbox
LEGO® Marvel™ Super Heroes,$19.99,93.39%,Oct 2013,"28,440",352,"5,953",Sandbox
Valheim,$19.99,93.38%,Feb 2021,"506,689","24,310","502,387",Sandbox
The Elder Scrolls IV: Oblivion® Game of the Year Edition (2009),$3.74,93.37%,Sep 2007,"79,953",554,"6,390",Sandbox
The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe (2009),$4.99,93.37%,Jun 2009,8,—,—,Sandbox
WorldBox - God Simulator,$19.99,93.36%,Dec 2021,"183,256","2,004","11,034",Sandbox
My Summer Car,$14.99,93.35%,Jan 2025,"137,059","2,532","5,924",Sandbox
SpaceEngine,$29.99,93.34%,Jun 2019,"80,349",278,596,Sandbox
Aviassembly,$9.99,93.34%,Apr 2025,"19,276",324,"2,762",Sandbox
UNDERDOGS,$17.99,93.33%,Jan 2024,"10,122",23,198,Sandbox
S.T.A.L.K.E.R.: Call of Pripyat,$19.99,93.30%,Feb 2010,"67,233",207,"1,708",Sandbox
Project Zomboid,$19.99,93.27%,Nov 2013,"558,822","23,156","65,505",Sandbox
Garden Galaxy,$9.99,93.27%,Dec 2022,"7,493",21,792,Sandbox
Palworld,$29.99,93.25%,Jan 2024,"607,325","15,551","2,101,867",Sandbox
Rusted Warfare - RTS,$4.99,93.21%,Jul 2017,"13,122",157,589,Sandbox
Townscaper,$2.69,93.19%,Aug 2021,"78,422",57,"1,165",Sandbox
Supermarket Together,Free,93.17%,Aug 2024,"56,810","7,053","47,836",Sandbox
Incredibox,$4.99,93.13%,Aug 2009,"8,094",89,"1,078",Sandbox
The Elder Scrolls III: Morrowind® Game of the Year Edition,$5.99,93.12%,Apr 2002,"54,975",353,"1,396",Sandbox
"Take me, Vitaly",$5.48,93.03%,Nov 2024,"7,050",1,186,Sandbox
Brick Rigs,$18.99,93.02%,Jul 2023,"68,280","1,841","2,763",Sandbox
Spaceflight Simulator,$14.99,92.99%,Feb 2022,"16,575",143,469,Sandbox
Tabletop Simulator,$19.99,92.98%,Jun 2015,"223,803","5,565","37,198",Sandbox
Railroader,$29.99,92.90%,Dec 2023,"15,211",504,"1,958",Sandbox
Against the Storm,$14.99,92.89%,Dec 2023,"128,460","2,005","12,832",Sandbox
Dwarf Fortress,$29.99,92.87%,Dec 2022,"195,080","1,524","28,340",Sandbox
Grimshire,$14.99,92.85%,Jul 2025,"12,555",257,"1,108",Sandbox
Creeper World 3: Arc Eternal,$14.99,92.82%,Mar 2014,"12,896",180,"3,303",Sandbox
Plague Inc: Evolved,$14.99,92.76%,Feb 2016,"215,562",467,"17,889",Sandbox
House Flipper,$24.99,92.75%,May 2018,"256,399","1,593","15,910",Sandbox
Ages of Conflict: World War Simulator,$6.99,92.71%,Feb 2023,"8,810",634,961,Sandbox
Stronghold HD (2012),$5.99,92.70%,Oct 2001,"19,914",170,755,Sandbox
The Farmer Was Replaced,$9.99,92.64%,Oct 2025,"29,571",718,"7,436",Sandbox
Bang-On Balls: Chronicles,$11.55,92.57%,Oct 2023,"19,028",13,780,Sandbox
Songs of Syx,$24.99,92.53%,Sep 2020,"46,895",200,"2,956",Sandbox
Turing Complete,$19.99,92.53%,Oct 2021,"32,476",102,784,Sandbox
Mafia II (Classic),$5.99,92.45%,Mar 2011,"92,969",479,"29,474",Sandbox
A Webbing Journey,$7.99,92.43%,May 2025,"6,712",20,389,Sandbox
Waterpark Simulator,$12.99,92.35%,Aug 2025,"18,188","1,186","9,103",Sandbox
Nova Lands: Emilia's Mission,—,92.35%,Oct 2022,"3,285",0,806,Sandbox
Sleeping Dogs: Definitive Edition,$2.99,92.33%,Oct 2014,"107,472","1,091","4,035",Sandbox
Little Inferno,$4.94,92.33%,Nov 2012,"12,017",70,"2,129",Sandbox
Animal Revolt Battle Simulator,$14.99,92.31%,Apr 2022,"9,405",154,"1,091",Sandbox
Two Point Museum,$27.98,92.26%,Mar 2025,"47,894","1,371","19,439",Sandbox
No Time,$8.44,92.26%,Apr 2019,"3,632",17,92,Sandbox
Raft,$19.99,92.25%,Jun 2022,"644,374","6,455","101,096",Sandbox
A Webbing Journey DemoDemo,Free,92.18%,Jul 2022,—,22,538,Sandbox
Empires of the Undergrowth,$14.99,92.16%,Jun 2024,"84,064",429,"6,367",Sandbox
Sleeping Dogs,—,92.08%,—,"21,517",33,"12,134",Sandbox
Poly Bridge 2,$2.99,92.07%,May 2020,"26,045",149,"1,924",Sandbox
Teddy's Haven - A Fantasy Inspired Shop Simulator,$14.99,92.06%,May 2025,"5,720",123,407,Sandbox
The Coin Game,$14.99,92.05%,Feb 2019,"10,452",30,332,Sandbox
Bloons TD 5,$9.99,92.04%,Nov 2014,"15,152",177,"1,660",Sandbox
Supermarket Simulator,$13.99,92.03%,Jun 2025,"117,102","5,257","51,363",Sandbox
Dystopika,$4.89,92.01%,Jun 2024,"18,982",29,306,Sandbox
Cities: Skylines,$29.99,91.99%,Mar 2015,"845,213","7,557","60,386",Sandbox
Farm Together,$19.99,91.97%,Oct 2018,"75,138",245,"6,998",Sandbox
Fallout: A Post Nuclear Role Playing Game,$2.49,91.97%,Sep 1997,"25,440",227,"8,130",Sandbox
Ostriv,$24.99,91.93%,Mar 2020,"55,095",254,"1,252",Sandbox
Bitburner,Free,91.93%,Dec 2021,"18,281",606,"5,935",Sandbox
Learn to Fly 3,Free,91.92%,Feb 2016,"5,431",113,"1,506",Sandbox
PC Building Simulator,$19.99,91.90%,Jan 2019,"171,435",165,"3,884",Sandbox
The Precinct DemoDemo,Free,91.90%,Oct 2024,—,1,"2,030",Sandbox
Sandustry DemoDemo,Free,91.83%,Jan 2025,—,40,"1,784",Sandbox
Fallout 2: A Post Nuclear Role Playing Game,$2.49,91.75%,Dec 1998,"25,285",217,"2,302",Sandbox
The Riftbreaker: Prologue,Free,91.75%,Aug 2020,"14,367",0,"1,139",Sandbox
Don't Starve: Reign of GiantsDLC,$6.99,91.75%,Apr 2014,—,—,—,Sandbox
News Tower,$19.99,91.72%,Nov 2025,"24,030","2,615","3,526",Sandbox
Don't Starve: ShipwreckedDLC,$6.99,91.70%,Dec 2015,—,—,—,Sandbox
The Lab,Free,91.68%,Apr 2016,"26,605",24,927,Sandbox
Hitman: Blood Money,$0.99,91.66%,May 2006,"15,046",138,"1,138",Sandbox
Crazy Machines 3,$0.99,91.61%,Oct 2016,"12,844",16,"1,114",Sandbox
NoLimits 2 Roller Coaster Simulation,$39.99,91.61%,Aug 2014,"6,686",99,333,Sandbox
Rolling Line,$19.99,91.56%,Apr 2018,"6,937",104,215,Sandbox
Kingdoms and Castles,$14.99,91.53%,Jul 2017,"145,377",309,"4,856",Sandbox
Amazing Frog?,$19.99,91.46%,Nov 2014,"23,818",41,629,Sandbox
RollerCoaster Tycoon®: Deluxe,$5.99,91.46%,Mar 1999,"12,273",210,"1,233",Sandbox
Farming Simulator 17,$14.99,91.42%,Oct 2016,"118,619",472,"32,313",Sandbox
Parkitect,$29.99,91.39%,Nov 2018,"62,775",100,"1,400",Sandbox
Totally Accurate Battle Simulator - BUG DLCDLC,Free,91.39%,Apr 2020,—,—,—,Sandbox
SHENZHEN I/O,$14.99,91.38%,Nov 2016,"38,617",32,"1,170",Sandbox
Tavern Keeper 🍻,$29.99,91.38%,Nov 2025,"28,893",714,"4,711",Sandbox
Scribblenauts Unlimited,$1.99,91.37%,Nov 2012,"24,056",80,"5,180",Sandbox
Core Keeper,$19.99,91.36%,Aug 2024,"161,090","2,373","46,465",Sandbox
Sledders,$29.99,91.36%,Mar 2025,"9,798",208,"1,894",Sandbox
Warsim: The Realm of Aslona,$9.99,91.33%,Dec 2022,"7,198",6,760,Sandbox
Red Dead Redemption 2,$14.99,91.32%,Dec 2019,"916,741","39,162","99,993",Sandbox
Space Rangers HD: A War Apart,$14.99,91.31%,Oct 2013,"16,770",288,778,Sandbox
Megaquarium,$24.99,91.29%,Sep 2018,"22,405",40,917,Sandbox
Snacko,$24.99,91.29%,May 2025,"11,107",27,317,Sandbox
Automation - The Car Company Tycoon Game,$29.99,91.24%,Mar 2015,"67,849",660,"1,508",Sandbox
Software Inc.,$22.99,91.24%,May 2015,"40,600",185,933,Sandbox
Sid Meier's Pirates!,$9.99,91.24%,Jul 2005,"12,419",132,"1,342",Sandbox
Necesse,$14.99,91.23%,Oct 2025,"102,566","2,521","29,440",Sandbox
Source FilmmakerApplication,Free,91.18%,Jul 2012,"136,669","1,218","3,975",Sandbox
Farming Simulator 22,$29.99,91.17%,Nov 2021,"151,984","11,105","105,636",Sandbox
Kill It With Fire,$12.99,91.17%,Aug 2020,"8,296",33,472,Sandbox
Middle-earth™: Shadow of Mordor™,$3.99,91.10%,Sep 2014,"220,823",953,"48,668",Sandbox
Sticky Business,$4.99,91.10%,Jul 2023,"10,753",89,"1,120",Sandbox
From Glory To Goo,$11.99,91.07%,Apr 2024,"9,911",64,200,Sandbox
Mars First Logistics,$12.99,91.05%,Sep 2025,"22,743",284,"2,477",Sandbox
Starbound,$14.99,91.04%,Jul 2016,"262,565",927,"88,709",Sandbox
Secret Agent Wizard Boy and the International Crime Syndicate,$9.99,91.04%,Mar 2025,"6,316",4,200,Sandbox
SPORE™,$4.99,91.01%,Dec 2008,"93,461","1,154","5,630",Sandbox
Ancient Warfare 3,$12.99,90.97%,Jan 2024,"5,354",55,180,Sandbox
Potion Craft: Alchemist Simulator,$19.99,90.95%,Dec 2022,"124,428",663,"10,161",Sandbox
SteamWorld Dig,$0.89,90.93%,Dec 2013,"12,223",67,"2,805",Sandbox
Landfall Archives,Free,90.91%,Mar 2023,"2,948",25,"1,247",Sandbox
Unturned - Permanent Gold UpgradeDLC,$4.99,90.91%,Jul 2014,—,—,—,Sandbox
ASTRONEER,$8.99,90.90%,Dec 2016,"517,779","10,169","17,986",Sandbox
Mad Max,$2.99,90.89%,Sep 2015,"233,384","1,426","33,356",Sandbox
Hello Neighbor Alpha 2,Free,90.88%,Oct 2019,"3,406",98,150,Sandbox
Project Silverfish,$29.99,90.87%,Jun 2025,"19,037",197,784,Sandbox
Terminus: Zombie Survivors,$19.99,90.83%,Aug 2024,"21,227",36,"2,215",Sandbox
Sins of a Solar Empire®: Rebellion,$19.99,90.81%,Jun 2012,"56,569",291,"93,109",Sandbox
Mad Games Tycoon 2,$24.99,90.81%,May 2023,"23,298",204,"2,182",Sandbox
Mosa Lina,$7.99,90.79%,Oct 2023,"2,995",11,228,Sandbox
Scrap Mechanic,$19.99,90.78%,Jan 2016,"322,765","1,348","46,643",Sandbox
Capybara Spa,$7.99,90.76%,Mar 2022,"2,755",2,188,Sandbox
Rock Life: The Rock Simulator,Free,90.76%,Jul 2022,"1,018",8,515,Sandbox
Sprocket,$19.99,90.75%,Aug 2021,"43,122",414,"1,936",Sandbox
Grand Theft Auto: Vice City,—,90.73%,May 2003,"32,489",138,"1,239",Sandbox
Reus 2,$14.99,90.72%,May 2024,"20,977",66,"1,237",Sandbox
Amnesia: The Bunker,$24.99,90.69%,Jun 2023,"31,719",66,"2,423",Sandbox
X-Plane 11,$29.99,90.67%,Mar 2017,"99,415",520,"4,210",Sandbox
Elin,$19.99,90.67%,Nov 2024,"64,117","1,086","18,239",Sandbox
Grand Theft Auto: San Andreas,—,90.66%,Jun 2005,"97,974",455,"3,387",Sandbox
Cloud Gardens,$12.59,90.66%,Sep 2021,"16,655",3,286,Sandbox
沙雕之路,$10.00,90.66%,Oct 2019,"4,100",0,52,Sandbox
Infinifactory,$24.99,90.59%,Jun 2015,"27,123",5,471,Sandbox
METAL GEAR SOLID V: THE PHANTOM PAIN,$19.99,90.56%,Sep 2015,"255,195","1,416","91,195",Sandbox
Reassembly,$14.99,90.54%,Feb 2015,"37,324",22,"1,010",Sandbox
BONEWORKS,$29.99,90.50%,Dec 2019,"100,373",48,"8,717",Sandbox
RPG Maker VX AceApplication,$6.99,90.50%,Dec 2012,"27,698",212,"4,196",Sandbox
SimplePlanes,$12.99,90.46%,Dec 2015,"48,129",92,885,Sandbox
Human Resource Machine,$4.94,90.45%,Oct 2015,"24,388",45,778,Sandbox
Ale & Tale Tavern: First Pints,Free,90.45%,Jun 2024,"10,057",27,"1,311",Sandbox
Turbo Dismount™,$9.99,90.40%,May 2014,"18,711",15,761,Sandbox
Find 100 Ducks and Blast Them!,Free,90.39%,Mar 2025,413,24,53,Sandbox
Roots of Pacha,$24.99,90.34%,Apr 2023,"44,424",179,"6,062",Sandbox
Arma 2: Operation Arrowhead,$19.99,90.33%,Jun 2010,"110,153",195,"19,175",Sandbox
Unturned,Free,90.32%,Jul 2017,"568,449","10,619","112,703",Sandbox
TheoTown,$9.99,90.30%,Jun 2019,"9,290",96,430,Sandbox
Viscera Cleanup Detail,$12.99,90.27%,Oct 2015,"66,071",166,"1,773",Sandbox
Big Ambitions,$22.99,90.25%,Mar 2023,"62,012",713,"10,961",Sandbox
Littlewood,$14.99,90.23%,Aug 2020,"35,570",22,"1,678",Sandbox
Critter Cove,$24.99,90.22%,Sep 2024,"15,288",42,"1,307",Sandbox
Bookshop Simulator,$15.99,90.22%,Sep 2025,"2,953",213,597,Sandbox
Enderal: Forgotten Stories (Special Edition),Free,90.21%,Mar 2021,"23,026",343,"2,428",Sandbox
EXAPUNKS,$19.99,90.19%,Oct 2018,"14,264",14,764,Sandbox
Two Point Hospital,$29.99,90.12%,Aug 2018,"200,798",512,"34,009",Sandbox
Disney Dreamlight Valley,$27.99,90.10%,Dec 2023,"78,217","8,194","14,314",Sandbox
Trailmakers,$24.99,90.10%,Sep 2019,"74,837","2,638","4,898",Sandbox
Supermarket Simulator: Prologue,Free,90.10%,Jan 2024,"6,743",129,"3,681",Sandbox
SUMMERHOUSE,$4.99,90.06%,Mar 2024,"19,888",5,528,Sandbox
Tinkerlands: A Shipwrecked Adventure,—,90.06%,Apr 2024,"3,828",2,"1,432",Sandbox
