Name,Price,Rating,Release,Follows,Online,Peak,Genre
Buy a Croquette!,Free,95.25%,Apr 2024,"3,964",22,451,Strategy-RPG
Tactical Breach Wizards,$19.99,95.21%,Aug 2024,"51,009",82,"4,761",Strategy-RPG
Divinity: Original Sin 2 - Definitive Edition,$44.99,94.61%,Sep 2017,"493,924","3,831","93,701",Strategy-RPG
Arrow a Row,Free,94.22%,Aug 2023,"3,288",50,"9,404",Strategy-RPG
Persona 3 Reload,$59.99,92.57%,Feb 2024,"101,991","1,388","45,002",Strategy-RPG
Farmer Against Potatoes Idle,Free,92.14%,Sep 2024,"2,075","1,601","8,951",Strategy-RPG
Symphony of War: The Nephilim Saga,$7.99,92.11%,Jun 2022,"45,918",222,"4,383",Strategy-RPG
Shogun Showdown,$7.49,92.03%,Sep 2024,"22,036",256,"1,860",Strategy-RPG
BoardLand,Free,91.98%,Jan 2024,777,1,223,Strategy-RPG
Bitburner,Free,91.93%,Dec 2021,"18,281",600,"5,935",Strategy-RPG
Karryn's Prison,$29.99,91.81%,Dec 2021,"30,961",143,"1,689",Strategy-RPG
The Riftbreaker: Prologue,Free,91.75%,Aug 2020,"14,367",1,"1,139",Strategy-RPG
Our Adventurer Guild,$14.99,91.69%,Apr 2024,"9,847",212,995,Strategy-RPG
Back to the Dawn,$23.99,91.30%,Jul 2025,"42,023",110,"9,624",Strategy-RPG
觅长生,$14.99,91.27%,Nov 2019,"71,252",541,"26,379",Strategy-RPG
The Legend of Heroes: Trails in the Sky,$9.99,91.14%,Jul 2014,"48,330",85,"2,014",Strategy-RPG
TROUBLESHOOTER: Abandoned Children,$24.99,91.08%,Apr 2020,"41,481",114,"1,012",Strategy-RPG
Loop Hero,$14.99,91.04%,Mar 2021,"60,957",224,"51,156",Strategy-RPG
Gumballs & Dungeons,Free,91.01%,Mar 2025,982,55,"2,755",Strategy-RPG
Ancient Warfare 3,$12.99,90.97%,Jan 2024,"5,354",50,180,Strategy-RPG
Battle for Wesnoth,Free,90.95%,Jun 2003,"14,429",260,"1,019",Strategy-RPG
Dungeon Defenders,$14.99,90.87%,Oct 2011,"34,463",306,"21,862",Strategy-RPG
Soda Dungeon 2,Free,90.86%,Jul 2020,"7,561",242,"13,385",Strategy-RPG
Fantasy Maiden Wars - DREAM OF THE STRAY DREAMER -,$34.99,90.54%,Oct 2025,"3,122",105,558,Strategy-RPG
Countryball: Europe 1890,$3.99,90.36%,Mar 2022,534,3,78,Strategy-RPG
Q-UP,$9.99,90.30%,Nov 2025,"1,695",170,"1,388",Strategy-RPG
Magicraft,$15.99,90.15%,Nov 2024,"33,754",567,"18,834",Strategy-RPG
Reverse: 1999,Free,90.12%,Oct 2024,"8,181",674,"6,668",Strategy-RPG
Worldless,$19.99,90.10%,Nov 2023,"6,750",12,113,Strategy-RPG
Suzerain,$19.99,90.07%,Dec 2020,"22,967",222,"3,382",Strategy-RPG
Swords & Souls: Neverseen,$14.99,90.06%,Jul 2019,"24,568",63,"2,137",Strategy-RPG
Depersonalization,$19.99,90.05%,Aug 2024,"42,150",22,"3,628",Strategy-RPG
MareQuest: An Interactive Tail,$4.99,90.02%,Sep 2023,434,0,27,Strategy-RPG
Erenshor,$19.99,90.01%,Apr 2025,"18,503",68,"1,096",Strategy-RPG
Blue Archive,Free,89.99%,Jul 2025,"43,328","3,377","27,077",Strategy-RPG
我打不过漂亮的她们,$8.79,89.73%,Sep 2025,"8,065",16,"7,299",Strategy-RPG
Horizon's Gate,$19.99,89.72%,Mar 2020,"6,702",16,396,Strategy-RPG
打工吧！天使酱 ~天使在魔界的劳改生活~,Free,89.72%,Jul 2022,"1,417",0,87,Strategy-RPG
WasteLand Express 废土快递,—,89.48%,Oct 2022,"4,945",9,472,Strategy-RPG
Crown and Adventure / 王冠与冒险  DemoDemo,Free,89.40%,Feb 2025,—,3,464,Strategy-RPG
Siralim Ultimate,$19.99,89.35%,Dec 2021,"10,511",73,761,Strategy-RPG
Black Book,$24.99,89.31%,Aug 2021,"36,290",69,"1,817",Strategy-RPG
The Last Spell,$24.99,89.30%,Mar 2023,"64,749",179,"6,755",Strategy-RPG
Cyber Knights: Flashpoint,$22.49,89.30%,Jun 2025,"21,980",114,"1,176",Strategy-RPG
Out Of Hands,$17.99,89.25%,Apr 2025,"5,354",0,"1,387",Strategy-RPG
Obenseuer,$19.99,89.10%,Dec 2018,"5,298",82,677,Strategy-RPG
Fuga: Melodies of Steel 2,$39.99,89.03%,May 2023,"5,571",4,146,Strategy-RPG
Siralim 3,$14.99,89.03%,Oct 2018,"2,799",0,193,Strategy-RPG
Heroes of the Three Kingdoms 2,$0.99,88.80%,Nov 2020,"1,824",190,"1,026",Strategy-RPG
Swords and Sandals Classic Collection,$6.99,88.79%,Apr 2019,"4,510",92,553,Strategy-RPG
Galaxy Life,Free,88.76%,Aug 2022,"9,745",352,"4,741",Strategy-RPG
A Random Maze 某个迷宫,Free,88.73%,Mar 2021,"1,806",0,55,Strategy-RPG
Touhou: Lost Branch of Legend,$29.99,88.72%,Aug 2022,"6,624",67,511,Strategy-RPG
Utawarerumono: Prelude to the Fallen,$35.99,88.63%,Jan 2021,"9,880",9,344,Strategy-RPG
Metaphor: ReFantazio,$34.99,88.57%,Oct 2024,"98,365","1,603","85,961",Strategy-RPG
求闻编年史 ～ Gensokyo Recollection,Free,88.57%,Aug 2022,477,0,30,Strategy-RPG
The Riftbreaker,$29.99,88.53%,Oct 2021,"107,952",813,"21,741",Strategy-RPG
Gladiator Guild Manager: Prologue,Free,88.47%,Aug 2020,"6,311",0,482,Strategy-RPG
"Don't FOOL ME, Beauties! DemoDemo",Free,88.33%,May 2025,—,1,36,Strategy-RPG
No Time to Relax,$13.99,88.27%,Feb 2019,"8,236",37,"1,649",Strategy-RPG
Tinyfolks,$3.99,88.23%,Jun 2022,"3,441",2,436,Strategy-RPG
Shardpunk,$5.59,88.22%,Apr 2023,"8,596",24,547,Strategy-RPG
Voidspire Tactics,$14.99,88.22%,Nov 2015,"1,499",0,22,Strategy-RPG
Hearts of Iron IV,$14.99,88.20%,Jun 2016,"458,609","48,346","93,196",Strategy-RPG
VenusBlood HOLLOW International,$44.99,88.20%,Jan 2022,"4,620",5,343,Strategy-RPG
Fuga: Melodies of Steel,$39.99,88.19%,Jul 2021,"11,891",9,415,Strategy-RPG
Brigand: Oaxaca,$8.99,88.16%,Jul 2017,"2,166",1,22,Strategy-RPG
Rising Star 2,$19.99,88.16%,Aug 2020,"1,787",26,126,Strategy-RPG
Master of Command,$29.99,88.05%,Oct 2025,"21,325",956,"5,142",Strategy-RPG
Geneforge 2 - Infestation,$19.99,87.95%,Mar 2024,"2,679",4,215,Strategy-RPG
Slaughter Horse 2,$5.99,87.92%,Dec 2022,536,4,38,Strategy-RPG
Templar Battleforce,$2.99,87.87%,Sep 2015,"11,856",2,106,Strategy-RPG
Valkyria Chronicles™,$4.99,87.82%,Nov 2014,"72,172",67,"5,039",Strategy-RPG
LunarLux,$7.99,87.74%,Sep 2023,"3,366",5,54,Strategy-RPG
Rogue Voltage,$15.99,87.73%,May 2024,"4,311",2,218,Strategy-RPG
The Last Spell: Prologue,—,87.67%,Oct 2020,"1,873",0,127,Strategy-RPG
Dark Deity 2,$17.49,87.55%,Mar 2025,"15,047",72,"1,594",Strategy-RPG
Ninja Village,$3.23,87.55%,May 2022,"2,181",13,254,Strategy-RPG
Break Wolf,$11.99,87.53%,Mar 2025,511,2,17,Strategy-RPG
Jupiter Hell Classic,$14.99,87.52%,Aug 2025,"1,914",4,83,Strategy-RPG
挂机手游模拟器,$2.99,87.52%,Jul 2025,982,565,"1,664",Strategy-RPG
Escape from Ever After DemoDemo,Free,87.49%,Oct 2025,—,5,30,Strategy-RPG
Hentai Mosaique Fix-IT Shoppe,$2.99,87.48%,Jul 2019,"1,975",3,334,Strategy-RPG
Cell Command,$16.78,87.46%,Jun 2025,484,3,40,Strategy-RPG
FINAL FANTASY TACTICS - The Ivalice Chronicles,$49.99,87.42%,Sep 2025,"40,903","1,003","21,010",Strategy-RPG
Esoteric Ebb DemoDemo,Free,87.42%,Dec 2023,—,11,94,Strategy-RPG
King's Bounty: The Legend,$6.99,87.35%,Sep 2008,"7,160",137,862,Strategy-RPG
Heroes of the Three Kingdoms,$0.99,87.33%,Nov 2020,"1,541",51,"1,582",Strategy-RPG
Astro Prospector PrologueDemo,Free,87.32%,Apr 2025,—,1,111,Strategy-RPG
"Warhammer 40,000: Rogue Trader - The Shovel DLCDLC",Free,87.28%,Apr 2025,—,—,—,Strategy-RPG
Jagged Alliance 3,$44.99,87.23%,Jul 2023,"63,500",599,"25,366",Strategy-RPG
Maliki : Poison Of The Past,$29.99,87.21%,Apr 2025,"2,788",2,90,Strategy-RPG
Skald: Against the Black Priory - the Prologue,—,87.21%,Jun 2021,"1,326",0,22,Strategy-RPG
Little Rocket Lab,$19.99,87.20%,Oct 2025,"7,423",105,"1,324",Strategy-RPG
The Nameless: Slay Dragon,$14.39,87.17%,Sep 2024,"9,876",14,"1,433",Strategy-RPG
Rogue Fable III,$9.99,87.12%,Dec 2021,"2,773",12,173,Strategy-RPG
Six-Ear Macaque: Awakening,$6.99,87.10%,Mar 2025,85,0,164,Strategy-RPG
Disgaea 2 PC,$19.99,86.94%,Jan 2017,"18,701",40,918,Strategy-RPG
SUPER ROBOT WARS V,—,86.93%,Oct 2019,"6,695",15,"1,322",Strategy-RPG
Kingdom Under Fire: The Crusaders,$19.99,86.87%,Feb 2020,"6,677",7,363,Strategy-RPG
SanctuaryRPG: Black Edition,$7.99,86.83%,Feb 2015,"7,323",0,455,Strategy-RPG
The Banner Saga,$24.99,86.80%,Jan 2014,"35,431",36,"4,476",Strategy-RPG
Dungeon Deathball,$11.99,86.79%,Oct 2021,"1,238",1,43,Strategy-RPG
Ostalgie: The Berlin Wall,$5.99,86.78%,Mar 2018,"2,708",3,"2,548",Strategy-RPG
