Name,Price,Rating,Release,Follows,Online,Peak,Genre
Balatro,$14.99,96.67%,Feb 2024,"102,110","9,786","43,905",Turn-Based-Strategy
South Park™: The Stick of Truth™,$29.99,95.90%,Mar 2014,"120,513",417,"34,811",Turn-Based-Strategy
Persona 4 Golden,$9.99,95.46%,Jun 2020,"97,490",861,"29,984",Turn-Based-Strategy
Tactical Breach Wizards,$19.99,95.21%,Aug 2024,"51,009",98,"4,761",Turn-Based-Strategy
Persona 5 Royal,$20.99,95.14%,Oct 2022,"150,692","4,475","35,474",Turn-Based-Strategy
West of Loathing,$10.99,94.73%,Aug 2017,"33,783",57,"2,835",Turn-Based-Strategy
Divinity: Original Sin 2 - Definitive Edition,$44.99,94.61%,Sep 2017,"493,924","3,706","93,701",Turn-Based-Strategy
Your Only Move Is HUSTLE,$4.99,94.47%,Feb 2023,"33,966",766,"3,405",Turn-Based-Strategy
Sid Meier's Civilization® V,$29.99,94.42%,Sep 2010,"186,722","16,272","91,363",Turn-Based-Strategy
Dorfromantik,$13.99,94.30%,Apr 2022,"73,201",490,"7,101",Turn-Based-Strategy
Cureocity,Free,93.85%,Mar 2024,"3,064",3,534,Turn-Based-Strategy
Total War: MEDIEVAL II – Definitive Edition,$24.99,93.72%,Nov 2006,"36,450","4,361","8,453",Turn-Based-Strategy
5D Chess With Multiverse Time Travel,$11.99,93.66%,Jul 2020,"22,198",15,649,Turn-Based-Strategy
Monster Train,$24.99,93.65%,May 2020,"36,017",221,"14,073",Turn-Based-Strategy
StarVaders,$18.74,93.41%,Apr 2025,"10,635",326,"1,278",Turn-Based-Strategy
The Arrogant Kaiju Princess and The Detective Servant,$14.99,93.23%,Dec 2023,"25,694",20,"1,907",Turn-Based-Strategy
WitchSpring R,$20.99,93.11%,Sep 2023,"40,648",133,"4,117",Turn-Based-Strategy
Wandering Sword,$24.99,93.00%,Sep 2023,"79,251",781,"22,824",Turn-Based-Strategy
Sultan's Game,$24.99,92.92%,Mar 2025,"68,012",798,"46,106",Turn-Based-Strategy
Journey of Realm：Dawn Dew,$9.23,92.78%,Aug 2025,"4,646",19,"1,190",Turn-Based-Strategy
Fretless - The Wrath of Riffson,$14.99,92.67%,Jul 2025,"6,930",5,432,Turn-Based-Strategy
Monster Train 2,$24.99,92.63%,May 2025,"20,763","1,538","18,503",Turn-Based-Strategy
Civilization IV: Beyond the Sword,$9.99,92.61%,Jul 2007,"4,594","1,809","2,791",Turn-Based-Strategy
Persona 3 Reload,$59.99,92.57%,Feb 2024,"101,991","1,437","45,002",Turn-Based-Strategy
Library Of Ruina,$29.99,92.46%,Aug 2021,"82,863","1,070","8,015",Turn-Based-Strategy
Cobalt Core,$12.99,92.46%,Nov 2023,"12,184",55,"1,683",Turn-Based-Strategy
Wildermyth,$24.99,92.42%,Jun 2021,"85,209",162,"8,106",Turn-Based-Strategy
Die in the Dungeon: Origins,—,92.33%,Dec 2023,"4,423",7,"1,429",Turn-Based-Strategy
Slice & Dice,$8.99,92.30%,Mar 2024,"8,450",63,"1,624",Turn-Based-Strategy
Rome: Total War™ - Collection,—,92.28%,Sep 2004,"12,834",845,"4,413",Turn-Based-Strategy
Into the Breach,$14.99,92.15%,Feb 2018,"94,295",250,"14,682",Turn-Based-Strategy
Symphony of War: The Nephilim Saga,$7.99,92.11%,Jun 2022,"45,918",216,"4,383",Turn-Based-Strategy
ISLANDERS,$4.99,92.07%,Apr 2019,"49,092",35,"1,783",Turn-Based-Strategy
Shadows Over Loathing,$22.99,92.06%,Nov 2022,"14,888",41,"3,077",Turn-Based-Strategy
Shogun Showdown,$7.49,92.03%,Sep 2024,"22,036",304,"1,860",Turn-Based-Strategy
BoardLand,Free,91.98%,Jan 2024,777,1,223,Turn-Based-Strategy
Karryn's Prison,$29.99,91.81%,Dec 2021,"30,961",137,"1,689",Turn-Based-Strategy
Our Adventurer Guild,$14.99,91.69%,Apr 2024,"9,847",210,995,Turn-Based-Strategy
Wingspan,$19.99,91.62%,Sep 2020,"32,981",678,"1,488",Turn-Based-Strategy
XCOM: Enemy Unknown,$29.99,91.59%,Oct 2012,"52,061",711,"70,568",Turn-Based-Strategy
Worms Armageddon,$2.24,91.59%,May 1999,"21,049",351,834,Turn-Based-Strategy
Master of Orion 2,$5.99,91.37%,Nov 1996,"4,203",194,283,Turn-Based-Strategy
Armoured Commander II,$9.99,91.35%,Sep 2021,"1,475",2,35,Turn-Based-Strategy
Arco,$11.99,91.34%,Aug 2024,"11,738",19,164,Turn-Based-Strategy
Sejm The Game DemoDemo,Free,91.32%,Apr 2025,—,3,"1,560",Turn-Based-Strategy
ShellShock Live,$9.99,91.29%,May 2020,"67,518",473,"7,455",Turn-Based-Strategy
The Legend of Heroes: Trails in the Sky,$9.99,91.14%,Jul 2014,"48,330",80,"2,014",Turn-Based-Strategy
X-COM: UFO Defense,$4.99,91.09%,Dec 1993,"7,479",44,653,Turn-Based-Strategy
TROUBLESHOOTER: Abandoned Children,$24.99,91.08%,Apr 2020,"41,481",122,"1,012",Turn-Based-Strategy
Total War: WARHAMMER II,$59.99,91.07%,Sep 2017,"401,518","1,546","84,920",Turn-Based-Strategy
dotAGE,$17.59,91.01%,Oct 2023,"14,216",46,"1,046",Turn-Based-Strategy
Gumballs & Dungeons,Free,91.01%,Mar 2025,982,54,"2,755",Turn-Based-Strategy
Battle for Wesnoth,Free,90.95%,Jun 2003,"14,429",264,"1,019",Turn-Based-Strategy
9 Kings,$9.99,90.84%,May 2025,"43,742","2,988","13,905",Turn-Based-Strategy
Terminus: Zombie Survivors,$19.99,90.83%,Aug 2024,"21,227",36,"2,215",Turn-Based-Strategy
Friday the 13th: Killer Puzzle,—,90.64%,Apr 2018,"11,589",4,"1,674",Turn-Based-Strategy
ISLANDERS: New Shores,$9.99,90.64%,Jul 2025,"5,300",57,887,Turn-Based-Strategy
Turmoil,$12.99,90.61%,Jun 2016,"59,293",173,"5,055",Turn-Based-Strategy
The Battle of Polytopia,$14.99,90.59%,Aug 2020,"18,790",221,966,Turn-Based-Strategy
Fantasy Maiden Wars - DREAM OF THE STRAY DREAMER -,$34.99,90.54%,Oct 2025,"3,122",102,558,Turn-Based-Strategy
Sid Meier's Colonization (Classic),$5.24,90.28%,Jan 1994,"2,707",214,323,Turn-Based-Strategy
SKALD: Against the Black Priory,$14.99,90.18%,May 2024,"24,129",20,"1,347",Turn-Based-Strategy
Costume Quest,$9.99,90.17%,Oct 2011,"3,560",9,742,Turn-Based-Strategy
Shin Megami Tensei V: Vengeance,$23.99,90.16%,Jun 2024,"41,338",686,"21,749",Turn-Based-Strategy
SteamWorld Heist,$14.99,90.16%,Jun 2016,"22,486",30,"1,120",Turn-Based-Strategy
Total War: SHOGUN 2DLC,$29.99,90.11%,Mar 2011,—,—,—,Turn-Based-Strategy
Worldless,$19.99,90.10%,Nov 2023,"6,750",8,113,Turn-Based-Strategy
Politics The Game,$9.99,90.06%,Oct 2025,"9,180",72,"2,991",Turn-Based-Strategy
Pit People®,$7.99,90.00%,Mar 2018,"79,309",30,"2,504",Turn-Based-Strategy
Quest for the Golden Candelabra,Free,89.83%,May 2023,325,0,38,Turn-Based-Strategy
Insider Trading DemoDemo,Free,89.75%,Oct 2024,—,7,392,Turn-Based-Strategy
Dominions 5 - Warriors of the Faith,$39.99,89.73%,Nov 2017,"11,760",22,"1,085",Turn-Based-Strategy
Hex of Steel,$24.99,89.73%,Mar 2020,"3,256",96,352,Turn-Based-Strategy
Horizon's Gate,$19.99,89.72%,Mar 2020,"6,702",19,396,Turn-Based-Strategy
NO-SKIN,$6.99,89.68%,Feb 2025,"3,833",13,463,Turn-Based-Strategy
SteamWorld Heist II,$29.99,89.67%,Aug 2024,"10,568",52,"1,601",Turn-Based-Strategy
大千世界2 The Stupendous World DemoDemo,Free,89.63%,Sep 2025,—,69,"2,006",Turn-Based-Strategy
群侠传，启动！,Free,89.61%,Sep 2022,"4,122",22,548,Turn-Based-Strategy
.Forty-Five,Free,89.61%,Mar 2024,915,8,368,Turn-Based-Strategy
Total War: NAPOLEON – Definitive Edition,$24.99,89.54%,Feb 2010,"43,020","1,506","9,935",Turn-Based-Strategy
幻想枝魂 Soul Fantasy,Free,89.51%,Dec 2021,"1,244",0,347,Turn-Based-Strategy
Commander Quest DemoDemo,Free,89.51%,Mar 2024,—,3,"1,312",Turn-Based-Strategy
Treasure 'n Trio,$14.99,89.46%,Oct 2025,"1,262",4,166,Turn-Based-Strategy
Just Go,$9.99,89.38%,Aug 2022,"9,591",23,697,Turn-Based-Strategy
The Last Spell,$24.99,89.30%,Mar 2023,"64,749",182,"6,755",Turn-Based-Strategy
Cyber Knights: Flashpoint,$22.49,89.30%,Jun 2025,"21,980",116,"1,176",Turn-Based-Strategy
Out Of Hands,$17.99,89.25%,Apr 2025,"5,354",1,"1,387",Turn-Based-Strategy
Crown Gambit,$17.99,89.25%,Jun 2025,"2,269",5,87,Turn-Based-Strategy
Mecha Simultactics AlphaDemo,Free,89.24%,Sep 2024,—,7,106,Turn-Based-Strategy
梦魇：无归 Nightmare without return,$6.99,89.22%,Sep 2022,"1,215",0,300,Turn-Based-Strategy
Slayaway Camp,$8.99,89.20%,Oct 2016,"3,424",1,186,Turn-Based-Strategy
Sid Meier's Civilization V: Brave New WorldDLC,$29.99,89.20%,Jul 2013,—,—,—,Turn-Based-Strategy
Showgunners,$29.99,89.19%,May 2023,"11,586",3,533,Turn-Based-Strategy
Child of Light,$4.49,89.18%,Apr 2014,"49,546",12,"2,696",Turn-Based-Strategy
Divinity: Original Sin (Classic),—,89.17%,Jun 2014,"79,582",19,"22,040",Turn-Based-Strategy
Dawnfolk,$14.99,89.12%,Feb 2025,"6,368",3,270,Turn-Based-Strategy
Chess for idiots,Free,89.12%,Feb 2024,"2,853",11,125,Turn-Based-Strategy
神树残响（Echoes of the Divine Tree）,$11.99,89.04%,Mar 2025,"1,879",10,457,Turn-Based-Strategy
Fuga: Melodies of Steel 2,$39.99,89.03%,May 2023,"5,571",4,146,Turn-Based-Strategy
Siralim 3,$14.99,89.03%,Oct 2018,"2,799",0,193,Turn-Based-Strategy
Total War: EMPIRE – Definitive Edition,$24.99,89.00%,Mar 2009,"53,720","3,067","27,559",Turn-Based-Strategy
Choice of Life: Middle Ages 2,$6.99,89.00%,Sep 2022,"1,479",1,261,Turn-Based-Strategy
"Warhammer 40,000: Mechanicus",$29.99,88.98%,Nov 2018,"47,433",176,"2,748",Turn-Based-Strategy
Ukraine Defense Force Tactics,—,88.97%,Jun 2022,454,0,40,Turn-Based-Strategy
Aethermancer DemoDemo,Free,88.93%,Feb 2025,—,37,"1,308",Turn-Based-Strategy
Romance of the Three Kingdoms XI with Power Up Kit,$39.99,88.91%,Jan 2018,"16,823",395,"1,987",Turn-Based-Strategy
Sumerian Six,$29.99,88.91%,Sep 2024,"8,324",7,269,Turn-Based-Strategy
Escape Dungeon 2,$7.19,88.85%,Jan 2022,"21,437",6,868,Turn-Based-Strategy
