Name,Price,Rating,Release,Follows,Online,Peak,Genre
Senren＊Banka,$34.99,96.59%,Feb 2020,"74,656",197,"3,013",Visual-Novel
Helltaker,Free,96.33%,May 2020,"97,523",48,"6,509",Visual-Novel
ATRI -My Dear Moments-,$20.99,96.13%,Jun 2020,"49,290",20,772,Visual-Novel
Shiina Taki's Decameron,Free,96.02%,Nov 2024,"2,156",11,475,Visual-Novel
Our Life: Beginnings & Always,Free,95.92%,Nov 2020,"24,471",112,"1,942",Visual-Novel
Volcano Princess,$7.69,95.91%,Apr 2023,"70,231",550,"31,057",Visual-Novel
Firework,$9.99,95.87%,Feb 2021,"34,671",8,"3,746",Visual-Novel
The Wolf Among Us,$5.24,95.86%,Oct 2013,"46,828",541,"14,321",Visual-Novel
MINDWAVE DemoDemo,Free,95.66%,Jan 2025,—,15,465,Visual-Novel
Phoenix Wright: Ace Attorney Trilogy,$9.89,95.61%,Apr 2019,"71,715",959,"4,724",Visual-Novel
魔女的夜宴,$34.99,95.60%,Jul 2023,"24,237",105,"1,374",Visual-Novel
Persona 4 Golden,$9.99,95.46%,Jun 2020,"97,490",848,"29,984",Visual-Novel
VA-11 Hall-A: Cyberpunk Bartender Action,$10.04,95.41%,Jun 2016,"99,576",79,"1,574",Visual-Novel
CLANNAD,$17.99,95.38%,Apr 2004,"63,773",61,415,Visual-Novel
Doki Doki Literature Club!,Free,95.30%,Sep 2017,"162,742",467,"7,402",Visual-Novel
A Date with Death,Free,95.27%,Dec 2023,"26,029",128,"2,870",Visual-Novel
Buy a Croquette!,Free,95.25%,Apr 2024,"3,964",27,451,Visual-Novel
Persona 5 Royal,$20.99,95.14%,Oct 2022,"150,692","4,529","35,474",Visual-Novel
星空列车与白的旅行,$19.99,95.08%,May 2021,"9,789",7,300,Visual-Novel
Purrgatory,Free,95.08%,Aug 2021,"2,301",3,108,Visual-Novel
Tales of the Black Forest,$3.99,95.07%,Sep 2019,"9,941",3,237,Visual-Novel
WITCH ON THE HOLY NIGHT,$39.99,95.03%,Dec 2023,"28,747",40,"1,049",Visual-Novel
STEINS;GATE,$29.99,94.90%,Sep 2016,"100,172",132,"3,565",Visual-Novel
Threefold Recital,$14.99,94.90%,Jan 2025,"7,061",4,715,Visual-Novel
The Murder of Sonic the Hedgehog,Free,94.86%,Mar 2023,"10,125",22,"15,543",Visual-Novel
Slay the Princess — The Pristine Cut,$17.99,94.85%,Oct 2023,"57,234",142,"2,583",Visual-Novel
东北之夏,Free,94.84%,Jan 2023,"12,136",2,"8,672",Visual-Novel
Summer Pockets,$44.99,94.82%,Jun 2018,"16,518",15,236,Visual-Novel
Doki Doki Literature Club Plus!,$14.99,94.77%,Jun 2021,"72,025",85,"8,662",Visual-Novel
Summer Clover,$17.99,94.77%,Jun 2024,"38,960",189,"5,199",Visual-Novel
Riddle Joker,$34.99,94.76%,Dec 2020,"21,888",44,724,Visual-Novel
Eternal Senia,Free,94.73%,Jun 2015,"33,815",4,645,Visual-Novel
I Wani Hug that Gator!,$14.99,94.70%,Feb 2024,"8,166",11,759,Visual-Novel
Aliya: Timelink,$2.99,94.64%,Apr 2024,"4,902",28,639,Visual-Novel
Sora no Kiseki the 1st,$59.99,94.63%,Sep 2025,"16,525",156,"14,295",Visual-Novel
The Walking Dead: The Telltale Definitive Series,$49.99,94.59%,Oct 2020,"34,023","1,906","7,820",Visual-Novel
魔法少女ノ魔女裁判,$23.99,94.58%,Jul 2025,"29,273","1,343","8,653",Visual-Novel
Milk inside a bag of milk inside a bag of milk,$1.49,94.55%,Aug 2020,"11,493",13,79,Visual-Novel
Milk outside a bag of milk outside a bag of milk,$8.99,94.53%,Dec 2021,"21,775",26,291,Visual-Novel
Café Stella and the Reaper's Butterflies,$34.99,94.53%,Mar 2022,"19,764",70,"1,415",Visual-Novel
planetarian HD,$3.99,94.52%,May 2017,"10,907",2,120,Visual-Novel
BAD END THEATER,$9.99,94.51%,Oct 2021,"12,157",6,159,Visual-Novel
第七号列车 - Train No. 7,Free,94.49%,Aug 2021,"4,370",1,263,Visual-Novel
Winter Memories,$19.99,94.48%,Jan 2024,"48,992",159,"12,403",Visual-Novel
Chill with You : Lo-Fi Story,$9.59,94.46%,Nov 2025,"10,754","1,984","6,445",Visual-Novel
Illusion Carnival,Free,94.45%,Jul 2024,"9,980",34,205,Visual-Novel
The Test,$1.99,94.45%,Feb 2020,"2,791",0,407,Visual-Novel
Mirror,$1.99,94.42%,Apr 2018,"148,649",44,"8,250",Visual-Novel
Until Then,$19.99,94.41%,Jun 2024,"30,285",81,639,Visual-Novel
Maitetsu:Last Run!!,$34.99,94.38%,Oct 2020,"15,907",19,438,Visual-Novel
The Test: Final Revelation,$1.99,94.36%,Oct 2020,531,0,131,Visual-Novel
Dialtown: Phone Dating Sim,$7.99,94.31%,Feb 2022,"3,760",3,135,Visual-Novel
