tag_name,url,game_count
Atmospheric,https://steamdb.info/tag/4166/?min_reviews=500,37689
Fantasy,https://steamdb.info/tag/1684/?min_reviews=500,32508
Relaxing,https://steamdb.info/tag/1654/?min_reviews=500,22897
Funny,https://steamdb.info/tag/4136/?min_reviews=500,21300
Horror,https://steamdb.info/tag/1667/?min_reviews=500,20493
Sci-fi,https://steamdb.info/tag/3942/?min_reviews=500,19543
Family Friendly,https://steamdb.info/tag/5350/?min_reviews=500,18622
Retro,https://steamdb.info/tag/4004/?min_reviews=500,17245
Dark,https://steamdb.info/tag/4342/?min_reviews=500,14626
Mystery,https://steamdb.info/tag/5716/?min_reviews=500,14621
Survival,https://steamdb.info/tag/1662/?min_reviews=500,13898
Comedy,https://steamdb.info/tag/1719/?min_reviews=500,13453
Psychological Horror,https://steamdb.info/tag/1721/?min_reviews=500,13195
Medieval,https://steamdb.info/tag/4172/?min_reviews=500,11069
Magic,https://steamdb.info/tag/4057/?min_reviews=500,11004
Management,https://steamdb.info/tag/12472/?min_reviews=500,10751
Old School,https://steamdb.info/tag/3916/?min_reviews=500,10613
Sports,https://steamdb.info/tag/701/?min_reviews=500,10573
Building,https://steamdb.info/tag/1643/,9825
Tactical,https://steamdb.info/tag/1708/,9593
Drama,https://steamdb.info/tag/5984/,9515
Space,https://steamdb.info/tag/1755/,9193
Racing,https://steamdb.info/tag/699/,8993
Futuristic,https://steamdb.info/tag/4295/,8927
Romance,https://steamdb.info/tag/4947/,8915
Crafting,https://steamdb.info/tag/1702/,8812
Dark Fantasy,https://steamdb.info/tag/4604/,8670
Logic,https://steamdb.info/tag/6129/,8648
Emotional,https://steamdb.info/tag/5608/,8579
Survival Horror,https://steamdb.info/tag/3978/,7912
Nature,https://steamdb.info/tag/30358/,7552
1990's,https://steamdb.info/tag/6691/,6857
Education,https://steamdb.info/tag/1036/,6793
Surreal,https://steamdb.info/tag/1710/,6689
1980s,https://steamdb.info/tag/7743/,6528
Post-apocalyptic,https://steamdb.info/tag/3835/,6367
War,https://steamdb.info/tag/1678/,5823
Historical,https://steamdb.info/tag/3987/,5533
Zombies,https://steamdb.info/tag/1659/,5531
Stealth,https://steamdb.info/tag/1687/,5334
Lore-Rich,https://steamdb.info/tag/3854/,5229
Investigation,https://steamdb.info/tag/8369/,5178
LGBTQ+,https://steamdb.info/tag/44868/,5009
Economy,https://steamdb.info/tag/4695/,4987
Psychological,https://steamdb.info/tag/5186/,4891
Thriller,https://steamdb.info/tag/4064/,4858
Military,https://steamdb.info/tag/4168/,4838
Detective,https://steamdb.info/tag/5613/,4592
Dark Humor,https://steamdb.info/tag/5923/,4518
Demons,https://steamdb.info/tag/9541/,4463
Cyberpunk,https://steamdb.info/tag/4115/,4439
Supernatural,https://steamdb.info/tag/10808/,4385
Aliens,https://steamdb.info/tag/1673/,4277
Driving,https://steamdb.info/tag/1644/,4204
Robots,https://steamdb.info/tag/5752/,4182
Modern,https://steamdb.info/tag/5673/,3669
Comic Book,https://steamdb.info/tag/1751/,3648
Dystopian,https://steamdb.info/tag/5030/,3522
Loot,https://steamdb.info/tag/4236/,3467
Psychedelic,https://steamdb.info/tag/1714/,3407
Artificial Intelligence,https://steamdb.info/tag/7926/,3296
Cats,https://steamdb.info/tag/17894/,3237
Flight,https://steamdb.info/tag/15045/,3013
Alternate History,https://steamdb.info/tag/4598/,2974
Parkour,https://steamdb.info/tag/4036/,2883
Memes,https://steamdb.info/tag/10397/,2859
Mythology,https://steamdb.info/tag/16094/,2784
Crime,https://steamdb.info/tag/6378/,2702
Game Development,https://steamdb.info/tag/13906/,2612
Capitalism,https://steamdb.info/tag/4845/,2533
Automation,https://steamdb.info/tag/255534/,2523
Destruction,https://steamdb.info/tag/5363/,2439
Philosophical,https://steamdb.info/tag/15277/,2268
Cooking,https://steamdb.info/tag/3920/,2109
Dark Comedy,https://steamdb.info/tag/19995/,2099
Noir,https://steamdb.info/tag/6052/,1987
Lovecraftian,https://steamdb.info/tag/7432/,1955
Swordplay,https://steamdb.info/tag/4608/,1893
America,https://steamdb.info/tag/13190/,1827
Science,https://steamdb.info/tag/5794/,1797
Parody,https://steamdb.info/tag/4878/,1629
Dragons,https://steamdb.info/tag/4046/,1628
Conspiracy,https://steamdb.info/tag/5372/,1545
Agriculture,https://steamdb.info/tag/22602/,1540
World War II,https://steamdb.info/tag/4150/,1461
Gothic,https://steamdb.info/tag/3952/,1453
Martial Arts,https://steamdb.info/tag/6915/,1409
Underground,https://steamdb.info/tag/21006/,1397
Satire,https://steamdb.info/tag/1651/,1391
Mechs,https://steamdb.info/tag/4821/,1358
Mining,https://steamdb.info/tag/5981/,1282
Transportation,https://steamdb.info/tag/10383/,1251
Dog,https://steamdb.info/tag/1638/,1250
Fishing,https://steamdb.info/tag/15564/,1247
Pirates,https://steamdb.info/tag/1681/,1228
Steampunk,https://steamdb.info/tag/1777/,1176
Time Travel,https://steamdb.info/tag/10679/,1154
Underwater,https://steamdb.info/tag/9157/,1110
Vampire,https://steamdb.info/tag/4018/,1108
Trains,https://steamdb.info/tag/1616/,1103
Political,https://steamdb.info/tag/4853/,1103
