Name,Price,Rating,Release,Follows,Online,Peak,Genre
Vampire Survivors,$4.99,97.26%,Oct 2022,"136,357","5,061","77,061",Action-RPG
Hades,$24.99,97.05%,Sep 2020,"301,214","5,093","54,240",Action-RPG
DELTARUNE,$24.99,97.02%,Jun 2025,"177,084","1,533","133,930",Action-RPG
Black Myth: Wukong,$59.99,95.90%,Aug 2024,"1,420,477","4,278","2,415,714",Action-RPG
The Witcher 3: Wild Hunt,$39.99,95.39%,May 2015,"986,593","16,817","103,329",Action-RPG
Juice Galaxy,$4.99,95.38%,Nov 2023,"5,640",34,426,Action-RPG
Dishonored,—,95.23%,Oct 2012,"12,457",184,"4,604",Action-RPG
Clair Obscur: Expedition 33,$49.99,95.15%,Apr 2025,"260,122","17,195","145,063",Action-RPG
Fallout: New Vegas,$4.99,94.86%,Oct 2010,"176,544","5,539","51,038",Action-RPG
WolfQuest: Anniversary Edition,$29.99,94.84%,Jul 2025,"32,039",710,"2,383",Action-RPG
God of War,$19.99,94.73%,Jan 2022,"288,617","5,937","73,529",Action-RPG
Eternal Senia,Free,94.73%,Jun 2015,"33,815",4,645,Action-RPG
Sora no Kiseki the 1st,$59.99,94.63%,Sep 2025,"16,525",147,"14,295",Action-RPG
ATLYSS,$5.49,94.49%,Nov 2024,"48,639",993,"10,803",Action-RPG
Dying Light,$4.99,94.29%,Jan 2015,"736,571","5,030","45,876",Action-RPG
LIZARDS MUST DIE,$2.99,94.26%,Sep 2023,"11,022",16,"1,140",Action-RPG
Hades II,$29.99,93.92%,Sep 2025,"274,868","17,203","112,947",Action-RPG
Dungeon Munchies,$19.99,93.91%,Jul 2022,"23,382",3,861,Action-RPG
The Witcher 3: Wild Hunt - Blood and WineDLC,$19.99,93.81%,May 2016,—,—,—,Action-RPG
The Elder Scrolls V: Skyrim,$19.99,93.80%,Nov 2011,"309,927","1,867","287,411",Action-RPG
Halls of Torment,$6.66,93.62%,Sep 2024,"33,983",674,"26,061",Action-RPG
FlyKnight,$5.99,93.55%,Jan 2025,"19,386",33,"2,897",Action-RPG
DARK SOULS™ III,$29.99,93.45%,Apr 2016,"638,684","5,872","129,975",Action-RPG
Bastion,$14.99,93.42%,Aug 2011,"47,350",25,"4,186",Action-RPG
The Elder Scrolls IV: Oblivion® Game of the Year Edition (2009),$3.74,93.37%,Sep 2007,"79,953",554,"6,390",Action-RPG
The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe (2009),$4.99,93.37%,Jun 2009,8,—,—,Action-RPG
ASTLIBRA Revision,$24.99,93.32%,Oct 2022,"45,954",190,"7,828",Action-RPG
Like a Dragon Gaiden: The Man Who Erased His Name,$49.99,93.24%,Nov 2023,"36,488",104,"13,737",Action-RPG
Nova Drift,$17.99,93.14%,Aug 2024,"24,445",91,"1,713",Action-RPG
The Elder Scrolls III: Morrowind® Game of the Year Edition,$5.99,93.12%,Apr 2002,"54,975",353,"1,396",Action-RPG
Alabaster Dawn DemoDemo,Free,93.05%,Sep 2025,—,8,732,Action-RPG
ENDER MAGNOLIA: Bloom in the Mist,$16.24,93.02%,Jan 2025,"40,876",162,"14,134",Action-RPG
Wandering Sword,$24.99,93.00%,Sep 2023,"79,251",781,"22,824",Action-RPG
Dinoblade DemoDemo,Free,92.91%,Oct 2025,—,49,"1,288",Action-RPG
Recettear: An Item Shop's Tale,$19.99,92.90%,Sep 2010,"16,716",17,"2,986",Action-RPG
Dust: An Elysian Tail,$2.99,92.89%,May 2013,"26,445",20,"2,669",Action-RPG
Boneraiser Minions,$4.99,92.80%,Mar 2023,"7,198",23,"2,029",Action-RPG
Yakuza Kiwami 2,$19.99,92.79%,May 2019,"35,248",254,"3,229",Action-RPG
Vampire Survivors: Ode to CastlevaniaDLC,$3.99,92.78%,Oct 2024,—,—,—,Action-RPG
Crypt Custodian,$19.99,92.72%,Aug 2024,"11,887",26,351,Action-RPG
Arisen Force: Life Devotee - Initial Ver.,Free,92.45%,Nov 2024,"4,451",5,"1,212",Action-RPG
Grim Dawn,$24.99,92.39%,Feb 2016,"272,252","2,337","61,458",Action-RPG
Anomaly Agent,$11.99,92.35%,Jan 2024,"18,271",14,"1,724",Action-RPG
Stellar Blade™,$47.99,92.34%,Jun 2025,"205,283","3,660","192,078",Action-RPG
Cat Quest II,$14.99,92.33%,Sep 2019,"17,791",47,610,Action-RPG
ELDEN RING,$59.99,92.32%,Feb 2022,"1,116,849","23,343","953,426",Action-RPG
Free to Play,Free,92.32%,Mar 2014,"24,488",0,"53,002",Action-RPG
Deus Ex: Game of the Year Edition,$6.99,92.29%,Jun 2000,"12,742",56,"1,102",Action-RPG
Ghost of Tsushima DIRECTOR'S CUT,$35.99,92.24%,May 2024,"198,915","10,183","77,154",Action-RPG
Farmer Against Potatoes Idle,Free,92.14%,Sep 2024,"2,075","1,613","8,951",Action-RPG
FLAM EVAW,$9.99,92.14%,Oct 2025,"1,527",4,"3,275",Action-RPG
ENDER LILIES: Quietus of the Knights,$9.99,92.12%,Jun 2021,"108,210",256,"6,332",Action-RPG
Transistor,$19.99,92.08%,May 2014,"90,730",14,"6,727",Action-RPG
Vampire: The Masquerade - Bloodlines,$9.99,92.08%,Nov 2004,"15,404",165,"3,251",Action-RPG
Cat Quest,$12.99,91.97%,Aug 2017,"22,700",51,"1,651",Action-RPG
Duck Simulator 2,Free,91.96%,Nov 2021,676,2,180,Action-RPG
Soulstone Survivors: Prologue,—,91.93%,Aug 2022,"5,474",0,"4,818",Action-RPG
10 Minutes Till Dawn,—,91.89%,May 2022,"5,530",0,"3,444",Action-RPG
FATE,$7.99,91.84%,May 2005,"7,393",60,354,Action-RPG
Drova - Forsaken Kin,$18.74,91.82%,Oct 2024,"52,401",494,"2,928",Action-RPG
The Riftbreaker: Prologue,Free,91.75%,Aug 2020,"14,367",0,"1,139",Action-RPG
Mass Effect 2 (2010 Edition),—,91.69%,—,"33,430",13,"13,320",Action-RPG
Alien Shooter,$4.99,91.69%,Sep 2003,"6,168",20,"1,029",Action-RPG
DRAGON BALL Z: KAKAROT,$19.99,91.60%,Jan 2020,"158,785",326,"25,852",Action-RPG
Rubinite DemoDemo,Free,91.58%,Sep 2024,—,3,178,Action-RPG
POPGOES Arcade,$4.99,91.49%,Jul 2022,"2,587",3,258,Action-RPG
DYNASTY WARRIORS: ORIGINS,$52.49,91.48%,Jan 2025,"88,997","1,058","69,483",Action-RPG
Chronicon,$13.99,91.45%,Aug 2020,"35,968",150,"4,868",Action-RPG
Black Gunner Wukong: Prologue,Free,91.44%,Nov 2023,713,0,358,Action-RPG
Another Crab's Treasure,$29.99,91.41%,Apr 2024,"45,021",282,"4,715",Action-RPG
Gothic II: Gold Edition,$19.99,91.36%,Nov 2005,"13,390","1,120","1,635",Action-RPG
Planescape: Torment: Enhanced Edition,$19.99,91.34%,Apr 2017,"34,291",66,955,Action-RPG
Mass Effect (2007),$7.49,91.30%,May 2008,"30,476",26,"4,183",Action-RPG
Cat Quest III,$19.99,91.27%,Aug 2024,"14,052",74,"2,603",Action-RPG
DARK SOULS™: REMASTERED,$19.99,91.12%,May 2018,"156,550","4,489","24,501",Action-RPG
Death's Door,$19.99,91.12%,Jul 2021,"64,175",115,"3,740",Action-RPG
Middle-earth™: Shadow of Mordor™,$3.99,91.10%,Sep 2014,"220,823",953,"48,668",Action-RPG
Brutal Legend,$2.99,91.05%,Feb 2013,"27,442",90,"7,172",Action-RPG
Blood Spear,Free,91.05%,Aug 2021,"3,741",1,143,Action-RPG
SNKRX,$2.99,91.03%,May 2021,"3,589",6,"1,766",Action-RPG
Torchlight II,$3.99,91.00%,Sep 2012,"95,497",310,"54,821",Action-RPG
