Name,Price,Rating,Release,Follows,Online,Peak,Genre
Vampire Survivors,$4.99,97.26%,Oct 2022,"136,357","5,061","77,061",Action-Roguelike
Hades,$24.99,97.05%,Sep 2020,"301,214","5,093","54,240",Action-Roguelike
HoloCure - Save the Fans!,Free,97.02%,Aug 2023,"34,963",512,"46,155",Action-Roguelike
The Binding of Isaac: Rebirth,$14.99,96.25%,Nov 2014,"370,936","19,594","70,701",Action-Roguelike
Deep Rock Galactic,$29.99,96.24%,May 2020,"2,769,868","7,299","54,160",Action-Roguelike
Dead Cells,$24.99,95.82%,Aug 2018,"395,220","1,485","14,910",Action-Roguelike
Crab Champions,$9.99,95.72%,Apr 2023,"44,862","1,270","8,564",Action-Roguelike
Escape From Duckov,$17.99,95.45%,Oct 2025,"111,125","13,263","301,322",Action-Roguelike
Brotato,$4.99,95.14%,Jun 2023,"80,388","5,513","38,905",Action-Roguelike
R.E.P.O.,$9.99,95.04%,Feb 2025,"266,244","41,833","271,571",Action-Roguelike
Picayune Dreams,$4.99,94.71%,Dec 2023,"4,066",30,683,Action-Roguelike
Cult of the Lamb,$24.99,94.32%,Aug 2022,"241,645","1,870","61,780",Action-Roguelike
Rabbit and Steel,$14.99,94.27%,May 2024,"24,234",123,"5,446",Action-Roguelike
Post Void,$2.99,94.16%,Aug 2020,"7,948",6,133,Action-Roguelike
The Void Rains Upon Her Heart,$12.99,94.00%,Feb 2018,"2,352",14,131,Action-Roguelike
Disfigure,Free,93.94%,Jul 2023,"2,814",64,"1,272",Action-Roguelike
Hades II,$29.99,93.92%,Sep 2025,"274,868","17,203","112,947",Action-Roguelike
Enter the Gungeon,$14.99,93.86%,Apr 2016,"161,235",878,"15,792",Action-Roguelike
Streets of Rogue,$19.99,93.80%,Jul 2019,"96,438",109,"4,320",Action-Roguelike
Tiny Rogues,$9.99,93.78%,Sep 2022,"13,207",136,"4,714",Action-Roguelike
Nuclear Throne,$11.99,93.72%,Dec 2015,"52,899",141,"1,213",Action-Roguelike
Noita,$19.99,93.71%,Oct 2020,"180,278","2,457","9,256",Action-Roguelike
Halls of Torment,$6.66,93.62%,Sep 2024,"33,983",674,"26,061",Action-Roguelike
Downwell,$2.99,93.53%,Oct 2015,"15,883",13,405,Action-Roguelike
PEAK,$7.99,93.42%,Jun 2025,"140,880","26,233","170,759",Action-Roguelike
UNDERDOGS,$17.99,93.33%,Jan 2024,"10,122",23,198,Action-Roguelike
The Binding of Isaac,$4.99,93.19%,Sep 2011,"64,161",304,"12,575",Action-Roguelike
