Name,Price,Rating,Release,Follows,Online,Peak,Genre
Vampire Survivors,$4.99,97.26%,Oct 2022,"136,357","5,005","77,061",Arcade
Balatro,$14.99,96.67%,Feb 2024,"102,110","9,858","43,905",Arcade
The WereCleaner,Free,96.48%,May 2024,"5,177",15,193,Arcade
Rhythm Doctor,$19.99,96.03%,Feb 2021,"41,246",43,"2,892",Arcade
Crab Champions,$9.99,95.72%,Apr 2023,"44,862","1,271","8,564",Arcade
MINDWAVE DemoDemo,Free,95.66%,Jan 2025,—,26,465,Arcade
One Finger Death Punch,$4.99,95.32%,Mar 2014,"14,254",7,"1,921",Arcade
Broforce,$14.99,95.22%,Oct 2015,"113,588",180,"4,285",Arcade
Iron Snout,Free,95.20%,Jan 2016,"15,862",14,"1,373",Arcade
Magic Archery,Free,95.16%,Oct 2024,"1,403",51,"1,178",Arcade
Brotato,$4.99,95.14%,Jun 2023,"80,388","5,514","38,905",Arcade
An Arcade Full of Cats,Free,95.12%,Nov 2023,"4,715",24,693,Arcade
Nubby's Number Factory,$4.99,95.02%,Mar 2025,"5,423",605,"4,839",Arcade
Nodebuster,$2.99,94.95%,Aug 2024,"4,085",42,"1,848",Arcade
Castle Crashers®,$4.49,94.86%,Sep 2012,"203,518",919,"16,013",Arcade
Peggle Deluxe,$0.99,94.70%,Feb 2007,"3,745",281,473,Arcade
Super Hexagon,$2.99,94.64%,Nov 2012,"8,105",11,"2,650",Arcade
Touhou Tenkuushou ~ Hidden Star in Four Seasons.,$14.99,94.62%,Aug 2017,"22,047",4,649,Arcade
MULLET MADJACK,$19.99,94.61%,May 2024,"28,288",13,808,Arcade
I Am Your Beast,$19.99,94.38%,Sep 2024,"16,055",21,317,Arcade
Post Void,$2.99,94.16%,Aug 2020,"7,948",6,133,Arcade
Rivals of Aether,$29.99,93.97%,Mar 2017,"60,563",229,"2,922",Arcade
Disfigure,Free,93.94%,Jul 2023,"2,814",64,"1,272",Arcade
Tower Wizard,$2.99,93.90%,Jun 2025,"8,142",213,"5,772",Arcade
Paint the Town Red,$19.99,93.88%,Jul 2021,"58,758",268,"1,423",Arcade
Awaria,Free,93.88%,Dec 2024,"8,179",69,"2,467",Arcade
UNBEATABLE [white label],Free,93.78%,May 2021,"14,040",3,528,Arcade
Sayonara Wild Hearts,$6.49,93.68%,Dec 2019,"13,966",7,180,Arcade
FlatOut 2,$1.99,93.67%,Aug 2006,"4,295",534,925,Arcade
Mirage Feathers,$2.99,93.66%,Sep 2024,"5,105",8,302,Arcade
Lethal League Blaze,$19.99,93.64%,Oct 2018,"22,324",30,"2,673",Arcade
Halls of Torment,$6.66,93.62%,Sep 2024,"33,983",665,"26,061",Arcade
Superflight,$2.99,93.59%,Nov 2017,"13,771",11,613,Arcade
Downwell,$2.99,93.53%,Oct 2015,"15,883",13,405,Arcade
Nightmare Kart,Free,93.44%,Jun 2024,"11,505",3,"1,332",Arcade
Neighbours from Hell Compilation,—,93.44%,Feb 2004,"9,314",11,101,Arcade
It Steals,$4.99,93.43%,Jul 2020,"2,915",2,46,Arcade
Psychonauts 2,$11.99,93.34%,Aug 2021,"39,738",91,"7,262",Arcade
ROUNDS,$5.99,93.31%,Apr 2021,"21,618",785,"2,269",Arcade
Spin Rhythm XD,$19.99,93.29%,Mar 2023,"8,820",22,313,Arcade
Shovel Knight: Treasure Trove,$39.99,93.21%,Jun 2014,"61,298",71,"2,875",Arcade
Megabonk,$9.99,93.18%,Sep 2025,"61,437","22,213","117,336",Arcade
Call of Juarez: Gunslinger,$14.99,93.18%,May 2013,"42,534",94,"11,902",Arcade
Nova Drift,$17.99,93.14%,Aug 2024,"24,445",91,"1,713",Arcade
GUILTY GEAR XX ACCENT CORE PLUS R,$3.74,93.14%,May 2015,"11,426",85,"2,383",Arcade
Haste DemoDemo,Free,93.13%,Feb 2025,—,20,"1,543",Arcade
BALL x PIT,$14.99,93.09%,Oct 2025,"34,351","6,220","35,402",Arcade
Bit Blaster XL,$0.99,93.06%,Jan 2016,"5,644",1,"1,501",Arcade
DEEP SPACE WAIFU,—,92.95%,May 2017,"14,916",2,268,Arcade
AudioSurf,$9.99,92.91%,Feb 2008,"14,507",11,"5,977",Arcade
Retrowave,$2.99,92.88%,May 2022,"11,944",17,638,Arcade
NIGHT-RUNNERS™ PROLOGUE,Free,92.86%,Feb 2024,"29,567",122,"2,428",Arcade
Orcs Must Die!,$9.99,92.86%,Oct 2011,"11,120",18,"6,000",Arcade
Touhou Kanjuden ~ Legacy of Lunatic Kingdom.,$14.99,92.83%,Aug 2015,"3,760",2,55,Arcade
Boneraiser Minions,$4.99,92.80%,Mar 2023,"7,198",23,"2,029",Arcade
Vampire Survivors: Ode to CastlevaniaDLC,$3.99,92.78%,Oct 2024,—,—,—,Arcade
Touhou Kouryudou ~ Unconnected Marketeers.,$14.99,92.76%,May 2021,"5,958",3,"3,416",Arcade
Hidden in Plain Sight,$5.99,92.73%,Jul 2014,"1,746",0,34,Arcade
"Shooters, Ready!",$4.99,92.69%,Mar 2025,861,1,49,Arcade
LYNE,$2.99,92.66%,Mar 2014,"8,439",4,410,Arcade
Hotline Miami 2: Wrong Number,$14.99,92.62%,Mar 2015,"83,795",648,"18,950",Arcade
Backyard Baseball '97,$9.99,92.60%,Oct 2024,"5,128",58,"2,741",Arcade
SUPER CHICKEN JUMPER,$2.99,92.59%,Sep 2021,"5,474",4,171,Arcade
Feeding Frenzy 2 Deluxe,$0.99,92.59%,Aug 2006,"3,052",18,132,Arcade
A Dance of Fire and Ice,$5.99,92.58%,Jan 2019,"75,246",578,"9,330",Arcade
One Finger Death Punch 2,$7.99,92.58%,Apr 2019,"6,451",4,"1,027",Arcade
Orbt XL,$0.99,92.57%,Apr 2017,"3,776",0,509,Arcade
PAC-MAN™ Championship Edition DX+,$9.99,92.51%,Sep 2013,"7,077",7,"3,694",Arcade
Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,$0.99,92.46%,Sep 2015,"6,882",5,520,Arcade
Arisen Force: Life Devotee - Initial Ver.,Free,92.45%,Nov 2024,"4,451",5,"1,212",Arcade
BLUE REVOLVER,$14.99,92.40%,Oct 2016,"3,300",5,49,Arcade
Devil Daggers,$9.99,92.35%,Feb 2016,"19,456",15,358,Arcade
Boomerang Fu,$14.99,92.35%,Aug 2020,"8,764",37,192,Arcade
Easy Delivery Co.,$12.99,92.31%,Sep 2025,"19,581",118,"1,145",Arcade
DEVIL BLADE REBOOT,$15.99,92.29%,May 2024,"3,060",0,202,Arcade
Geometry Dash,$4.99,92.28%,Dec 2014,"157,108","72,165","88,346",Arcade
OnlyCans: Thirst Date,Free,92.28%,Feb 2021,"2,248",2,156,Arcade
Galaxy Burger,$7.19,92.27%,Aug 2024,"5,249",88,735,Arcade
Sonic Racing: CrossWorlds,$69.99,92.25%,Sep 2025,"37,673",680,"13,630",Arcade
UFO 50,$24.99,92.24%,Sep 2024,"17,819",156,"4,130",Arcade
SpeedRunners,$14.99,92.15%,Apr 2016,"67,833",136,"17,212",Arcade
Hatsune Miku: Project DIVA Mega Mix+,$39.39,92.15%,May 2022,"47,924",274,"2,730",Arcade
Aero GPX,$19.99,92.15%,Aug 2024,"5,556",3,160,Arcade
Zeepkist,$19.99,92.08%,Jan 2021,"2,467",32,241,Arcade
The Coin Game,$14.99,92.05%,Feb 2019,"10,452",30,332,Arcade
Zuma Deluxe,$0.99,92.04%,Aug 2006,"6,370",727,"1,018",Arcade
Progressbar95,$4.99,92.02%,Sep 2020,"3,335",13,74,Arcade
Windowkill,$4.99,91.99%,Feb 2024,"6,404",18,382,Arcade
Yellow Taxi Goes Vroom,$16.99,91.99%,Apr 2024,"4,003",7,174,Arcade
Duck Simulator 2,Free,91.96%,Nov 2021,676,2,180,Arcade
Tetris® Effect: Connected,$19.99,91.95%,Aug 2021,"17,092",141,"1,259",Arcade
Soulstone Survivors: Prologue,—,91.93%,Aug 2022,"5,474",0,"4,818",Arcade
