Name,Price,Rating,Release,Follows,Online,Peak,Genre
Euro Truck Simulator 2,$19.99,96.58%,Oct 2012,"1,254,070","40,508","69,754",Automobile-Sim
BeamNG.drive,$24.99,96.38%,May 2015,"439,308","26,667","32,320",Automobile-Sim
American Truck Simulator,$19.99,95.66%,Feb 2016,"474,460","7,232","19,153",Automobile-Sim
Mon Bazou,$15.99,94.91%,Dec 2021,"25,179",620,"2,741",Automobile-Sim
Car Mechanic Simulator 2021,$21.58,93.88%,Aug 2021,"89,125","1,907","22,561",Automobile-Sim
CarX Drift Racing Online,$14.99,93.73%,Nov 2017,"93,615","2,552","5,369",Automobile-Sim
FlatOut 2,$1.99,93.67%,Aug 2006,"4,295",538,925,Automobile-Sim
My Summer Car,$14.99,93.35%,Jan 2025,"137,059","2,346","5,924",Automobile-Sim
Farming Simulator 19,$17.99,92.94%,Nov 2018,"157,467","1,947","59,466",Automobile-Sim
Railroader,$29.99,92.90%,Dec 2023,"15,211",548,"1,958",Automobile-Sim
NIGHT-RUNNERS™ PROLOGUE,Free,92.86%,Feb 2024,"29,567",106,"2,428",Automobile-Sim
Contraband Police,$13.49,92.73%,Mar 2023,"90,928",917,"8,124",Automobile-Sim
Mafia II (Classic),$5.99,92.45%,Mar 2011,"92,969",453,"29,474",Automobile-Sim
Easy Delivery Co.,$12.99,92.31%,Sep 2025,"19,581",134,"1,145",Automobile-Sim
MX Bikes,$34.99,92.30%,Oct 2019,"24,772","4,074","5,256",Automobile-Sim
Sleeping Dogs,—,92.08%,—,"21,517",35,"12,134",Automobile-Sim
F1® 2020,—,91.80%,Jul 2020,"40,712",213,"24,010",Automobile-Sim
Tokyo Xtreme Racer,$49.99,91.62%,Sep 2025,"50,653",365,"15,824",Automobile-Sim
Assetto Corsa,$4.99,91.56%,Dec 2014,"355,734","16,186","19,796",Automobile-Sim
Farming Simulator 17,$14.99,91.42%,Oct 2016,"118,619",463,"32,313",Automobile-Sim
FUMES,$14.99,91.33%,Jul 2025,"15,252",21,512,Automobile-Sim
Automation - The Car Company Tycoon Game,$29.99,91.24%,Mar 2015,"67,849",681,"1,508",Automobile-Sim
Clustertruck,$14.99,91.19%,Sep 2016,"64,267",52,"2,658",Automobile-Sim
Motor Town: Behind The Wheel,$19.99,91.15%,Dec 2021,"30,082",785,"3,622",Automobile-Sim
Mad Max,$2.99,90.89%,Sep 2015,"233,384","1,413","33,356",Automobile-Sim
Assetto Corsa Competizione,$9.99,90.87%,May 2019,"146,360","4,395","12,376",Automobile-Sim
Keep Driving,$17.99,90.86%,Feb 2025,"37,283",153,"1,258",Automobile-Sim
Grand Theft Auto: Vice City,—,90.73%,May 2003,"32,489",126,"1,239",Automobile-Sim
TRAIN CREW,$16.99,90.67%,Sep 2021,"1,785",13,345,Automobile-Sim
Grand Theft Auto: San Andreas,—,90.66%,Jun 2005,"97,974",482,"3,387",Automobile-Sim
SimplePlanes,$12.99,90.46%,Dec 2015,"48,129",103,885,Automobile-Sim
Turbo Dismount™,$9.99,90.40%,May 2014,"18,711",9,761,Automobile-Sim
TheoTown,$9.99,90.30%,Jun 2019,"9,290",90,430,Automobile-Sim
Meddl Dash,$0.99,90.07%,Sep 2024,143,0,23,Automobile-Sim
Car Mechanic Simulator 2015,$19.99,90.05%,Apr 2015,"40,130",31,"4,340",Automobile-Sim
Farming Simulator 15,$12.99,90.04%,Oct 2014,"80,156",162,"18,711",Automobile-Sim
Forza Horizon 4,—,89.89%,Mar 2021,"405,980","2,617","75,689",Automobile-Sim
Car Mechanic Simulator 2018,$17.58,89.80%,Jul 2017,"133,732",268,"8,474",Automobile-Sim
Cheap Car Repair DemoDemo,Free,89.75%,Mar 2025,—,49,"1,192",Automobile-Sim
F1 2012™,—,89.71%,—,"6,163",32,"3,654",Automobile-Sim
Short Trip,$1.99,89.64%,Dec 2024,731,0,16,Automobile-Sim
MudRunner,$3.99,89.63%,Oct 2017,"115,589","1,136","8,667",Automobile-Sim
Simson Tuningwerkstatt 3D,$29.99,89.51%,Jan 2018,"1,380",36,87,Automobile-Sim
Snakeybus,$9.99,89.44%,May 2019,"6,719",3,519,Automobile-Sim
art of rally,$12.49,89.43%,Sep 2020,"18,800",93,477,Automobile-Sim
Motorsport Manager,$19.99,89.26%,Nov 2016,"46,758",272,"6,251",Automobile-Sim
Automobilista 2,$19.99,89.15%,Mar 2020,"44,269","1,382","3,896",Automobile-Sim
FUMES DemoDemo,Free,88.99%,Nov 2023,—,5,255,Automobile-Sim
American Truck Simulator - OregonDLC,$11.99,88.78%,Oct 2018,—,—,—,Automobile-Sim
Assetto Corsa Competizione - 24H Nürburgring PackDLC,$7.14,88.73%,Apr 2024,—,—,—,Automobile-Sim
SnowRunner,$11.99,88.67%,May 2021,"132,720","6,004","11,145",Automobile-Sim
FlatOut,$1.49,88.62%,Jul 2005,"4,244",143,637,Automobile-Sim
Rush Rally 3,$14.99,88.53%,Nov 2022,"2,480",10,59,Automobile-Sim
Blind Drive,$9.99,88.46%,Mar 2021,"1,238",0,23,Automobile-Sim
New Star GP,$9.99,88.20%,Mar 2024,"3,743",17,201,Automobile-Sim
Drift86,$1.99,88.13%,Nov 2019,"3,293",5,628,Automobile-Sim
TrackMania Nations Forever,Free,88.13%,Apr 2008,—,237,"1,466",Automobile-Sim
The Long Drive,$15.99,88.02%,Sep 2019,"72,635",490,"4,375",Automobile-Sim
Forza Horizon 5,$29.99,87.92%,Nov 2021,"541,309","14,869","81,096",Automobile-Sim
F1® 2019,—,87.85%,Jun 2019,"26,065",78,"12,736",Automobile-Sim
