Name,Price,Rating,Release,Follows,Online,Peak,Genre
Battlefield™ 6,$59.49,67.58%,Oct 2025,"365,629","216,661","747,440",Battle-Royale
PUBG: BATTLEGROUNDS,Free,59.70%,Dec 2017,"3,418,985","181,972","3,257,248",Battle-Royale
Apex Legends™,Free,67.08%,Nov 2020,"577,957","56,964","624,473",Battle-Royale
Hunt: Showdown 1896,$29.99,72.94%,Aug 2019,"494,544","12,521","60,124",Battle-Royale
THE FINALS,Free,77.49%,Dec 2023,"353,709","11,550","242,619",Battle-Royale
NARAKA: BLADEPOINT,Free,68.79%,Aug 2021,"577,670","11,547","385,770",Battle-Royale
MY HERO ULTRA RUMBLE,Free,66.43%,Sep 2023,"37,809","4,650","46,591",Battle-Royale
Dark and Darker,Free,63.90%,Jun 2024,"215,371","4,164","57,164",Battle-Royale
Blood Strike,Free,78.67%,Mar 2025,"12,724","3,839","6,244",Battle-Royale
Stumble Guys,Free,83.97%,Oct 2021,"94,002","3,101","43,705",Battle-Royale
Battlefield™ V,$49.99,70.32%,Nov 2018,"314,269","1,692","116,104",Battle-Royale
Mecha BREAK,Free,59.30%,Jul 2025,"220,498","1,492","132,816",Battle-Royale
Combat Master: Season 5,Free,86.65%,Apr 2023,"19,442","1,378","7,141",Battle-Royale
Pixel Gun 3D: PC Edition,Free,66.40%,Apr 2024,"45,796","1,349","25,014",Battle-Royale
Call of Duty®: Modern Warfare®,$19.79,77.89%,Mar 2023,"47,640","1,027","3,581",Battle-Royale
Z1 Battle Royale,Free,55.65%,Feb 2018,"505,906","1,002","151,239",Battle-Royale
Crab Game,Free,90.31%,Oct 2021,"43,258",991,"75,967",Battle-Royale
Farlight 84,Free,75.58%,Sep 2023,"38,054",705,"41,396",Battle-Royale
Sonic Rumble,Free,55.31%,Nov 2025,"19,098",621,"5,465",Battle-Royale
SUPERVIVE,Free,83.93%,Jul 2025,"38,944",570,"47,913",Battle-Royale
Zula Türkiye,Free,48.59%,Feb 2015,"8,562",523,"3,041",Battle-Royale
Off The Grid,Free,55.07%,Jul 2025,"4,842",440,"13,665",Battle-Royale
Super Animal Royale,Free,91.79%,Aug 2021,"49,665",360,"7,648",Battle-Royale
Lost Light,Free,56.00%,Sep 2022,"24,858",338,"7,787",Battle-Royale
Rogue Company,Free,73.10%,Jul 2021,"28,937",251,"12,189",Battle-Royale
Vampire: The Masquerade - Bloodhunt,Free,75.49%,Apr 2022,"115,677",249,"29,475",Battle-Royale
Splitgate 2 Beta,Free,60.62%,May 2025,"27,337",237,"25,785",Battle-Royale
EZ-CrosshairApplication,$0.79,81.01%,May 2025,490,218,368,Battle-Royale
SMASH LEGENDS,Free,67.56%,Apr 2021,"8,383",217,"1,526",Battle-Royale
GraalOnline Era,Free,66.46%,Feb 2024,"1,640",190,680,Battle-Royale
Fall Guys,—,80.68%,Aug 2020,"696,463",163,"172,213",Battle-Royale
Dungeon Stalkers,Free,48.79%,Oct 2025,"33,447",156,"5,194",Battle-Royale
Zula Global,Free,68.38%,Jan 2018,"8,405",154,"1,088",Battle-Royale
Totally Accurate Battlegrounds,Free,87.18%,Jun 2018,"86,477",153,"29,438",Battle-Royale
Hired Ops,Free,66.58%,Apr 2021,"30,429",151,"1,835",Battle-Royale
CRSED: Cuisine Royale,Free,77.50%,Dec 2019,"84,349",140,"12,266",Battle-Royale
SUPER PEOPLE,Free,56.69%,Oct 2022,"175,570",128,"47,392",Battle-Royale
Mini Royale,Free,63.05%,Mar 2025,"56,128",114,"5,429",Battle-Royale
英魂之刃,Free,46.75%,May 2024,"1,863",110,584,Battle-Royale
