Name,Price,Rating,Release,Follows,Online,Peak,Genre
Keep Talking and Nobody Explodes,$14.99,94.82%,Oct 2015,"117,763",160,"3,386",Board-Game
Dorfromantik,$13.99,94.30%,Apr 2022,"73,201",487,"7,101",Board-Game
5D Chess With Multiverse Time Travel,$11.99,93.66%,Jul 2020,"22,198",23,649,Board-Game
StarVaders,$18.74,93.41%,Apr 2025,"10,635",319,"1,278",Board-Game
The Jackbox Party Pack 3,$14.99,93.35%,Oct 2016,"17,491",161,"10,972",Board-Game
Tabletop Simulator,$19.99,92.98%,Jun 2015,"223,803","6,473","37,198",Board-Game
The Jackbox Party Pack 7,$17.99,92.86%,Oct 2020,"14,338",83,"10,599",Board-Game
The Test: Secrets of the Soul,Free,92.51%,Feb 2023,371,0,16,Board-Game
BoardLand,Free,91.98%,Jan 2024,777,1,223,Board-Game
Wingspan,$19.99,91.62%,Sep 2020,"32,981",735,"1,488",Board-Game
The Jackbox Party Pack 4,$11.24,91.17%,Oct 2017,"8,042",56,"3,902",Board-Game
The Jackbox Party Pack 6,$16.49,91.04%,Oct 2019,"12,824",62,"6,630",Board-Game
Merry XMerge,$0.99,91.02%,Dec 2023,71,0,508,Board-Game
dotAGE,$17.59,91.01%,Oct 2023,"14,216",52,"1,046",Board-Game
The Jackbox Party Pack 2,$9.99,90.94%,Oct 2015,"12,634",34,"4,937",Board-Game
Card Survival: Tropical Island,$24.99,90.87%,Sep 2022,"10,174",119,"2,144",Board-Game
Chessformer,$4.99,90.78%,Jan 2022,467,0,29,Board-Game
Dune: Imperium,$22.99,90.67%,Mar 2024,"19,806",448,"1,133",Board-Game
King of the Bridge,$2.99,90.44%,Mar 2024,"1,930",9,134,Board-Game
Depersonalization,$19.99,90.05%,Aug 2024,"42,150",22,"3,628",Board-Game
Tiny Civilization,$1.99,89.76%,Jan 2023,"3,450",7,"1,414",Board-Game
Hex of Steel,$24.99,89.73%,Mar 2020,"3,256",96,352,Board-Game
A=B,$4.99,89.72%,Mar 2022,"3,297",7,280,Board-Game
100% Orange Juice,$6.99,89.70%,Sep 2013,"32,318",108,"5,486",Board-Game
The Jackbox Party Pack 5,$14.99,89.67%,Oct 2018,"8,941",38,"2,748",Board-Game
Super Jigsaw Puzzle: Generations,Free,89.47%,Apr 2019,"1,580",157,243,Board-Game
Jigsaw Puzzle Dreams,Free,89.43%,Dec 2021,"1,240",170,298,Board-Game
Just Go,$9.99,89.38%,Aug 2022,"9,591",18,697,Board-Game
Lara Croft GO,$9.99,89.26%,Dec 2016,"10,427",2,397,Board-Game
Chess for idiots,Free,89.12%,Feb 2024,"2,853",11,125,Board-Game
Cascadia,$14.99,89.01%,Feb 2025,"1,202",18,47,Board-Game
"Warhammer 40,000: Mechanicus",$29.99,88.98%,Nov 2018,"47,433",173,"2,748",Board-Game
Vault of the Void,$17.99,88.95%,Oct 2022,"9,387",57,"1,003",Board-Game
Regency Solitaire II,$6.74,88.88%,Feb 2024,466,3,85,Board-Game
D&D Lords of Waterdeep,$9.99,88.83%,Sep 2017,"6,059",33,394,Board-Game
Regency Solitaire,$2.99,88.82%,May 2015,996,7,265,Board-Game
Swords and Sandals Classic Collection,$6.99,88.79%,Apr 2019,"4,510",89,553,Board-Game
Liar's Bar,$6.99,88.76%,Oct 2024,"132,515",965,"113,798",Board-Game
MONSTER CARDS,Free,88.71%,Aug 2022,717,26,118,Board-Game
Puzzline,$3.99,88.70%,Nov 2022,773,5,235,Board-Game
No Time to Relax,$13.99,88.27%,Feb 2019,"8,236",32,"1,649",Board-Game
Pixel Fixel,Free,88.20%,Mar 2024,129,0,27,Board-Game
Sophie's Dice,$4.99,88.06%,Jun 2019,477,4,18,Board-Game
Circadian Dice,$5.99,88.00%,Jul 2022,"1,651",4,360,Board-Game
Dicewood DemoDemo,Free,88.00%,May 2025,—,4,162,Board-Game
Curious Expedition,$14.99,87.97%,Sep 2016,"39,041",7,"1,038",Board-Game
LuckLand,$8.99,87.97%,Aug 2023,441,4,104,Board-Game
A Work of Art,Free,87.88%,Oct 2024,327,0,21,Board-Game
Mansions of Madness,Free,87.79%,Aug 2016,"7,329",31,545,Board-Game
Abalon: Roguelike Tactics CCG,$29.99,87.72%,May 2023,"3,572",3,153,Board-Game
Ark Nova,$22.99,87.72%,Jun 2025,"3,122",155,285,Board-Game
TaleSpire,$24.99,87.67%,Apr 2021,"80,644",293,"1,416",Board-Game
The Conquest of Go,$14.99,87.57%,Dec 2020,"3,152",1,91,Board-Game
Sagrada,$9.99,87.55%,Mar 2020,"1,165",8,89,Board-Game
Solar Settlers,$9.99,87.51%,Jul 2017,"1,632",3,30,Board-Game
Tainted Grail: Conquest,$19.99,87.50%,May 2021,"41,613",44,"3,294",Board-Game
Cell Command,$16.78,87.46%,Jun 2025,484,3,40,Board-Game
Spirit Island,$24.99,87.42%,Jul 2020,"6,535",161,279,Board-Game
FLATHEAD,$1.99,87.41%,May 2024,"1,023",1,37,Board-Game
Unlock The King,$0.99,87.38%,Nov 2019,408,0,35,Board-Game
Poker Night at the Inventory,—,87.35%,Nov 2010,"11,261",12,"10,146",Board-Game
Dungeon Inn,$12.99,87.33%,Nov 2024,"3,461",1,274,Board-Game
Mars Power Industries Deluxe,$5.99,87.33%,Nov 2019,"1,473",0,120,Board-Game
Pummel Party,$14.99,87.32%,Sep 2018,"161,298","1,546","20,957",Board-Game
Preserve,$12.49,87.30%,May 2025,"7,465",16,336,Board-Game
