Name,Price,Rating,Release,Follows,Online,Peak,Genre
Balatro,$14.99,96.67%,Feb 2024,"102,110","9,821","43,905",Card-Game
Slay the Spire,$24.99,96.53%,Jan 2019,"229,694","8,775","33,086",Card-Game
Neon White,$9.99,95.58%,Jun 2022,"33,899",227,"3,277",Card-Game
Inscryption,$19.99,95.56%,Oct 2021,"125,512",943,"17,072",Card-Game
TCG Card Shop Simulator,$12.99,94.80%,Sep 2024,"69,905","2,413","53,453",Card-Game
Stacklands,$7.99,94.11%,Apr 2022,"44,778",297,"5,186",Card-Game
Downfall - A Slay the Spire Fan Expansion,Free,93.74%,Mar 2022,"8,003",253,"3,132",Card-Game
Monster Train,$24.99,93.65%,May 2020,"36,017",214,"14,073",Card-Game
StarVaders,$18.74,93.41%,Apr 2025,"10,635",332,"1,278",Card-Game
ROUNDS,$5.99,93.31%,Apr 2021,"21,618",824,"2,269",Card-Game
Tabletop Simulator,$19.99,92.98%,Jun 2015,"223,803","5,726","37,198",Card-Game
DICEOMANCER,$14.99,92.94%,Oct 2024,"15,858",86,"3,137",Card-Game
Sultan's Game,$24.99,92.92%,Mar 2025,"68,012",774,"46,106",Card-Game
I Was a Teenage Exocolonist,$24.99,92.81%,Aug 2022,"13,717",68,688,Card-Game
Pilgrims,$6.99,92.65%,Oct 2019,"9,924",4,491,Card-Game
Monster Train 2,$24.99,92.63%,May 2025,"20,763","1,549","18,503",Card-Game
Library Of Ruina,$29.99,92.46%,Aug 2021,"82,863","1,090","8,015",Card-Game
Cobalt Core,$12.99,92.46%,Nov 2023,"12,184",54,"1,683",Card-Game
Die in the Dungeon: Origins,—,92.33%,Dec 2023,"4,423",7,"1,429",Card-Game
Demonic Mahjong,$16.99,92.32%,Jul 2025,"6,486",142,"3,921",Card-Game
The Zachtronics Solitaire Collection,$9.99,92.31%,Sep 2022,"1,362",73,128,Card-Game
Shogun Showdown,$7.49,92.03%,Sep 2024,"22,036",294,"1,860",Card-Game
Wingspan,$19.99,91.62%,Sep 2020,"32,981",687,"1,488",Card-Game
CARIMARA: Beneath the forlorn limbs,$4.99,91.37%,Oct 2025,"4,517",14,105,Card-Game
Griftlands,$19.99,91.25%,Jun 2021,"56,539",65,"7,693",Card-Game
TCG Card Shop Simulator: Prologue,Free,91.08%,Aug 2024,"7,318",133,"7,389",Card-Game
Loop Hero,$14.99,91.04%,Mar 2021,"60,957",222,"51,156",Card-Game
Card Survival: Tropical Island,$24.99,90.87%,Sep 2022,"10,174",131,"2,144",Card-Game
9 Kings DemoDemo,Free,90.86%,Jul 2024,—,17,"4,772",Card-Game
9 Kings,$9.99,90.84%,May 2025,"43,742","2,991","13,905",Card-Game
Shogun Showdown: Prologue,Free,90.80%,Apr 2023,"2,155",2,590,Card-Game
Shroom and Gloom DemoDemo,Free,90.72%,May 2025,—,30,382,Card-Game
Cookard,Free,90.71%,May 2024,"1,532",11,236,Card-Game
Dune: Imperium,$22.99,90.67%,Mar 2024,"19,806",436,"1,133",Card-Game
ГОООООООЛ!,$0.99,90.62%,Oct 2024,685,1,"1,802",Card-Game
NERTS! Online,Free,90.50%,Jan 2021,"1,243",11,369,Card-Game
One Step From Eden,$7.99,90.40%,Mar 2020,"33,142",28,"2,360",Card-Game
Last Evil,$4.99,90.30%,Jun 2020,"18,611",26,734,Card-Game
Take Me To The Dungeon!!,$10.99,90.26%,Jun 2023,"26,612",30,"2,066",Card-Game
Duelists of Eden,$4.99,90.12%,Mar 2024,"5,462",6,663,Card-Game
Depersonalization,$19.99,90.05%,Aug 2024,"42,150",27,"3,628",Card-Game
Zup! 6,$1.99,89.93%,Sep 2017,"1,188",0,791,Card-Game
Queens Casino,$9.99,89.78%,Aug 2025,"1,756",4,138,Card-Game
Pluto DemoDemo,Free,89.78%,Nov 2025,—,24,196,Card-Game
A=B,$4.99,89.72%,Mar 2022,"3,297",6,280,Card-Game
100% Orange Juice,$6.99,89.70%,Sep 2013,"32,318",106,"5,486",Card-Game
Sumire,$5.99,89.64%,May 2021,"2,667",0,409,Card-Game
.Forty-Five,Free,89.61%,Mar 2024,915,6,368,Card-Game
Cat God Ranch,$9.99,89.52%,Sep 2024,"7,256",23,"5,473",Card-Game
Commander Quest DemoDemo,Free,89.51%,Mar 2024,—,3,"1,312",Card-Game
Just Go,$9.99,89.38%,Aug 2022,"9,591",23,697,Card-Game
Tiny Pasture,$5.99,89.35%,Feb 2025,"19,136","1,053","19,732",Card-Game
Black Book,$24.99,89.31%,Aug 2021,"36,290",58,"1,817",Card-Game
Out Of Hands,$17.99,89.25%,Apr 2025,"5,354",1,"1,387",Card-Game
Crown Gambit,$17.99,89.25%,Jun 2025,"2,269",5,87,Card-Game
Golf Peaks,$4.99,89.25%,Nov 2018,"1,265",1,39,Card-Game
Cube Chaos,$11.99,89.23%,Jun 2025,"1,129",10,175,Card-Game
Black Book: Prologue,—,89.15%,May 2020,"5,200",0,123,Card-Game
Beecarbonize,Free,89.14%,Aug 2023,"1,781",7,496,Card-Game
神树残响（Echoes of the Divine Tree）,$11.99,89.04%,Mar 2025,"1,879",9,457,Card-Game
Choice of Life: Middle Ages 2,$6.99,89.00%,Sep 2022,"1,479",2,261,Card-Game
Vault of the Void,$17.99,88.95%,Oct 2022,"9,387",51,"1,003",Card-Game
Trainee Death Simulator,$5.99,88.89%,Nov 2024,"7,704",3,"2,912",Card-Game
Regency Solitaire II,$6.74,88.88%,Feb 2024,466,4,85,Card-Game
Free Solitaire,Free,88.86%,Nov 2024,375,155,180,Card-Game
Regency Solitaire,$2.99,88.82%,May 2015,996,8,265,Card-Game
Super Auto Pets,Free,88.74%,Sep 2021,"12,505",507,"10,760",Card-Game
Sunset Routes,$0.99,88.73%,Nov 2022,"1,402",1,155,Card-Game
Touhou: Lost Branch of Legend,$29.99,88.72%,Aug 2022,"6,624",65,511,Card-Game
MONSTER CARDS,Free,88.71%,Aug 2022,717,27,118,Card-Game
Puzzline,$3.99,88.70%,Nov 2022,773,9,235,Card-Game
Replicat,$8.99,88.70%,Nov 2025,588,48,99,Card-Game
The Witcher 3: Wild Hunt - 'Ballad Heroes' Neutral Gwent Card SetDLC,Free,88.52%,Jun 2015,—,—,—,Card-Game
Ring of Pain,$19.99,88.38%,Oct 2020,"8,766",47,"1,280",Card-Game
Astrea: Six-Sided Oracles,$24.99,88.34%,Sep 2023,"17,843",22,"3,900",Card-Game
SHENZHEN SOLITAIRE,$2.99,88.20%,Dec 2016,303,4,22,Card-Game
Kingdoms Reborn,$19.99,88.18%,Nov 2020,"97,994",234,"3,990",Card-Game
Chrono Ark,$24.99,88.16%,May 2024,"40,021",142,"7,084",Card-Game
Kādomon: Hyper Auto Battlers Prologue,Free,88.15%,Feb 2024,842,1,141,Card-Game
KUNKUN League,$2.99,88.12%,Oct 2024,166,0,66,Card-Game
Yamafuda! 2nd station,$12.99,88.09%,Sep 2021,"1,039",0,24,Card-Game
Voice of Belldona DemoDemo,Free,88.09%,Apr 2023,—,1,28,Card-Game
Fights in Tight Spaces (Prologue),Free,88.07%,Dec 2020,"2,572",0,232,Card-Game
Alina of the Arena,$14.99,88.06%,Oct 2022,"15,735",8,"1,636",Card-Game
Minion Masters,Free,88.04%,May 2019,"272,577",289,"10,329",Card-Game
