Name,Price,Rating,Release,Follows,Online,Peak,Genre
Stardew Valley,$14.99,97.68%,Feb 2016,"1,008,343","44,455","236,614",Casual
Euro Truck Simulator 2,$19.99,96.58%,Oct 2012,"1,254,070","41,824","69,754",Casual
Rocket League®,—,86.54%,Jul 2015,"649,089","11,513","147,632",Casual
MapleStory,Free,61.72%,Aug 2012,"20,878","10,350","17,750",Casual
Bloons TD 6,$13.99,96.23%,Dec 2018,"94,366","10,312","53,943",Casual
Russian Fishing 4,Free,56.20%,Nov 2021,"103,024","10,207","26,142",Casual
Unturned,Free,90.32%,Jul 2017,"568,449","10,130","112,703",Casual
Among Us,$2.99,91.16%,Nov 2018,"336,452","7,872","447,476",Casual
Cities: Skylines,$29.99,91.99%,Mar 2015,"845,213","7,499","60,386",Casual
American Truck Simulator,$19.99,95.66%,Feb 2016,"474,460","7,190","19,153",Casual
Tabletop Simulator,$19.99,92.98%,Jun 2015,"223,803","6,007","37,198",Casual
People Playground,$9.99,97.43%,Jul 2019,"95,634","5,751","17,015",Casual
UBERMOSH,$0.49,86.26%,Aug 2015,"4,161","4,942","7,239",Casual
Planet Zoo,$16.49,89.81%,Nov 2019,"364,655","3,845","38,630",Casual
NGU IDLE,Free,93.03%,Oct 2019,"4,838","3,814","8,032",Casual
Fishing Planet,Free,85.48%,Aug 2015,"120,244","3,715","9,926",Casual
Cell to Singularity - Evolution Never Ends,Free,87.87%,Nov 2021,"17,863","3,440","7,340",Casual
RISK: Global Domination,Free,78.51%,Feb 2020,"31,307","2,939","11,716",Casual
Shakes and Fidget,Free,90.49%,Feb 2016,"23,172","2,470","9,495",Casual
Clicker Heroes,Free,88.22%,May 2015,"33,835","2,380","65,882",Casual
Idle Champions of the Forgotten Realms,Free,75.78%,Mar 2020,"24,105","2,351","18,578",Casual
Yu-Gi-Oh! Duel Links,Free,81.79%,Nov 2017,"81,370","2,213","21,520",Casual
Plants vs. Zombies GOTY Edition,$4.99,96.33%,May 2009,"120,835","2,161","16,225",Casual
XSOverlayApplication,$9.99,81.60%,Mar 2020,"4,127","1,819","3,224",Casual
Slime Rancher,$4.99,96.63%,Aug 2017,"256,318","1,741","17,059",Casual
Knight Online,Free,50.51%,Jan 2016,"37,812","1,740","24,594",Casual
Rec Room,Free,87.49%,Jun 2016,"38,948","1,685","7,154",Casual
Fallout Shelter,Free,87.02%,Mar 2017,"108,870","1,650","42,656",Casual
House Flipper,$24.99,92.75%,May 2018,"256,399","1,599","15,910",Casual
Pummel Party,$14.99,87.32%,Sep 2018,"161,298","1,535","20,957",Casual
Golf With Your Friends,$4.49,86.68%,May 2020,"83,538","1,446","20,750",Casual
AdVenture Capitalist,Free,86.36%,Mar 2015,"25,078","1,382","22,998",Casual
Overcooked! 2,$9.69,89.18%,Aug 2018,"214,393","1,332","15,086",Casual
OMSI 2: Steam Edition,$29.99,83.47%,Dec 2013,"38,713","1,316","2,228",Casual
Idling to Rule the Gods,Free,81.93%,May 2016,"2,662","1,307","2,783",Casual
The Sims™ 3,$19.99,84.95%,Jun 2009,"112,754","1,280","10,505",Casual
Transformice,Free,86.28%,Jan 2015,"33,195","1,252","5,636",Casual
DEAD OR ALIVE Xtreme Venus Vacation,Free,81.66%,Mar 2019,"232,169","1,233","11,284",Casual
Business Tour - Board Game with Online Multiplayer,Free,60.08%,Jul 2017,"30,525","1,227","7,707",Casual
Age of History II,$4.99,88.26%,Nov 2018,"56,429","1,219","2,901",Casual
Catan Universe,Free,48.72%,Apr 2017,"12,998","1,208","7,376",Casual
SPORE™,$4.99,91.01%,Dec 2008,"93,461","1,188","5,630",Casual
Dota Underlords,Free,81.18%,Jun 2019,"68,180","1,117","202,334",Casual
Lords Mobile: Kingdom Wars,Free,65.77%,Jun 2019,"12,184","1,093","6,224",Casual
Cube Racer,Free,86.24%,Oct 2017,"2,965","1,066","3,283",Casual
Gems of War - Puzzle RPG,Free,77.20%,Nov 2014,"12,328","1,045","3,007",Casual
Crush Crush,Free,87.19%,May 2016,"36,306","1,034","4,572",Casual
Melissa K. and the Heart of Gold Collector's Edition,$9.99,68.22%,Sep 2014,749,975,"2,109",Casual
Castle Crashers®,$4.49,94.86%,Sep 2012,"203,518",929,"16,013",Casual
Prison Architect,$29.99,87.71%,Oct 2015,"209,339",921,"16,211",Casual
Human Fall Flat,$19.99,93.54%,Jul 2016,"574,820",906,"127,517",Casual
