Name,Price,Rating,Release,Follows,Online,Peak,Genre
RimWorld,$27.99,96.73%,Oct 2018,"618,475","24,074","96,040",City-Builder
Dyson Sphere Program,$19.99,96.03%,Jan 2021,"246,645","2,277","59,815",City-Builder
Factorio,$35.00,95.94%,Aug 2020,"401,263","19,339","118,674",City-Builder
Stronghold Crusader HD (2012),$9.99,95.21%,Jul 2002,"19,642",897,"2,942",City-Builder
Age of Empires II (Retired),$19.99,94.38%,Apr 2013,"188,637","3,230","27,927",City-Builder
Dorfromantik,$13.99,94.30%,Apr 2022,"73,201",499,"7,101",City-Builder
Town to City,$21.24,94.24%,Sep 2025,"40,690","1,222","4,428",City-Builder
Minami Lane,$4.99,94.20%,Feb 2024,"11,500",26,587,City-Builder
Thronefall,$12.99,94.17%,Oct 2024,"81,172",204,"6,723",City-Builder
Kenshi,$11.99,94.14%,Dec 2018,"290,717","5,596","11,654",City-Builder
Stacklands,$7.99,94.11%,Apr 2022,"44,778",311,"5,186",City-Builder
Mini Motorways,$7.49,93.98%,Jul 2021,"37,797",655,"9,914",City-Builder
Timberborn,$34.99,93.75%,Sep 2021,"167,731","3,651","13,045",City-Builder
Age of Empires II: Definitive Edition,$12.24,93.69%,Nov 2019,"271,684","19,927","38,725",City-Builder
OpenTTD,Free,93.66%,Mar 2004,"23,696",713,"3,254",City-Builder
Townscaper,$2.69,93.19%,Aug 2021,"78,422",45,"1,165",City-Builder
Against the Storm,$14.99,92.89%,Dec 2023,"128,460","2,040","12,832",City-Builder
Dwarf Fortress,$29.99,92.87%,Dec 2022,"195,080","1,575","28,340",City-Builder
Stronghold HD (2012),$5.99,92.70%,Oct 2001,"19,914",168,755,City-Builder
Songs of Syx,$24.99,92.53%,Sep 2020,"46,895",205,"2,956",City-Builder
Cattails: Wildwood Story,$19.99,92.44%,Oct 2023,"10,635",54,"1,143",City-Builder
Two Point Museum,$27.98,92.26%,Mar 2025,"47,894","1,364","19,439",City-Builder
Rise of Nations: Extended Edition,$6.59,92.21%,Jun 2014,"47,542",748,"2,734",City-Builder
Empires of the Undergrowth,$14.99,92.16%,Jun 2024,"84,064",431,"6,367",City-Builder
ISLANDERS,$4.99,92.07%,Apr 2019,"49,092",35,"1,783",City-Builder
Dystopika,$4.89,92.01%,Jun 2024,"18,982",27,306,City-Builder
Cities: Skylines,$29.99,91.99%,Mar 2015,"845,213","7,499","60,386",City-Builder
Ostriv,$24.99,91.93%,Mar 2020,"55,095",252,"1,252",City-Builder
Sandustry DemoDemo,Free,91.83%,Jan 2025,—,34,"1,784",City-Builder
Yog-Sothoth’s Yard,$10.99,91.79%,Oct 2023,"31,801",47,"5,459",City-Builder
After Inc: Revival DemoDemo,Free,91.58%,May 2025,—,2,751,City-Builder
Rolling Line,$19.99,91.56%,Apr 2018,"6,937",95,215,City-Builder
Kingdoms and Castles,$14.99,91.53%,Jul 2017,"145,377",291,"4,856",City-Builder
RollerCoaster Tycoon®: Deluxe,$5.99,91.46%,Mar 1999,"12,273",228,"1,233",City-Builder
Captain of Industry,$24.49,91.44%,May 2022,"77,060","2,288","11,121",City-Builder
Frostpunk,$29.99,91.40%,Apr 2018,"379,509","1,857","29,361",City-Builder
Parkitect,$29.99,91.39%,Nov 2018,"62,775",104,"1,400",City-Builder
Zeus + Poseidon,$4.99,91.39%,Dec 2016,"7,420",147,337,City-Builder
URBO: Dream One,Free,91.20%,Aug 2023,"1,479",3,908,City-Builder
Town to City DemoDemo,Free,91.18%,May 2025,—,122,610,City-Builder
From Glory To Goo,$11.99,91.07%,Apr 2024,"9,911",61,200,City-Builder
dotAGE,$17.59,91.01%,Oct 2023,"14,216",47,"1,046",City-Builder
Doraemon Dorayaki Shop Story,$19.99,90.93%,Dec 2024,"3,180",7,655,City-Builder
A World of Keflings,$11.99,90.87%,Jul 2025,"1,635",10,300,City-Builder
拖拖拉拉小菲镇,$1.99,90.86%,Aug 2025,274,0,34,City-Builder
9 Kings DemoDemo,Free,90.86%,Jul 2024,—,16,"4,772",City-Builder
Mad Games Tycoon 2,$24.99,90.81%,May 2023,"23,298",199,"2,182",City-Builder
Reus 2,$14.99,90.72%,May 2024,"20,977",67,"1,237",City-Builder
Cookard,Free,90.71%,May 2024,"1,532",14,236,City-Builder
Cloud Gardens,$12.59,90.66%,Sep 2021,"16,655",5,286,City-Builder
ISLANDERS: New Shores,$9.99,90.64%,Jul 2025,"5,300",61,887,City-Builder
Gnomes,$9.99,90.53%,Apr 2025,"4,947",12,444,City-Builder
TheoTown,$9.99,90.30%,Jun 2019,"9,290",92,430,City-Builder
Littlewood,$14.99,90.23%,Aug 2020,"35,570",21,"1,678",City-Builder
Critter Cove,$24.99,90.22%,Sep 2024,"15,288",37,"1,307",City-Builder
Two Point Hospital,$29.99,90.12%,Aug 2018,"200,798",522,"34,009",City-Builder
SUMMERHOUSE,$4.99,90.06%,Mar 2024,"19,888",5,528,City-Builder
Go-Go Town!,$18.74,89.92%,Jun 2024,"20,782",102,"2,280",City-Builder
Urbek City Builder: Prologue,Free,89.82%,Mar 2022,"6,030",1,475,City-Builder
Planet Zoo,$16.49,89.81%,Nov 2019,"364,655","3,845","38,630",City-Builder
