Name,Price,Rating,Release,Follows,Online,Peak,Genre
RimWorld,$27.99,96.73%,Oct 2018,"618,475","23,960","96,040",Colony-Sim
Oxygen Not Included,$7.49,95.43%,Jul 2019,"403,127","9,177","27,486",Colony-Sim
Stronghold Crusader HD (2012),$9.99,95.21%,Jul 2002,"19,642",870,"2,942",Colony-Sim
Cult of the Lamb,$24.99,94.32%,Aug 2022,"241,645","1,942","61,780",Colony-Sim
Timberborn,$34.99,93.75%,Sep 2021,"167,731","3,728","13,045",Colony-Sim
WorldBox - God Simulator,$19.99,93.36%,Dec 2021,"183,256","2,080","11,034",Colony-Sim
DFHack - Dwarf Fortress Modding Engine,Free,93.07%,Apr 2023,"1,995",326,582,Colony-Sim
Against the Storm,$14.99,92.89%,Dec 2023,"128,460","2,091","12,832",Colony-Sim
Dwarf Fortress,$29.99,92.87%,Dec 2022,"195,080","1,625","28,340",Colony-Sim
Stronghold HD (2012),$5.99,92.70%,Oct 2001,"19,914",172,755,Colony-Sim
Songs of Syx,$24.99,92.53%,Sep 2020,"46,895",210,"2,956",Colony-Sim
Cattails: Wildwood Story,$19.99,92.44%,Oct 2023,"10,635",48,"1,143",Colony-Sim
Empires of the Undergrowth,$14.99,92.16%,Jun 2024,"84,064",419,"6,367",Colony-Sim
ISLANDERS,$4.99,92.07%,Apr 2019,"49,092",32,"1,783",Colony-Sim
Farm Together,$19.99,91.97%,Oct 2018,"75,138",220,"6,998",Colony-Sim
My Singing Monsters,Free,91.96%,Mar 2021,"22,262","1,017","3,939",Colony-Sim
Ostriv,$24.99,91.93%,Mar 2020,"55,095",250,"1,252",Colony-Sim
Sandustry DemoDemo,Free,91.83%,Jan 2025,—,47,"1,784",Colony-Sim
Cattails | Become a Cat!,$14.99,91.64%,Dec 2017,"10,148",13,442,Colony-Sim
After Inc: Revival DemoDemo,Free,91.58%,May 2025,—,2,751,Colony-Sim
Kingdoms and Castles,$14.99,91.53%,Jul 2017,"145,377",283,"4,856",Colony-Sim
Captain of Industry,$24.49,91.44%,May 2022,"77,060","2,279","11,121",Colony-Sim
Frostpunk,$29.99,91.40%,Apr 2018,"379,509","1,807","29,361",Colony-Sim
Zeus + Poseidon,$4.99,91.39%,Dec 2016,"7,420",140,337,Colony-Sim
From Glory To Goo,$11.99,91.07%,Apr 2024,"9,911",50,200,Colony-Sim
SPORE™,$4.99,91.01%,Dec 2008,"93,461","1,158","5,630",Colony-Sim
dotAGE,$17.59,91.01%,Oct 2023,"14,216",52,"1,046",Colony-Sim
Reus 2,$14.99,90.72%,May 2024,"20,977",63,"1,237",Colony-Sim
ISLANDERS: New Shores,$9.99,90.64%,Jul 2025,"5,300",78,887,Colony-Sim
Gnomes,$9.99,90.53%,Apr 2025,"4,947",14,444,Colony-Sim
RimWorld - BiotechDLC,$22.49,89.64%,Oct 2022,—,—,—,Colony-Sim
Colony Survival,$24.95,89.34%,Jun 2017,"78,535",153,"1,488",Colony-Sim
The Final Earth 2,$5.99,89.01%,Jul 2022,"1,646",11,51,Colony-Sim
Workers & Resources: Soviet Republic,$19.99,88.97%,Jun 2024,"137,299","3,005","8,264",Colony-Sim
Banished,$19.99,88.76%,Feb 2014,"141,947",662,"24,636",Colony-Sim
The Wandering Village,$29.99,88.69%,Jul 2025,"108,854",145,"5,786",Colony-Sim
