Name,Price,Rating,Release,Follows,Online,Peak,Genre
Stardew Valley,$14.99,97.68%,Feb 2016,"1,008,343","44,376","236,614",Dating-Sim
Senren＊Banka,$34.99,96.59%,Feb 2020,"74,656",172,"3,013",Dating-Sim
ULTRAKILL,$18.74,96.41%,Sep 2020,"122,044","3,027","28,076",Dating-Sim
Helltaker,Free,96.33%,May 2020,"97,523",53,"6,509",Dating-Sim
ATRI -My Dear Moments-,$20.99,96.13%,Jun 2020,"49,290",18,772,Dating-Sim
Our Life: Beginnings & Always,Free,95.92%,Nov 2020,"24,471",110,"1,942",Dating-Sim
Volcano Princess,$7.69,95.91%,Apr 2023,"70,231",475,"31,057",Dating-Sim
Undertale,$9.99,95.73%,Sep 2015,"385,532","1,320","11,071",Dating-Sim
Fields of Mistria,$13.99,95.60%,Aug 2024,"122,282","1,219","12,452",Dating-Sim
魔女的夜宴,$34.99,95.60%,Jul 2023,"24,237",76,"1,374",Dating-Sim
Neon White,$9.99,95.58%,Jun 2022,"33,899",227,"3,277",Dating-Sim
Persona 4 Golden,$9.99,95.46%,Jun 2020,"97,490",850,"29,984",Dating-Sim
CLANNAD,$17.99,95.38%,Apr 2004,"63,773",58,415,Dating-Sim
Doki Doki Literature Club!,Free,95.30%,Sep 2017,"162,742",448,"7,402",Dating-Sim
A Date with Death,Free,95.27%,Dec 2023,"26,029",133,"2,870",Dating-Sim
Persona 5 Royal,$20.99,95.14%,Oct 2022,"150,692","4,472","35,474",Dating-Sim
STEINS;GATE,$29.99,94.90%,Sep 2016,"100,172",141,"3,565",Dating-Sim
Slay the Princess — The Pristine Cut,$17.99,94.85%,Oct 2023,"57,234",167,"2,583",Dating-Sim
Summer Pockets,$44.99,94.82%,Jun 2018,"16,518",12,236,Dating-Sim
Doki Doki Literature Club Plus!,$14.99,94.77%,Jun 2021,"72,025",83,"8,662",Dating-Sim
Summer Clover,$17.99,94.77%,Jun 2024,"38,960",153,"5,199",Dating-Sim
Riddle Joker,$34.99,94.76%,Dec 2020,"21,888",44,724,Dating-Sim
I Wani Hug that Gator!,$14.99,94.70%,Feb 2024,"8,166",14,759,Dating-Sim
Aliya: Timelink,$2.99,94.64%,Apr 2024,"4,902",25,639,Dating-Sim
Winter Memories,$19.99,94.48%,Jan 2024,"48,992",136,"12,403",Dating-Sim
Mirror,$1.99,94.42%,Apr 2018,"148,649",43,"8,250",Dating-Sim
Maitetsu:Last Run!!,$34.99,94.38%,Oct 2020,"15,907",17,438,Dating-Sim
Dialtown: Phone Dating Sim,$7.99,94.31%,Feb 2022,"3,760",3,135,Dating-Sim
VillageRhapsody,$2.99,94.30%,Apr 2023,"69,698",63,"4,121",Dating-Sim
NEKOPARA Vol. 2,$9.99,94.22%,Feb 2016,"51,604",7,"1,228",Dating-Sim
Just a To the Moon Series Beach Episode,$7.99,94.22%,Sep 2024,"6,560",1,486,Dating-Sim
NEKOPARA Vol. 3,$9.99,94.16%,May 2017,"53,099",12,"2,571",Dating-Sim
NEKOPARA Vol. 4,$9.99,94.16%,Nov 2020,"35,538",25,"2,529",Dating-Sim
Yakuza 0,$19.99,94.12%,Aug 2018,"88,342",757,"8,985",Dating-Sim
Scarlet Hollow,$24.99,94.11%,Jun 2021,"14,337",41,647,Dating-Sim
Danganronpa 2: Goodbye Despair,$19.99,94.06%,Apr 2016,"51,609",188,"1,869",Dating-Sim
Monster Prom 4: Monster Con,$14.99,94.05%,Apr 2025,"9,283",14,"1,839",Dating-Sim
Vampires' Melody,$3.99,94.04%,Oct 2020,"8,579",4,174,Dating-Sim
