Name,Price,Rating,Release,Follows,Online,Peak,Genre
Steam Engine Simulator,Free,95.66%,Jun 2023,"9,379",49,"1,140",Education
WolfQuest: Anniversary Edition,$29.99,94.84%,Jul 2025,"32,039",708,"2,383",Education
Chill with You : Lo-Fi Story,$9.59,94.46%,Nov 2025,"10,754","1,852","6,445",Education
Zup! S,$1.99,94.37%,Nov 2018,"6,183",17,722,Education
Universe Sandbox,$29.99,94.28%,Aug 2015,"171,960",482,750,Education
Kerbal Space Program,$9.99,93.91%,Apr 2015,"287,741","2,920","19,149",Education
Car Mechanic Simulator 2021,$21.58,93.88%,Aug 2021,"89,125","1,934","22,561",Education
The Powder Toy,Free,93.71%,Jun 2024,"1,947",124,430,Education
Sudocats,$1.19,93.65%,Mar 2022,722,12,70,Education
Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,$3.74,93.43%,Jun 2014,"56,682",55,"5,683",Education
SpaceEngine,$29.99,93.34%,Jun 2019,"80,349",269,596,Education
Zup! Z,$1.99,93.30%,Dec 2020,"1,165",3,"1,288",Education
Incredibox,$4.99,93.13%,Aug 2009,"8,094",94,"1,078",Education
TIS-100,$6.99,92.87%,Jul 2015,"22,706",22,493,Education
House Flipper,$24.99,92.75%,May 2018,"256,399","1,594","15,910",Education
We Become What We Behold [Fan-Made Port],Free,92.66%,Jul 2019,"4,547",15,443,Education
The Farmer Was Replaced,$9.99,92.64%,Oct 2025,"29,571",715,"7,436",Education
Turing Complete,$19.99,92.53%,Oct 2021,"32,476",101,784,Education
School Days,Free,92.48%,Aug 2024,"3,379",1,484,Education
Liftoff®: FPV Drone Racing,$19.99,92.45%,Sep 2018,"34,560",646,832,Education
Wagotabi: A Japanese Journey,$9.99,92.14%,Aug 2025,"6,124",49,281,Education
Poly Bridge 2,$2.99,92.07%,May 2020,"26,045",151,"1,924",Education
Chill Pulse,$4.99,92.03%,May 2024,"11,024",205,"2,189",Education
Bitburner,Free,91.93%,Dec 2021,"18,281",602,"5,935",Education
PC Building Simulator,$19.99,91.90%,Jan 2019,"171,435",164,"3,884",Education
4D Golf,$19.99,91.59%,Mar 2024,"2,569",0,199,Education
Hacknet,$9.99,91.51%,Aug 2015,"79,499",37,"127,640",Education
Crosshair XApplication,$4.99,91.46%,Jun 2020,"23,089","51,621","89,033",Education
Pictopix,$6.99,91.46%,Jan 2017,"2,021",54,773,Education
Island Saver,Free,91.40%,May 2020,"3,706",23,755,Education
SHENZHEN I/O,$14.99,91.38%,Nov 2016,"38,617",32,"1,170",Education
Scribblenauts Unlimited,$1.99,91.37%,Nov 2012,"24,056",73,"5,180",Education
RetroMaze,$0.99,91.36%,May 2018,861,3,95,Education
Automation - The Car Company Tycoon Game,$29.99,91.24%,Mar 2015,"67,849",663,"1,508",Education
Billionaire Lovers,$2.99,91.23%,Jul 2021,"3,249",0,"1,352",Education
Reentry - A Space Flight Simulator,$34.99,91.21%,Nov 2025,"14,939",57,219,Education
Mudborne: Frog Management Sim,$7.99,91.17%,Mar 2025,"5,619",17,554,Education
The Test: Reality Check,$4.99,91.05%,Feb 2025,296,0,6,Education
The Expression Amrilato,$13.74,90.79%,Jun 2019,"5,267",2,91,Education
X-Plane 11,$29.99,90.67%,Mar 2017,"99,415",509,"4,210",Education
Frog Fractions: Game of the Decade Edition,Free,90.66%,Aug 2020,"1,579",4,321,Education
Prose & Codes,$5.99,90.63%,Feb 2022,"1,222",3,48,Education
Zniw Adventure,$8.99,90.57%,Nov 2020,"1,093",1,29,Education
RPG Maker VX AceApplication,$6.99,90.50%,Dec 2012,"27,698",214,"4,196",Education
Human Resource Machine,$4.94,90.45%,Oct 2015,"24,388",36,778,Education
Putt-Putt® Saves The Zoo,$6.99,90.45%,Dec 1995,"1,066",24,53,Education
Freddi Fish and the Case of the Missing Kelp Seeds,$6.99,90.43%,Oct 1994,"1,577",10,71,Education
Countryball: Europe 1890,$3.99,90.36%,Mar 2022,534,4,78,Education
You Can Kana - Learn Japanese Hiragana & Katakana,$9.99,90.35%,Aug 2021,"1,158",0,22,Education
Car Mechanic Simulator 2015,$19.99,90.05%,Apr 2015,"40,130",29,"4,340",Education
Koishi Navigation Desktop Youkai,Free,89.81%,Aug 2022,"3,617",5,482,Education
Car Mechanic Simulator 2018,$17.58,89.80%,Jul 2017,"133,732",290,"8,474",Education
Vermillion - VR Painting,$19.99,89.80%,Jul 2021,"3,972",2,54,Education
Let's School,$19.99,89.79%,Jul 2023,"30,699",145,"7,255",Education
Beltmatic,$4.89,89.78%,Mar 2024,"3,965",143,852,Education
A=B,$4.99,89.72%,Mar 2022,"3,297",6,280,Education
Pixel Art Academy: Learn Mode,$13.00,89.60%,Aug 2024,"4,249",4,86,Education
Chinese Parents,$5.49,89.48%,Sep 2018,"89,714",146,"32,593",Education
RPG Maker XPApplication,$2.49,89.35%,Sep 2005,"9,983",332,"1,481",Education
East Trade Tycoon: Inheritance,$2.99,89.32%,Oct 2024,"3,368",16,"4,973",Education
Freddi Fish 2: The Case of the Haunted Schoolhouse,$6.99,89.30%,Mar 1996,772,11,39,Education
7 Billion Humans,$4.94,89.28%,Aug 2018,"16,081",23,715,Education
Learn Japanese RPG: Hiragana Forbidden Speech,$19.99,89.28%,Dec 2023,"3,793",4,16,Education
Juufuutei Raden™'s Guide for Pixel Museum,$19.99,89.28%,Jun 2025,"2,411",11,680,Education
Potato Survival,$3.99,89.23%,Oct 2022,181,0,23,Education
Parcel Simulator,$17.99,89.22%,Jun 2025,"8,437",182,"3,617",Education
Poly Bridge,$0.99,89.07%,Jul 2016,"85,546",332,"4,134",Education
MEMOLOGY: GOYDA,$1.99,89.05%,May 2024,"2,920",1,26,Education
Maestro,$24.99,89.04%,Oct 2024,"2,720",4,35,Education
The Journey - Episode 1: Whatever This Is,$1.99,89.04%,Apr 2021,231,0,11,Education
Hatsune Miku Logic Paint S,$13.99,88.90%,Nov 2022,"2,183",10,237,Education
SpaceChem,$9.99,88.88%,Mar 2011,"9,025",15,"1,962",Education
Bridge Constructor Portal,$0.99,88.76%,Dec 2017,"47,718",59,"1,745",Education
Puzzline,$3.99,88.70%,Nov 2022,773,9,235,Education
HyperRogue,$9.99,88.67%,Jan 2015,"1,338",5,53,Education
while True: learn(),$12.99,88.62%,Jan 2019,"35,877",13,844,Education
PLAYNE : The Meditation Game,$14.99,88.58%,May 2020,"8,827",2,38,Education
Zoombinis,$11.99,88.52%,Oct 2015,"2,624",34,188,Education
