Name,Price,Rating,Release,Follows,Online,Peak,Genre
Universe Sandbox,$29.99,94.28%,Aug 2015,"171,960",464,750,God-Game
WorldBox - God Simulator,$19.99,93.36%,Dec 2021,"183,256","2,104","11,034",God-Game
Ages of Conflict: World War Simulator,$6.99,92.71%,Feb 2023,"8,810",627,961,God-Game
Dungeons 3,$29.99,91.94%,Oct 2017,"53,478",102,"3,289",God-Game
Bean Battles,$0.99,91.15%,Aug 2018,"1,581",7,286,God-Game
SPORE™,$4.99,91.01%,Dec 2008,"93,461","1,177","5,630",God-Game
拖拖拉拉小菲镇,$1.99,90.86%,Aug 2025,274,0,34,God-Game
Reus 2,$14.99,90.72%,May 2024,"20,977",63,"1,237",God-Game
TYRONE vs COPS,$0.99,90.23%,Feb 2022,"1,548",0,70,God-Game
Meddl Dash,$0.99,90.07%,Sep 2024,143,1,23,God-Game
Planet Coaster,$11.24,89.81%,Nov 2016,"300,589",702,"21,971",God-Game
Rock Simulator,$1.99,89.79%,Nov 2019,"1,663",26,141,God-Game
Tiny Civilization,$1.99,89.76%,Jan 2023,"3,450",6,"1,414",God-Game
Dominions 5 - Warriors of the Faith,$39.99,89.73%,Nov 2017,"11,760",25,"1,085",God-Game
click to ten,Free,89.71%,Mar 2022,"1,401",27,104,God-Game
The Confession,$1.99,89.63%,May 2020,575,0,12,God-Game
Evil Genius,$9.99,89.63%,Sep 2004,"9,213",20,"1,041",God-Game
Tropico 4,$14.99,89.32%,Sep 2011,"15,760",120,"10,892",God-Game
The Tenants - Free Trial,—,89.03%,Mar 2021,"6,549",0,"1,729",God-Game
Equilinox,$9.99,88.77%,Nov 2018,"16,323",4,588,God-Game
GolfTopia,$19.99,88.61%,Mar 2021,"2,598",3,77,God-Game
Dungeon Tycoon: Prologue,Free,88.60%,Jul 2024,"1,737",0,"4,436",God-Game
Hole Dweller,$7.99,88.52%,Jan 2024,"2,640",9,114,God-Game
Mini Airways - ATC simulator,$9.99,88.46%,Jul 2024,"5,558",28,637,God-Game
Dungeon Keeper™ 2,$2.49,88.11%,Mar 2024,"3,054",77,930,God-Game
Cell to Singularity - Evolution Never Ends,Free,87.87%,Nov 2021,"17,863","3,469","7,340",God-Game
Planetary Life,$11.99,87.84%,Aug 2025,"8,090",35,710,God-Game
Paper Beast,$19.99,87.79%,Jul 2020,"3,121",0,36,God-Game
PolyPine,$8.99,87.63%,Mar 2025,"2,710",12,215,God-Game
Gachi Finder 3000,$0.99,87.51%,Jan 2019,406,0,7,God-Game
Mutant Football League,$14.99,87.47%,Oct 2017,"3,886",4,93,God-Game
Tiny Town VR,$14.99,87.38%,Aug 2017,"2,954",12,58,God-Game
Fish Game,$24.99,87.30%,Oct 2023,"3,801",2,165,God-Game
Preserve,$12.49,87.30%,May 2025,"7,465",12,336,God-Game
Sandboxels,$0.99,87.24%,May 2025,643,51,114,God-Game
Shadows of Forbidden Gods,$19.99,87.09%,Jul 2023,"9,306",17,502,God-Game
Deisim,$14.99,86.99%,Sep 2022,"4,564",1,37,God-Game
Reus 2 - Ice AgeDLC,$6.39,86.96%,Jan 2025,—,—,—,God-Game
Solar 2,$9.99,86.96%,Jun 2011,"3,809",2,"2,739",God-Game
Dungeon Keeper Gold™,$2.49,86.83%,Mar 2024,"2,391",44,378,God-Game
SPORE™ Galactic Adventures,$4.99,86.61%,Jun 2009,"14,766",206,"1,517",God-Game
Terra Firma,Free,86.58%,Feb 2025,"1,749",15,88,God-Game
Mini Airways: Prologue,—,86.52%,May 2024,"1,267",0,651,God-Game
Deck of Haunts DemoDemo,Free,86.47%,Dec 2024,—,0,146,God-Game
Path of Dao,$2.79,86.45%,Apr 2025,204,0,66,God-Game
Majesty Gold HD,$9.99,86.45%,Mar 2001,"3,823",4,132,God-Game
Craft The World,$18.99,86.37%,Nov 2014,"110,307",366,"3,283",God-Game
Fantasy Map Simulator,$7.99,86.27%,Sep 2024,"38,609",111,"2,475",God-Game
Hitler Hates Anime,$0.99,86.19%,Aug 2021,853,0,15,God-Game
Dominions 6 - Rise of the Pantokrator,$44.99,86.19%,Jan 2024,"12,303",294,"1,881",God-Game
Dominions 4: Thrones of Ascension,$13.99,86.12%,Dec 2013,"14,113",4,557,God-Game
Mountain,$0.99,86.11%,Jul 2014,"13,741",50,"1,667",God-Game
STARIO: Haven Tower,$12.59,86.07%,Sep 2025,"5,064",19,412,God-Game
AI Learns To Drive,$5.99,86.05%,Jan 2025,976,19,111,God-Game
Prehistoric Kingdom,$29.99,85.94%,Apr 2022,"71,719",156,"2,520",God-Game
The Sapling,$17.99,85.81%,Dec 2019,"5,694",35,229,God-Game
HBDIE: 2,—,85.51%,Aug 2022,353,0,34,God-Game
Pathogenic DemoDemo,Free,85.50%,Oct 2025,—,88,390,God-Game
Creatures Docking Station,Free,85.48%,Mar 2001,826,6,30,God-Game
SPORE™ Creepy & Cute Parts Pack,$4.99,85.40%,Dec 2008,"6,663",31,528,God-Game
Doodle Empires,$6.99,85.35%,May 2025,"2,821",144,181,God-Game
Rise to Ruins,$14.99,85.33%,Oct 2019,"51,689",28,"1,469",God-Game
Hideko,$4.99,85.25%,Dec 2024,241,0,52,God-Game
Marble World,$19.99,85.00%,May 2021,"4,349",39,124,God-Game
Startopia,$6.99,84.80%,Jun 2001,"6,973",2,182,God-Game
Galimulator,$4.99,84.55%,Mar 2018,"2,352",6,76,God-Game
