Name,Price,Rating,Release,Follows,Online,Peak,Genre
DELTARUNE,$24.99,97.02%,Jun 2025,"177,084","1,557","133,930",JRPG
Volcano Princess,$7.69,95.91%,Apr 2023,"70,231",475,"31,057",JRPG
South Park™: The Stick of Truth™,$29.99,95.90%,Mar 2014,"120,513",413,"34,811",JRPG
Grimm's Hollow,Free,95.84%,Oct 2019,"13,888",7,221,JRPG
Touhou Mystia's Izakaya,$4.79,95.83%,Oct 2021,"51,943",206,"3,196",JRPG
OMORI,$19.99,95.59%,Dec 2020,"102,851",458,"3,166",JRPG
Persona 4 Golden,$9.99,95.46%,Jun 2020,"97,490",850,"29,984",JRPG
Finding Paradise,$9.99,95.32%,Dec 2017,"44,557",5,994,JRPG
Buy a Croquette!,Free,95.25%,Apr 2024,"3,964",24,451,JRPG
Clair Obscur: Expedition 33,$49.99,95.15%,Apr 2025,"260,122","17,325","145,063",JRPG
Persona 5 Royal,$20.99,95.14%,Oct 2022,"150,692","4,472","35,474",JRPG
Epic Battle Fantasy 5,$24.99,95.08%,Nov 2018,"19,614",46,"2,648",JRPG
Tales of the Black Forest,$3.99,95.07%,Sep 2019,"9,941",2,237,JRPG
Hylics,$2.99,94.95%,Oct 2015,"7,376",18,134,JRPG
Word Game: Episode 0,Free,94.89%,Jan 2021,"10,989",1,412,JRPG
Summer Clover,$17.99,94.77%,Jun 2024,"38,960",153,"5,199",JRPG
Eternal Senia,Free,94.73%,Jun 2015,"33,815",4,645,JRPG
Felvidek,$7.69,94.73%,Mar 2024,"14,433",24,115,JRPG
Sora no Kiseki the 1st,$59.99,94.63%,Sep 2025,"16,525",137,"14,295",JRPG
Fear & Hunger 2: Termina,$11.99,94.50%,Dec 2022,"25,730",312,662,JRPG
第七号列车 - Train No. 7,Free,94.49%,Aug 2021,"4,370",1,263,JRPG
Winter Memories,$19.99,94.48%,Jan 2024,"48,992",136,"12,403",JRPG
Illusion Carnival,Free,94.45%,Jul 2024,"9,980",33,205,JRPG
The Test,$1.99,94.45%,Feb 2020,"2,791",0,407,JRPG
Mirror,$1.99,94.42%,Apr 2018,"148,649",43,"8,250",JRPG
Touhou Hero of Ice Fairy,$6.99,94.24%,Apr 2024,"12,223",14,"1,168",JRPG
Just a To the Moon Series Beach Episode,$7.99,94.22%,Sep 2024,"6,560",1,486,JRPG
Yakuza 0,$19.99,94.12%,Aug 2018,"88,342",757,"8,985",JRPG
Vampires' Melody,$3.99,94.04%,Oct 2020,"8,579",4,174,JRPG
The Legend of Heroes: Trails in the Sky SC,$19.49,93.85%,Oct 2015,"26,257",123,840,JRPG
Bug Fables: The Everlasting Sapling,$19.99,93.73%,Nov 2019,"10,256",27,325,JRPG
Living With Sister: Monochrome Fantasy,$10.39,93.52%,Mar 2024,"47,157",140,"6,305",JRPG
OPUS: Echo of Starsong - Full Bloom Edition,$24.99,93.40%,Sep 2021,"28,216",4,567,JRPG
Beastieball,$24.99,93.38%,Nov 2024,"8,291",22,585,JRPG
ASTLIBRA Revision,$24.99,93.32%,Oct 2022,"45,954",190,"7,828",JRPG
Touhou Hero of Ice Fairy: Prologue,Free,93.25%,Dec 2021,"7,506",0,983,JRPG
Tiny Shadows Interwoven Hearts,Free,93.25%,Nov 2025,639,47,748,JRPG
