Name,Price,Rating,Release,Follows,Online,Peak,Genre
Stardew Valley,$14.99,97.68%,Feb 2016,"1,008,343","44,291","236,614",Life-Sim
MiSide,$14.99,96.48%,Dec 2024,"130,836",436,"23,741",Life-Sim
VPet-Simulator,Free,96.43%,Aug 2023,"55,242","2,964","85,551",Life-Sim
Volcano Princess,$7.69,95.91%,Apr 2023,"70,231",475,"31,057",Life-Sim
Crime Scene Cleaner,$24.99,95.78%,Aug 2024,"69,173",976,"13,577",Life-Sim
Fields of Mistria,$13.99,95.60%,Aug 2024,"122,282","1,231","12,452",Life-Sim
Wobbledogs,$19.99,95.49%,Mar 2022,"14,189",171,591,Life-Sim
VA-11 Hall-A: Cyberpunk Bartender Action,$10.04,95.41%,Jun 2016,"99,576",82,"1,574",Life-Sim
A Date with Death,Free,95.27%,Dec 2023,"26,029",133,"2,870",Life-Sim
Placid Plastic Duck Simulator,$1.99,95.23%,Jul 2022,"14,784",143,"1,615",Life-Sim
Spirit City: Lofi Sessions,$7.19,95.04%,Apr 2024,"34,613","2,426","4,212",Life-Sim
Wobbly Life,$24.99,95.02%,Sep 2025,"37,988","1,175","10,421",Life-Sim
Mon Bazou,$15.99,94.91%,Dec 2021,"25,179",608,"2,741",Life-Sim
WolfQuest: Anniversary Edition,$29.99,94.84%,Jul 2025,"32,039",704,"2,383",Life-Sim
TCG Card Shop Simulator,$12.99,94.80%,Sep 2024,"69,905","2,438","53,453",Life-Sim
Virtual Cottage,Free,94.79%,Oct 2020,"13,452",212,"1,801",Life-Sim
SuchArt: Creative Space,Free,94.67%,Jan 2021,"10,068",36,879,Life-Sim
Chill with You : Lo-Fi Story,$9.59,94.46%,Nov 2025,"10,754","1,843","6,445",Life-Sim
The Test: Final Revelation,$1.99,94.36%,Oct 2020,531,0,131,Life-Sim
VillageRhapsody,$2.99,94.30%,Apr 2023,"69,698",63,"4,121",Life-Sim
Minami Lane,$4.99,94.20%,Feb 2024,"11,500",26,587,Life-Sim
英雄黄昏-文字三国志&曹贼模拟器,Free,93.81%,Sep 2021,"3,969",32,772,Life-Sim
我的小鲨鱼,Free,93.47%,Jan 2024,"6,500",1,"1,551",Life-Sim
WorldBox - God Simulator,$19.99,93.36%,Dec 2021,"183,256","2,012","11,034",Life-Sim
Squeakross: Home Squeak Home,$14.99,93.23%,Jun 2025,"2,934",104,569,Life-Sim
Supermarket Together,Free,93.17%,Aug 2024,"56,810","7,202","47,836",Life-Sim
PROJECT MIX: VR Cyberpunk Bartending DemoDemo,Free,92.94%,Apr 2025,—,6,121,Life-Sim
