Name,Price,Rating,Release,Follows,Online,Peak,Genre
Shakes and Fidget,Free,90.49%,Feb 2016,"23,172","2,363","9,495",MMORPG
Last Epoch - Woven Legend Supporter PackDLC,$59.99,89.19%,Apr 2025,—,—,—,MMORPG
DRAGON BALL XENOVERSE 2,$19.99,88.61%,Oct 2016,"188,222",837,"19,416",MMORPG
STAR WARS™: The Old Republic™,Free,88.22%,Dec 2011,"255,755","4,840","34,210",MMORPG
Path of Exile,Free,88.03%,Oct 2013,"272,710","51,054","229,337",MMORPG
Supreme Kung Fu,Free,87.90%,Nov 2024,101,5,"2,423",MMORPG
Monster Hunter: World,$29.99,87.33%,Aug 2018,"895,534","6,191","334,684",MMORPG
Guild Wars 2,Free,86.84%,Aug 2022,"90,379","8,164","10,875",MMORPG
Where Winds Meet,Free,85.87%,Nov 2025,"105,660","160,645","251,008",MMORPG
BLEACH Brave Souls,Free,85.54%,Aug 2020,"15,873",872,"8,166",MMORPG
Fishing Planet,Free,85.48%,Aug 2015,"120,244","3,641","9,926",MMORPG
Sky: Children of the Light,Free,85.47%,Apr 2024,"88,944","3,344","8,806",MMORPG
FINAL FANTASY XIV Online,$19.99,85.39%,Feb 2014,"145,220","16,610","95,150",MMORPG
荣耀斗罗,Free,85.10%,Nov 2021,167,0,13,MMORPG
弑神斩月,Free,84.60%,Nov 2025,12,9,117,MMORPG
萍城异闻录 DemoDemo,Free,84.47%,Sep 2024,—,0,36,MMORPG
西游霸业：大圣归来,Free,84.41%,Oct 2025,23,10,174,MMORPG
Kingdoms Conquer / 攻城天下,Free,83.78%,Nov 2021,437,0,211,MMORPG
Slavistan,$2.99,83.77%,Jul 2016,"1,370",0,"1,861",MMORPG
Fear Surrounds,—,83.73%,Oct 2021,"20,443",85,"7,373",MMORPG
惊险极速,$6.99,83.57%,Nov 2021,75,0,3,MMORPG
Savage: Ultimate Boss Fight,$4.99,83.07%,Jun 2024,245,1,16,MMORPG
MMORPG Tycoon 2,$24.99,83.04%,Jan 2020,"26,141",24,792,MMORPG
Last Epoch - Woven Traveler Supporter PackDLC,$9.99,82.82%,Apr 2025,—,—,—,MMORPG
NARUTO TO BORUTO: SHINOBI STRIKER,$9.99,82.65%,Aug 2018,"145,175",327,"6,310",MMORPG
Project: Gorgon,$24.99,82.64%,Mar 2018,"15,121",177,677,MMORPG
Trolddom,$9.99,82.64%,Nov 2025,491,48,56,MMORPG
九州青云劫,Free,82.55%,Nov 2025,20,3,15,MMORPG
FINAL FANTASY XIV: ShadowbringersDLC,—,82.47%,Jul 2019,—,—,—,MMORPG
FINAL FANTASY® XI: Ultimate Collection Seekers Edition,$29.99,82.29%,Apr 2013,"4,167",28,62,MMORPG
Spiral Knights,Free,82.06%,Jun 2011,"38,410",48,"13,143",MMORPG
Red Dead Online,$19.99,81.96%,Dec 2020,"70,767","2,631","19,921",MMORPG
Tunche: Arena,—,81.60%,Jan 2019,"3,156",0,67,MMORPG
Para Ark,$6.99,81.60%,Oct 2023,"2,396",11,64,MMORPG
Realm of the Mad God Exalt,Free,81.50%,Feb 2012,"42,987","1,377","10,051",MMORPG
FUSER™,—,81.48%,Nov 2020,"8,057",0,855,MMORPG
Old School RuneScape,Free,81.25%,Feb 2013,"24,960","1,708","6,151",MMORPG
契灵之约,Free,81.18%,Aug 2021,389,0,47,MMORPG
幻境启示,Free,81.07%,Oct 2024,35,0,17,MMORPG
Familiars.io,Free,80.98%,Jan 2024,337,0,15,MMORPG
TERA: Free New Player's PackDLC,—,80.86%,Sep 2016,—,—,—,MMORPG
RuneScape ®,Free,80.85%,Oct 2020,"53,299","2,611","12,569",MMORPG
Global Agenda: Free Agent,Free,80.59%,Feb 2010,"10,161",1,"7,405",MMORPG
NO STRANGERS,$4.99,80.57%,Nov 2024,"2,303",6,"6,124",MMORPG
My Lands: Black Gem Hunting,Free,80.56%,Sep 2014,"6,859",80,"1,226",MMORPG
Destiny 2: Reclamation Silver BundleDLC,—,80.51%,Jul 2025,—,—,—,MMORPG
烈焰屠龙·神兵觉醒,Free,80.46%,Aug 2025,30,0,191,MMORPG
Temtem,$44.99,80.29%,Sep 2022,"143,676",342,"39,572",MMORPG
The Elder Scrolls® Online,$4.99,80.25%,Apr 2014,"481,692","11,702","49,234",MMORPG
血战沙城·王者归来,Free,80.20%,Oct 2025,32,7,183,MMORPG
Meridian 59,Free,80.19%,Sep 1996,"1,526",9,92,MMORPG
Wizard101,Free,80.14%,Sep 2008,"15,178",716,"1,295",MMORPG
Born Again,Free,79.89%,Dec 2023,"1,351",29,380,MMORPG
Destiny 2: Throne of Atheon Emote BundleDLC,$9.99,79.84%,May 2021,—,—,—,MMORPG
The Maze: Humanity,—,79.81%,Dec 2022,560,0,6,MMORPG
万劫不灭,Free,79.71%,Nov 2025,25,4,89,MMORPG
AdventureQuest 3D,Free,79.70%,Oct 2022,"20,511",122,"2,098",MMORPG
The Lord of the Rings Online™,Free,79.58%,Jun 2012,"86,646","1,652","3,965",MMORPG
宥蘿的奇幻冒險 Yuro's Fantasy Adventure,$2.99,79.58%,Nov 2020,246,0,3,MMORPG
Animyst,Free,79.53%,Jul 2018,827,1,94,MMORPG
Fantasy World Souls,Free,79.52%,Feb 2023,877,1,44,MMORPG
Spellwake,Free,79.47%,Sep 2018,417,0,48,MMORPG
Last Epoch - Woven Vanquisher Supporter PackDLC,$39.99,79.46%,Apr 2025,—,—,—,MMORPG
沉默传奇,Free,79.28%,Jun 2025,59,18,225,MMORPG
IdleOn,Free,79.27%,Nov 2025,"22,834","17,066","21,533",MMORPG
Piratopia,Free,79.25%,Nov 2021,"2,290",0,277,MMORPG
圣域传奇：永恒之战,Free,79.25%,Sep 2025,24,7,114,MMORPG
FINAL FANTASY XIV: EndwalkerDLC,—,79.24%,Dec 2021,—,—,—,MMORPG
Trove,Free,79.19%,Jul 2015,"121,863",884,"58,949",MMORPG
DC Universe™ Online,Free,79.10%,Nov 2011,"60,359",551,"17,701",MMORPG
Destiny 2: Echoes Silver BundleDLC,—,78.84%,Jun 2024,—,—,—,MMORPG
Xanadu Land,Free,78.80%,Aug 2025,"1,450",21,287,MMORPG
狂斩天下：万劫成皇,Free,78.76%,Sep 2025,32,8,118,MMORPG
Kakele Online - MMORPG,Free,78.72%,Feb 2020,776,76,135,MMORPG
The Infinite Black 2,$6.99,78.54%,Jun 2023,881,13,53,MMORPG
The Elder Scrolls Online - ElsweyrDLC,—,78.52%,May 2019,—,—,—,MMORPG
Healer's Quest,$14.99,78.48%,Apr 2018,"1,867",1,126,MMORPG
Royal Quest Online - Gifts of the AlchemistDLC,Free,78.48%,Dec 2024,—,—,—,MMORPG
Borıng.,Free,78.33%,Mar 2025,103,1,13,MMORPG
VRSpace,Free,78.30%,Sep 2020,340,0,4,MMORPG
Project: Gorgon VIP MembershipDLC,—,78.30%,May 2021,—,—,—,MMORPG
Last Epoch,$34.99,78.23%,Feb 2024,"226,644","1,655","264,708",MMORPG
Angel Legion,Free,78.21%,Aug 2020,"39,804",452,"1,315",MMORPG
源战役,Free,78.12%,Jul 2024,876,1,852,MMORPG
DK ONLINE - SEASON NEWBIE FREEBIE PACKDLC,—,78.11%,Dec 2023,—,—,—,MMORPG
SMITE®,Free,77.89%,Sep 2015,"244,814","1,649","31,169",MMORPG
Albion Online,Free,77.75%,Jul 2017,"101,261","9,629","27,227",MMORPG
Bit Heroes Quest,Free,77.72%,Dec 2017,"5,606",86,977,MMORPG
Finity,Free,77.72%,Nov 2024,288,1,39,MMORPG
Star Trek Online,Free,77.66%,Feb 2010,"63,434","1,232","7,910",MMORPG
沙城霸主,Free,77.66%,Sep 2025,54,36,386,MMORPG
侠义九州之武林传奇,Free,77.62%,Nov 2025,65,16,30,MMORPG
北荒纪,—,77.52%,Jan 2024,73,0,49,MMORPG
Royal Quest Online,Free,77.50%,Dec 2024,"17,145",873,"2,410",MMORPG
Sword Art Online: Fatal Bullet,$39.99,77.49%,Feb 2018,"148,606",45,"21,727",MMORPG
SoulWorker - Anime Action MMO,—,77.49%,Feb 2018,"40,661",0,"11,017",MMORPG
Photochemistry,$9.99,77.41%,Jun 2024,45,0,5,MMORPG
Windward,$9.99,77.35%,May 2015,"56,207",9,"3,510",MMORPG
Destiny 2,Free,77.32%,Oct 2019,"730,648","14,895","316,750",MMORPG
帝国烽烟,Free,77.18%,Jan 2025,54,5,20,MMORPG
Sword Art Online: Hollow Realization Deluxe Edition,$49.99,77.05%,Oct 2017,"103,048",22,"3,254",MMORPG
Destiny 2: The Final ShapeDLC,$10.49,77.04%,Jun 2024,—,—,—,MMORPG
Anarchy Online,Free,77.02%,Jun 2001,"7,731",2,42,MMORPG
Black Desert SA,—,76.91%,Nov 2017,"19,158",0,"8,981",MMORPG
小拾逅 Gathering Our Childhoods,Free,76.90%,May 2023,52,0,5,MMORPG
EverQuest II,Free,76.74%,Dec 2011,"11,470",177,"1,611",MMORPG
Pirate101,Free,76.73%,May 2023,"1,841",31,309,MMORPG
Eldevin,Free,76.71%,Nov 2014,"6,376",67,"1,013",MMORPG
mtion worlds,—,76.61%,Aug 2023,644,2,18,MMORPG
Sword Art Online: Lost Song,$19.99,76.60%,Nov 2018,"22,170",5,474,MMORPG
Veliri: Planet of Machines DemoDemo,Free,76.58%,Oct 2024,—,2,6,MMORPG
TERA - Action MMORPG,—,76.54%,Jan 2017,"25,723",1,"5,068",MMORPG
Neverwinter,Free,76.46%,Dec 2013,"110,661","1,087","14,866",MMORPG
Last Epoch - Primal Legend Supporter PackDLC,$59.99,76.45%,Aug 2025,—,—,—,MMORPG
Dragons and Titans,—,76.44%,Mar 2014,"17,910",0,991,MMORPG
英雄传奇,Free,76.37%,Nov 2025,38,6,29,MMORPG
The Auto Sort Is Broken,$2.99,76.36%,Jan 2025,185,1,11,MMORPG
Catolonizer,$5.99,76.34%,Aug 2025,23,0,10,MMORPG
Angel Legion-DLC Sexy Maid (Purple)DLC,Free,76.34%,Oct 2025,—,—,—,MMORPG
Angel Legion-DLC Judgment Maiden (Green)DLC,Free,76.34%,Aug 2025,—,—,—,MMORPG
Angel Legion-DLC Gentle Jade Beauty BDLC,Free,76.34%,Jul 2025,—,—,—,MMORPG
NTBSS: Master Character Training Pack - Sasuke Uchiha (Young Ver. Final Battle)DLC,$3.99,76.34%,Feb 2025,—,—,—,MMORPG
Adventure Land - The Code MMORPG,$14.99,76.24%,Jan 2019,"2,179",10,53,MMORPG
Once Human,Free,76.11%,Jul 2024,"276,411","12,952","231,668",MMORPG
Aura Kingdom,—,76.10%,Jul 2014,"40,871",0,"2,165",MMORPG
EverQuest,Free,76.09%,Dec 2012,"7,094",322,989,MMORPG
RPG MO,Free,76.00%,Aug 2015,"18,880",62,810,MMORPG
Toram Online,Free,75.99%,Dec 2021,"12,006",503,"2,989",MMORPG
ADONIS,$14.99,75.86%,Nov 2020,216,0,4,MMORPG
Summoners War: Chronicles,Free,75.82%,Nov 2022,"21,815",399,"38,641",MMORPG
Initial Drift Online,$4.99,75.77%,Mar 2023,"4,143",7,826,MMORPG
Bounty,$2.99,75.71%,Jun 2022,42,0,5,MMORPG
Der Geistermeister,Free,75.71%,Dec 2023,32,1,4,MMORPG
Angel Legion-DLC Sexy Maid (Blue)DLC,Free,75.71%,Oct 2025,—,—,—,MMORPG
Angel Legion-DLC Special Investigation DDLC,Free,75.71%,Sep 2025,—,—,—,MMORPG
Angel Legion-DLC Cheerleader (Orange)DLC,Free,75.71%,Apr 2025,—,—,—,MMORPG
Angel Legion-DLC Full bloom ADLC,Free,75.71%,Jan 2025,—,—,—,MMORPG
Guild Wars® Game of the Year EditionDLC,—,75.71%,Apr 2005,—,—,—,MMORPG
Fantasy Online 2,$9.99,75.70%,Jan 2025,869,29,101,MMORPG
Firestone – Idle Clicker Online RPG,Free,75.39%,Apr 2024,"5,860","1,829","3,343",MMORPG
幻世九州,Free,75.38%,Aug 2023,182,1,35,MMORPG
Expansion Starter Pack - Guild Wars 2: Heart of Thorns™ and Path of Fire™DLC,$11.99,75.38%,Aug 2022,—,—,—,MMORPG
FINAL FANTASY®  XI: Ultimate Collection Seekers Edition,—,75.21%,Apr 2013,"1,992",10,18,MMORPG
StarBreak,Free,75.16%,May 2016,"4,944",98,810,MMORPG
霸世狂刀,Free,75.12%,Nov 2025,30,0,130,MMORPG
DINOS vs ROBOTS,$0.99,75.10%,Feb 2024,23,0,4,MMORPG
Defiance,—,75.01%,Jun 2014,"69,215",3,"12,690",MMORPG
Eternal Return,Free,74.92%,Jul 2023,"93,714","3,041","52,853",MMORPG
Dungeon Team,Free,74.86%,Nov 2024,447,6,52,MMORPG
VRChat,Free,74.77%,Feb 2017,"226,598","34,688","66,824",MMORPG
OverField,Free,74.55%,Nov 2025,"1,198",263,"1,122",MMORPG
Angel Legion-DLC Interstellar Guide ADLC,Free,74.53%,Jan 2025,—,—,—,MMORPG
Old School RuneScape 3-Month Membership + OSTDLC,—,74.53%,Feb 2021,—,—,—,MMORPG
Anarchy Online: Rubi-Ka New Colonist BundleDLC,$19.99,74.53%,Feb 2017,—,—,—,MMORPG
MilMo,Free,74.48%,Dec 2009,"1,745",1,212,MMORPG
Strife®,Free,74.46%,May 2015,"21,338",16,"3,435",MMORPG
WAKFU,Free,74.37%,Sep 2014,"32,036",982,"4,078",MMORPG
Fellowship,$19.99,74.31%,Oct 2025,"68,779","5,585","43,841",MMORPG
Kritika:REBOOT,—,74.31%,Nov 2019,"18,003",0,"3,788",MMORPG
Equinox: Homecoming,$24.99,74.22%,May 2025,"5,516",85,540,MMORPG
万界征伐,Free,74.20%,Oct 2025,13,16,33,MMORPG
创造世界,Free,74.19%,Jul 2025,27,0,3,MMORPG
Destiny 2: The Witch Queen Deluxe EditionDLC,—,74.06%,Feb 2022,—,—,—,MMORPG
Age of Water: The First Voyage,—,74.00%,Mar 2024,"5,459",0,"2,286",MMORPG
Book of Travels,$23.99,73.92%,Oct 2021,"37,564",4,"1,390",MMORPG
Queue Simulator,$0.99,73.89%,Dec 2021,41,0,6,MMORPG
ROOM FOOTBALL - Royale Lands,$59.99,73.89%,Mar 2025,28,0,2,MMORPG
Angel Legion-DLC Racing Cheer (Blue)DLC,Free,73.89%,Jun 2025,—,—,—,MMORPG
Angel Legion-DLC Interstellar Guide CDLC,Free,73.89%,Mar 2025,—,—,—,MMORPG
凡人修仙传奇,Free,73.76%,Oct 2025,126,22,79,MMORPG
Sokfest,$4.99,73.75%,Mar 2023,111,0,8,MMORPG
Nin Online,Free,73.62%,Jun 2025,"2,054",256,508,MMORPG
OPG: Clan Wars,$7.17,73.53%,Jul 2025,"1,575",0,27,MMORPG
神火之痕,Free,73.53%,Aug 2025,143,9,54,MMORPG
Legend of Edda: Pegasus,—,73.51%,Jul 2023,647,0,78,MMORPG
Puzzle Wizards,Free,73.47%,Apr 2023,181,1,28,MMORPG
OrbusVR: Reborn,—,73.31%,Apr 2019,"10,237",0,337,MMORPG
Ancible Online,Free,73.31%,Nov 2025,348,22,88,MMORPG
Pixel Worlds: MMO Sandbox,—,73.30%,Jan 2017,"4,777",11,"1,404",MMORPG
Tales of Yore,Free,73.28%,Aug 2023,"1,212",0,56,MMORPG
Angel Legion-DLC Metro Enforcer DDLC,Free,73.26%,Oct 2025,—,—,—,MMORPG
Last Epoch - Primal Traveler Supporter PackDLC,$9.99,73.26%,Aug 2025,—,—,—,MMORPG
NTBSS: Master Character Training Pack - KakuzuDLC,$3.99,73.26%,Aug 2025,—,—,—,MMORPG
WildStar,—,73.24%,Jun 2014,"35,447",1,"5,060",MMORPG
Master-Servant Sex with the Beauty from the Orient ~Contract with a Semen-Sucking Demon~,$6.99,73.19%,Oct 2021,676,1,5,MMORPG
梦境世界,—,73.19%,Mar 2024,50,0,3,MMORPG
Archaeology - Grass Kingdom,$199.99,73.19%,Mar 2025,22,0,2,MMORPG
Angel Legion-DLC Flowing Moonfrost (Purple)DLC,Free,73.19%,Nov 2025,—,—,—,MMORPG
Angel Legion-DLC Metro Enforcer CDLC,Free,73.19%,Oct 2025,—,—,—,MMORPG
Angel Legion-DLC Metro Enforcer ADLC,Free,73.19%,Sep 2025,—,—,—,MMORPG
