Name,Price,Rating,Release,Follows,Online,Peak,Genre
The Henry Stickmin Collection,$5.99,96.83%,Aug 2020,"51,924",236,"2,812",Point-And-Click
Cats Hidden in Jingle Jam,Free,96.41%,Dec 2023,"2,186",1,757,Point-And-Click
Cats Hidden in Paris,Free,96.40%,Jul 2023,"3,996",3,"2,159",Point-And-Click
Dispatch,$29.99,96.25%,Oct 2025,"161,522","16,045","220,060",Point-And-Click
Chants of Sennaar,$11.99,96.07%,Sep 2023,"36,396",216,"1,584",Point-And-Click
The Room 4: Old Sins,$8.99,95.98%,Feb 2021,"13,685",42,"1,199",Point-And-Click
The Wolf Among Us,$5.24,95.86%,Oct 2013,"46,828",484,"14,321",Point-And-Click
Poco,Free,95.76%,May 2025,"2,408",37,251,Point-And-Click
The Walking Dead,$14.99,95.72%,Apr 2012,"62,399",225,"12,114",Point-And-Click
"Papers, Please",$9.99,95.69%,Aug 2013,"119,966",421,"6,129",Point-And-Click
The Room,$4.99,95.65%,Jul 2014,"26,814",39,809,Point-And-Click
Phoenix Wright: Ace Attorney Trilogy,$9.89,95.61%,Apr 2019,"71,715",994,"4,724",Point-And-Click
Inscryption,$19.99,95.56%,Oct 2021,"125,512",905,"17,072",Point-And-Click
"Please, Touch The Artwork 2",Free,95.51%,Feb 2024,"2,059",5,365,Point-And-Click
There Is No Game: Wrong Dimension,$12.99,95.46%,Aug 2020,"28,671",43,"1,348",Point-And-Click
VA-11 Hall-A: Cyberpunk Bartender Action,$10.04,95.41%,Jun 2016,"99,576",90,"1,574",Point-And-Click
A Castle Full of Cats,$3.99,95.29%,Nov 2022,"2,678",7,196,Point-And-Click
The Room Two,$4.99,95.22%,Jul 2016,"18,103",39,401,Point-And-Click
Gorogoa,$3.74,95.12%,Dec 2017,"42,555",40,813,Point-And-Click
An Arcade Full of Cats,Free,95.12%,Nov 2023,"4,715",31,693,Point-And-Click
Purrgatory,Free,95.08%,Aug 2021,"2,301",4,108,Point-And-Click
Sally Face - Episode One,$2.99,95.03%,Dec 2016,"50,082",147,"2,107",Point-And-Click
Fran Bow,$14.99,95.02%,Aug 2015,"48,384",108,796,Point-And-Click
Life is Strange - Episode 1,Free,94.98%,Jan 2015,"259,896",303,"18,260",Point-And-Click
The Case of the Golden Idol,$17.99,94.96%,Oct 2022,"14,350",45,605,Point-And-Click
A Building Full of Cats,$1.39,94.95%,Jul 2022,"1,916",2,115,Point-And-Click
Lost in Play,$19.99,94.94%,Aug 2022,"16,390",11,511,Point-And-Click
The Murder of Sonic the Hedgehog,Free,94.86%,Mar 2023,"10,125",20,"15,543",Point-And-Click
Cube Escape Collection,$4.99,94.86%,Oct 2020,"9,389",49,"1,277",Point-And-Click
Slay the Princess — The Pristine Cut,$17.99,94.85%,Oct 2023,"57,234",121,"2,583",Point-And-Click
Underground Blossom,$4.99,94.82%,Sep 2023,"9,471",20,"8,368",Point-And-Click
Monument Valley,$7.99,94.80%,Jul 2022,"9,994",14,363,Point-And-Click
Summer Clover,$17.99,94.77%,Jun 2024,"38,960",218,"5,199",Point-And-Click
West of Loathing,$10.99,94.73%,Aug 2017,"33,783",53,"2,835",Point-And-Click
100 hidden frogs,Free,94.69%,Nov 2021,"1,003",6,58,Point-And-Click
The Supper,Free,94.68%,Jan 2020,"3,264",0,53,Point-And-Click
A Tower Full of Cats,$5.99,94.65%,May 2024,"2,206",7,452,Point-And-Click
The Mr. Rabbit Magic Show,Free,94.63%,Apr 2025,"2,934",44,"4,635",Point-And-Click
Aventura Copilului Albastru și Urât,$1.99,94.60%,Feb 2021,"1,865",0,187,Point-And-Click
The Walking Dead: The Telltale Definitive Series,$49.99,94.59%,Oct 2020,"34,023","1,870","7,820",Point-And-Click
Milk outside a bag of milk outside a bag of milk,$8.99,94.53%,Dec 2021,"21,775",26,291,Point-And-Click
The Walking Dead: Season Two,$14.99,94.52%,Dec 2013,"41,983",92,"18,627",Point-And-Click
Digseum,$2.99,94.49%,Dec 2024,"2,955",29,618,Point-And-Click
Chill with You : Lo-Fi Story,$9.59,94.46%,Nov 2025,"10,754","2,104","6,445",Point-And-Click
The Children of Clay,Free,94.36%,Mar 2025,"1,631",5,113,Point-And-Click
Samsara Room,Free,94.29%,Apr 2020,"9,563",24,"1,514",Point-And-Click
Ghost Trick: Phantom Detective,$9.89,94.28%,Jun 2023,"17,865",113,"1,474",Point-And-Click
Cube Escape: Paradox,Free,94.27%,Sep 2018,"20,211",77,"1,837",Point-And-Click
Just a To the Moon Series Beach Episode,$7.99,94.22%,Sep 2024,"6,560",0,486,Point-And-Click
Milo and the Magpies,$2.99,94.19%,Sep 2021,"3,170",3,82,Point-And-Click
100 Asian Cats,Free,94.13%,Dec 2023,"4,999",97,"13,382",Point-And-Click
Unheard - Voices of Crime,$2.79,94.12%,Mar 2019,"76,904",63,"7,754",Point-And-Click
Your Turn To Die -Death Game By Majority-,$13.59,94.11%,Feb 2023,"16,810",46,471,Point-And-Click
Scarlet Hollow,$24.99,94.11%,Jun 2021,"14,337",35,647,Point-And-Click
Danganronpa: Trigger Happy Havoc,$19.99,94.02%,Feb 2016,"73,170",178,"3,392",Point-And-Click
Dispatch DemoDemo,Free,94.01%,May 2025,—,37,881,Point-And-Click
Tiny Bunny,$10.99,94.00%,Apr 2021,"27,746",181,"5,603",Point-And-Click
Sucker for Love: First Date,$9.99,93.89%,Jan 2022,"10,560",3,247,Point-And-Click
