Name,Price,Rating,Release,Follows,Online,Peak,Genre
Portal 2,$9.99,97.73%,Apr 2011,"352,633","1,804","98,460",Puzzle
Portal,$9.99,97.24%,Oct 2007,"146,937",538,"20,672",Puzzle
OneShot,$9.99,96.55%,Dec 2016,"74,044",62,824,Puzzle
Half-Life 2,$9.99,96.49%,Nov 2004,"99,879","3,003","64,085",Puzzle
MiSide,$14.99,96.48%,Dec 2024,"130,836",488,"23,741",Puzzle
Cats Hidden in Jingle Jam,Free,96.41%,Dec 2023,"2,186",2,757,Puzzle
Cats Hidden in Paris,Free,96.40%,Jul 2023,"3,996",2,"2,159",Puzzle
Plants vs. Zombies GOTY Edition,$4.99,96.33%,May 2009,"120,835","2,293","16,225",Puzzle
Helltaker,Free,96.33%,May 2020,"97,523",38,"6,509",Puzzle
TOEM: A Photo Adventure,$19.99,96.08%,Sep 2021,"11,816",13,402,Puzzle
Chants of Sennaar,$11.99,96.07%,Sep 2023,"36,396",230,"1,584",Puzzle
The Room 4: Old Sins,$8.99,95.98%,Feb 2021,"13,685",45,"1,199",Puzzle
Stray,$17.99,95.97%,Jul 2022,"368,500",711,"62,963",Puzzle
Firework,$9.99,95.87%,Feb 2021,"34,671",19,"3,746",Puzzle
Resident Evil 2,$14.99,95.77%,Jan 2019,"304,603","1,533","74,227",Puzzle
Paper Lily - Chapter 1,Free,95.77%,Jan 2024,"10,357",28,402,Puzzle
"Papers, Please",$9.99,95.69%,Aug 2013,"119,966",384,"6,129",Puzzle
The Room,$4.99,95.65%,Jul 2014,"26,814",39,809,Puzzle
Phoenix Wright: Ace Attorney Trilogy,$9.89,95.61%,Apr 2019,"71,715","1,077","4,724",Puzzle
Project Kat - Paper Lily Prologue,Free,95.61%,Oct 2021,"9,127",3,238,Puzzle
BattleBlock Theater®,$4.49,95.58%,May 2014,"143,267",131,"14,781",Puzzle
Inscryption,$19.99,95.56%,Oct 2021,"125,512",875,"17,072",Puzzle
20 Small Mazes,Free,95.54%,Feb 2024,978,23,"15,492",Puzzle
"Please, Touch The Artwork 2",Free,95.51%,Feb 2024,"2,059",7,365,Puzzle
There Is No Game: Wrong Dimension,$12.99,95.46%,Aug 2020,"28,671",47,"1,348",Puzzle
Baba Is You,$14.99,95.43%,Mar 2019,"42,875",167,"1,533",Puzzle
Patrick's Parabox,$19.99,95.43%,Mar 2022,"10,564",22,592,Puzzle
INSIDE,$19.99,95.36%,Jul 2016,"174,154",97,"4,170",Puzzle
A Castle Full of Cats,$3.99,95.29%,Nov 2022,"2,678",8,196,Puzzle
Buy a Croquette!,Free,95.25%,Apr 2024,"3,964",42,451,Puzzle
