Name,Price,Rating,Release,Follows,Online,Peak,Genre
Grand Theft Auto V Legacy,—,86.97%,Apr 2015,"3,412,620","79,773","364,548",Racing
Grand Theft Auto V Enhanced,$14.99,75.82%,Mar 2025,"102,146","54,841","187,059",Racing
BeamNG.drive,$24.99,96.38%,May 2015,"439,308","27,658","32,320",Racing
Umamusume: Pretty Derby,Free,92.02%,Jun 2025,"25,122","17,221","87,453",Racing
Assetto Corsa,$4.99,91.56%,Dec 2014,"355,734","16,364","19,796",Racing
Forza Horizon 5,$29.99,87.92%,Nov 2021,"541,309","15,621","81,096",Racing
F1® 25,$29.99,85.01%,May 2025,"35,179","11,466","22,595",Racing
Rocket League®,—,86.54%,Jul 2015,"649,089","10,765","147,632",Racing
SnowRunner,$11.99,88.67%,May 2021,"132,720","5,960","11,145",Racing
Le Mans Ultimate,$27.99,77.42%,Jul 2025,"41,262","5,312","8,463",Racing
Assetto Corsa Competizione,$9.99,90.87%,May 2019,"146,360","4,361","12,376",Racing
MX Bikes,$34.99,92.30%,Oct 2019,"24,772","3,818","5,256",Racing
Stumble Guys,Free,83.97%,Oct 2021,"94,002","3,501","43,705",Racing
Forza Horizon 4,—,89.89%,Mar 2021,"405,980","2,971","75,689",Racing
Need for Speed™ Heat,$6.99,83.03%,Nov 2019,"141,756","2,786","86,196",Racing
Trailmakers,$24.99,90.10%,Sep 2019,"74,837","2,601","4,898",Racing
CarX Drift Racing Online,$14.99,93.73%,Nov 2017,"93,615","2,562","5,369",Racing
My Summer Car,$14.99,93.35%,Jan 2025,"137,059","2,537","5,924",Racing
DDNet,Free,87.04%,Aug 2020,"11,015","2,464","10,726",Racing
Assetto Corsa Rally,$23.99,84.75%,Nov 2025,"25,721","2,377","8,398",Racing
Trackmania,Free,76.12%,Feb 2023,"8,678","2,181","22,128",Racing
Car Mechanic Simulator 2021,$21.58,93.88%,Aug 2021,"89,125","1,908","22,561",Racing
Brick Rigs,$18.99,93.02%,Jul 2023,"68,280","1,834","2,763",Racing
The Crew Motorfest,$69.99,76.84%,Apr 2024,"22,881","1,691","3,732",Racing
F1® 24,$69.99,72.38%,May 2024,"28,774","1,615","13,327",Racing
City Car Driving,$2.49,80.92%,Nov 2016,"65,100","1,607","2,399",Racing
Need for Speed™ Unbound,$6.99,59.81%,Dec 2022,"80,103","1,545","14,063",Racing
RaceRoom Racing Experience,Free,74.61%,Feb 2013,"92,962","1,496","2,630",Racing
DiRT Rally 2.0,$13.99,87.01%,Feb 2019,"111,952","1,475","5,080",Racing
Mafia: Definitive Edition,$5.99,85.47%,Sep 2020,"132,581","1,425","36,679",Racing
Mad Max,$2.99,90.89%,Sep 2015,"233,384","1,422","33,356",Racing
Asphalt Legends,Free,80.10%,Aug 2022,"18,379","1,359","2,036",Racing
Riders Republic,$3.99,80.78%,Jun 2023,"71,567","1,286","8,145",Racing
Automobilista 2,$19.99,89.15%,Mar 2020,"44,269","1,250","3,896",Racing
MudRunner,$3.99,89.63%,Oct 2017,"115,589","1,245","8,667",Racing
Transformice,Free,86.28%,Jan 2015,"33,195","1,226","5,636",Racing
The Crew™ 2,$29.99,76.63%,Jun 2018,"172,169","1,217","55,907",Racing
F1® Manager 2024,$13.49,78.73%,Jul 2024,"13,403","1,174","12,066",Racing
Need for Speed™,$2.99,68.76%,Mar 2016,"27,391","1,131","1,260",Racing
Cube Racer,Free,86.24%,Oct 2017,"2,965","1,114","3,283",Racing
CarX Street,$19.99,68.71%,Aug 2024,"81,096","1,103","7,302",Racing
Drive Beyond Horizons,$24.99,75.57%,Mar 2025,"66,870","1,094","14,797",Racing
Sleeping Dogs: Definitive Edition,$2.99,92.33%,Oct 2014,"107,472","1,079","4,035",Racing
Crab Game,Free,90.31%,Oct 2021,"43,258","1,060","75,967",Racing
Zaccaria Pinball,Free,77.80%,Oct 2025,"6,117","1,016","1,029",Racing
Motor Town: Behind The Wheel,$19.99,91.15%,Dec 2021,"30,082",752,"3,622",Racing
Project Motor Racing,$59.99,26.40%,Nov 2025,"9,893",689,"2,091",Racing
iRacing,$9.99,83.08%,Jan 2015,"58,058",687,"2,198",Racing
Sonic Racing: CrossWorlds,$69.99,92.25%,Sep 2025,"37,673",680,"13,630",Racing
Automation - The Car Company Tycoon Game,$29.99,91.24%,Mar 2015,"67,849",658,"1,508",Racing
Liftoff®: FPV Drone Racing,$19.99,92.45%,Sep 2018,"34,560",655,832,Racing
Mon Bazou,$15.99,94.91%,Dec 2021,"25,179",629,"2,741",Racing
Forza Motorsport,$34.99,49.67%,Oct 2023,"36,314",620,"4,703",Racing
RealFlight Evolution,$99.99,83.87%,Oct 2022,"5,244",603,912,Racing
Descenders,$24.99,92.15%,May 2019,"30,511",584,"1,954",Racing
Assetto Corsa EVO,$39.99,67.01%,Jan 2025,"78,692",560,"25,752",Racing
Uncrashed : FPV Drone Simulator,$11.24,91.21%,Sep 2021,"20,118",543,"1,027",Racing
The Long Drive,$15.99,88.02%,Sep 2019,"72,635",539,"4,375",Racing
FlatOut 2,$1.99,93.67%,Aug 2006,"4,295",534,925,Racing
NASCAR 25,$59.99,70.41%,Nov 2025,"5,256",530,"2,929",Racing
EA SPORTS™ WRC,$24.99,61.26%,Nov 2023,"25,805",511,"4,538",Racing
Naval Action,$19.99,52.82%,Jun 2019,"104,085",490,"5,222",Racing
Rival Stars Horse Racing: Desktop Edition,$39.99,89.37%,Jun 2020,"13,656",488,692,Racing
Wreckfest,$29.99,86.58%,Jun 2018,"131,393",485,"3,865",Racing
F1® 23,—,84.06%,Jun 2023,"35,070",475,"14,512",Racing
rFactor 2,$4.49,77.03%,Mar 2013,"31,895",442,"1,769",Racing
Need for Speed™ Payback,$7.79,83.92%,Nov 2017,"33,456",407,"12,152",Racing
Winning Post 10 2025,—,66.26%,Mar 2025,955,401,"2,863",Racing
Need for Speed™ Most Wanted,$4.99,75.89%,Oct 2012,"69,594",401,"1,964",Racing
Drift Legends 2,Free,75.14%,Jun 2025,"1,765",367,455,Racing
Tokyo Xtreme Racer,$49.99,91.62%,Sep 2025,"50,653",341,"15,824",Racing
Disney Speedstorm,Free,66.47%,Apr 2023,"18,949",339,"7,675",Racing
My Garage,$19.99,87.72%,Aug 2021,"8,494",325,733,Racing
Motorsport Manager,$19.99,89.26%,Nov 2016,"46,758",303,"6,251",Racing
Beam Eye TrackerApplication,$29.99,82.27%,Aug 2023,"3,711",293,403,Racing
Car Mechanic Simulator 2018,$17.58,89.80%,Jul 2017,"133,732",288,"8,474",Racing
Razortron 2000,$0.49,83.01%,Oct 2016,865,284,"7,083",Racing
Car Service Together DemoDemo,Free,77.82%,Oct 2025,—,280,"2,760",Racing
Test Drive Unlimited Solar Crown,$24.99,37.67%,Sep 2024,"60,309",278,"5,305",Racing
Screw Drivers,Free,83.27%,Jun 2024,"6,625",276,"2,245",Racing
Need for Speed™ Hot Pursuit Remastered,$5.99,79.10%,Nov 2020,"25,367",264,"1,228",Racing
RIDE 5,$59.99,78.53%,Aug 2023,"16,286",259,957,Racing
Sonic Adventure 2,$4.99,87.35%,Nov 2012,"24,147",258,"1,826",Racing
F1® 22,—,67.85%,Jul 2022,"41,917",249,"25,172",Racing
TrackMania Nations Forever,Free,88.13%,Apr 2008,—,241,"1,466",Racing
MX vs ATV Legends,$39.99,75.46%,Jun 2022,"9,681",231,469,Racing
F1® 2020,—,91.80%,Jul 2020,"40,712",230,"24,010",Racing
TrackDayR,$24.99,82.03%,Mar 2021,"4,864",228,345,Racing
LEGO® City Undercover,$19.99,88.53%,Apr 2017,"16,700",221,833,Racing
Wreckfest 2,$29.99,71.86%,Mar 2025,"40,820",214,"3,153",Racing
JDM: Japanese Drift Master,$33.94,72.99%,May 2025,"65,333",214,"4,082",Racing
Steep™,$29.99,81.11%,Dec 2016,"136,902",211,"2,113",Racing
Haste,$19.99,89.12%,Apr 2025,"38,625",208,"5,312",Racing
Sledders,$29.99,91.36%,Mar 2025,"9,798",208,"1,894",Racing
Marbles on Stream,Free,82.95%,Mar 2018,"8,250",207,"1,202",Racing
WRC 10 FIA World Rally Championship,$4.99,70.13%,Sep 2021,"11,714",206,854,Racing
Tower Unite,$11.99,87.76%,Apr 2025,"47,735",203,"1,603",Racing
WRC Generations – The FIA WRC Official Game,$5.99,67.94%,Nov 2022,"11,070",201,"1,241",Racing
Kart Racing Pro,$39.99,83.45%,Jul 2017,"5,308",199,232,Racing
Project CARS 2,—,79.55%,Sep 2017,"82,005",196,"6,775",Racing
FPV SkyDive : FPV Drone Simulator,Free,79.81%,May 2021,"4,355",168,238,Racing
Expeditions: A MudRunner Game,$15.99,55.10%,Mar 2024,"42,374",167,"4,915",Racing
F1® 2021,—,84.16%,Jul 2021,"38,682",163,"25,575",Racing
APB Reloaded,Free,62.91%,Dec 2011,"57,580",160,"11,813",Racing
DiRT Rally,—,86.39%,Dec 2015,"121,649",155,"20,343",Racing
WRC 9 FIA World Rally Championship,$2.99,75.22%,Sep 2021,"8,244",150,"1,005",Racing
MotoGP™25,$59.99,66.47%,Apr 2025,"3,325",149,"1,091",Racing
