Name,Price,Rating,Release,Follows,Online,Peak,Genre
A Short Hike,$7.99,96.70%,Jul 2019,"21,027",31,229,Walking-Simulator
ENA: Dream BBQ,Free,96.41%,Mar 2025,"56,998",127,"10,988",Walking-Simulator
Sheepy: A Short Adventure,Free,96.37%,Feb 2024,"7,554",42,358,Walking-Simulator
Crime Scene Cleaner,$24.99,95.78%,Aug 2024,"69,173",942,"13,577",Walking-Simulator
Before Your Eyes,$9.99,95.54%,Apr 2021,"19,377",17,510,Walking-Simulator
Pineapple on pizza,Free,95.51%,Mar 2023,"4,878",5,"1,415",Walking-Simulator
Cairn DemoDemo,Free,95.39%,Dec 2024,—,44,592,Walking-Simulator
Bomb Rush Cyberfunk,$39.99,95.25%,Aug 2023,"47,902",92,"8,174",Walking-Simulator
Outlast,$14.99,95.10%,Sep 2013,"121,252",313,"11,827",Walking-Simulator
Life is Strange - Episode 1,Free,94.98%,Jan 2015,"259,896",330,"18,260",Walking-Simulator
Return of the Obra Dinn,$19.99,94.72%,Oct 2018,"78,839",123,"1,792",Walking-Simulator
GRIS,$14.99,94.65%,Dec 2018,"133,865",76,"2,535",Walking-Simulator
The Looker,Free,94.52%,Jun 2022,"4,289",13,"1,632",Walking-Simulator
BABBDI,Free,94.46%,Dec 2022,"2,814",23,117,Walking-Simulator
SOMA,$29.99,94.15%,Sep 2015,"127,255",99,"4,072",Walking-Simulator
Danganronpa 2: Goodbye Despair,$19.99,94.06%,Apr 2016,"51,609",189,"1,869",Walking-Simulator
Alpaca Stacka,Free,93.91%,Jul 2021,"3,270",0,111,Walking-Simulator
What Remains of Edith Finch,$4.99,93.90%,Apr 2017,"108,350",72,564,Walking-Simulator
Frog Detective 3: Corruption at Cowboy County,$4.99,93.74%,Oct 2022,"2,195",2,220,Walking-Simulator
Mouthwashing,$12.99,93.67%,Sep 2024,"45,348",67,"1,259",Walking-Simulator
OPUS: Echo of Starsong - Full Bloom Edition,$24.99,93.40%,Sep 2021,"28,216",5,567,Walking-Simulator
Seal World,$4.99,93.38%,Dec 2023,891,0,17,Walking-Simulator
The Forgotten City,$24.99,93.33%,Jul 2021,"39,872",26,603,Walking-Simulator
Outlast: Whistleblower DLCDLC,$4.99,93.31%,May 2014,—,0,4,Walking-Simulator
DOGWALK,Free,93.17%,Jul 2025,"3,148",4,465,Walking-Simulator
